,TumbleDryer,WashingMachine,BaseLoad,P_EV,P_HP
2024-01-02 13:15:00,0.001,0.001,0.35127593972558785,0.0,0.0
2024-01-02 13:30:00,0.001,0.001,0.7136092730589212,0.0,0.0
2024-01-02 13:45:00,0.001,0.001,0.8843426063922545,0.0,2.3333333333333335
2024-01-02 14:00:00,0.001,0.001,1.421002313411866,0.0,0.6666666666666666
2024-01-02 14:15:00,0.001,0.001,0.3317040777399606,0.0,0.0
2024-01-02 14:30:00,0.001,0.001,0.5777,0.0,0.0
2024-01-02 14:45:00,0.001,0.001,0.39754522846806567,0.0,0.0
2024-01-02 15:00:00,0.001,0.001,0.35719593972558783,0.0,0.0
2024-01-02 15:15:00,0.001,0.001,0.3299426063922545,0.0,0.0
2024-01-02 15:30:00,0.001,0.001,0.3460759397255878,0.0,0.0
2024-01-02 15:45:00,0.001,0.001,0.44890260639225443,0.0,0.0
2024-01-02 16:00:00,0.001,0.001,1.1665547678040336,0.0,0.0
2024-01-02 16:15:00,0.001,0.001,0.881609273058921,0.0,0.0
2024-01-02 16:30:00,0.001,0.001,0.3460759397255878,0.7333333333333333,0.0
2024-01-02 16:45:00,0.001,0.001,0.3429229417595415,7.333333333333333,0.0
2024-01-02 17:00:00,0.001,0.001,0.3460759397255878,0.0,0.0
2024-01-02 17:15:00,0.001,0.001,0.3512092730589212,0.0,0.0
2024-01-02 17:30:00,0.001,0.001,0.4244092730589211,0.0,0.0
2024-01-02 17:45:00,0.001,0.001,0.23353564674519925,0.0,0.0
2024-01-02 18:00:00,0.001,0.001,0.29839040903934017,0.0,0.0
2024-01-02 18:15:00,0.001,0.001,0.33766202043147736,0.7333333333333333,0.0
2024-01-02 18:30:00,0.001,0.001,0.9382759397255878,0.0,0.0
2024-01-02 18:45:00,0.001,0.001,0.4397426063922545,0.0,0.0
2024-01-02 19:00:00,0.001,0.001,0.5490759397255878,0.0,0.0
2024-01-02 19:15:00,0.001,0.001,0.3590759397255878,0.0,0.0
2024-01-02 19:30:00,0.001,0.001,0.8791426063922546,0.0,0.0
2024-01-02 19:45:00,0.001,0.001,0.3460759397255878,0.0,0.0
2024-01-02 20:00:00,0.001,0.001,0.4617426063922545,0.0,0.0
2024-01-02 20:15:00,0.001,0.001,0.4010759397255878,0.0,0.0
2024-01-02 20:30:00,0.001,0.001,1.069475939725588,0.0,0.6666666666666666
2024-01-02 20:45:00,0.001,0.001,0.3026092730589211,0.0,2.3333333333333335
2024-01-02 21:00:00,0.001,0.001,0.3465559397255878,0.0,0.0
2024-01-02 21:15:00,0.001,0.001,0.4563159397255878,0.0,0.0
2024-01-02 21:30:00,0.001,0.001,0.9732092730589212,0.0,0.0
2024-01-02 21:45:00,0.001,0.001,0.5547159397255877,0.0,0.0
2024-01-02 22:00:00,0.001,0.001,0.9944483609686503,0.0,0.0
2024-01-02 22:15:00,0.001,0.001,1.358118864019581,0.0,0.0
2024-01-02 22:30:00,0.001,0.001,0.330318864019581,0.0,0.0
2024-01-02 22:45:00,0.001,0.001,0.6799855306862476,0.0,0.0
2024-01-02 23:00:00,0.001,0.001,0.5041855306862477,0.0,0.0
2024-01-02 23:15:00,0.001,0.001,0.3722521973529143,0.0,0.0
2024-01-02 23:30:00,0.001,0.001,0.48861694582744897,0.0,0.0
2024-01-02 23:45:00,0.001,0.001,0.3460759397255878,0.0,0.0
2024-01-03 00:00:00,0.001,0.001,0.3827426063922545,0.0,0.0
2024-01-03 00:15:00,0.001,0.001,0.3446092730589212,0.0,0.0
2024-01-03 00:30:00,0.001,0.001,0.8461814344707003,0.0,0.0
2024-01-03 00:45:00,0.001,0.001,0.3651904090393402,0.0,0.0
2024-01-03 01:00:00,0.001,0.001,0.444398081807868,0.0,0.0
2024-01-03 01:15:00,0.001,0.001,0.30269999999999997,0.0,0.0
2024-01-03 01:30:00,0.001,0.001,0.3181,0.0,0.0
2024-01-03 01:45:00,0.001,0.001,0.22569999999999998,0.0,0.0
2024-01-03 02:00:00,0.001,0.001,0.1817,0.0,0.0
2024-01-03 02:15:00,0.001,0.001,0.24503333333333333,0.0,0.0
2024-01-03 02:30:00,0.001,0.001,0.3083666666666666,0.0,0.0
2024-01-03 02:45:00,0.001,0.001,0.21103333333333335,0.0,0.0
2024-01-03 03:00:00,0.001,0.001,0.2843666666666667,0.0,0.0
2024-01-03 03:15:00,0.001,0.001,0.1817,0.0,0.0
2024-01-03 03:30:00,0.001,0.001,0.12742,0.0,0.0
2024-01-03 03:45:00,0.001,0.001,0.1346208789411657,0.0,0.0
2024-01-03 04:00:00,0.001,0.001,0.1915521973529143,0.0,2.0
2024-01-03 04:15:00,0.001,0.001,0.158218864019581,0.0,0.0
2024-01-03 04:30:00,0.001,0.001,0.12888553068624764,0.0,0.0
2024-01-03 04:45:00,0.001,0.001,0.07755219735291431,0.0,0.0
2024-01-03 05:00:00,0.001,0.001,0.04810347982352762,0.0,0.0
2024-01-03 05:15:00,0.001,0.001,0.13466666666666666,0.0,0.0
2024-01-03 05:30:00,0.001,0.001,0.16933333333333334,0.0,0.0
2024-01-03 05:45:00,0.001,0.001,0.156,0.0,0.0
2024-01-03 06:00:00,0.001,0.001,0.046,0.0,0.0
2024-01-03 06:15:00,0.001,0.001,0.04686666666666666,0.0,0.0
2024-01-03 06:30:00,0.001,0.001,0.059000000000000004,0.0,0.0
2024-01-03 06:45:00,0.001,0.001,0.5601333333333333,0.0,0.0
2024-01-03 07:00:00,0.001,0.001,0.221,0.0,0.0
2024-01-03 07:15:00,0.001,0.001,0.11766666666666667,5.866666666666666,0.3333333333333333
2024-01-03 07:30:00,0.001,0.001,0.059000000000000004,8.066666666666666,2.6666666666666665
2024-01-03 07:45:00,0.001,0.001,0.059000000000000004,0.0,0.0
2024-01-03 08:00:00,0.001,0.001,0.059000000000000004,0.0,0.0
2024-01-03 08:15:00,0.001,0.001,0.18766666666666668,0.0,0.0
2024-01-03 08:30:00,0.001,0.001,0.245,0.0,0.0
2024-01-03 08:45:00,0.001,0.001,0.06546666666666666,0.0,0.0
2024-01-03 09:00:00,0.001,0.001,0.046,0.0,0.0
2024-01-03 09:15:00,0.001,0.001,0.16040000000000001,0.0,0.0
