,TumbleDryer,WashingMachine,BaseLoad,P_HP
2024-01-01 12:15:00,0.001,0.001,0.049,0.0
2024-01-01 12:30:00,0.001,0.001,0.5374666666666666,0.0
2024-01-01 12:45:00,0.001,0.001,0.22633333333333333,0.0
2024-01-01 13:00:00,0.001,0.001,0.5698000000000001,0.0
2024-01-01 13:15:00,0.001,0.001,0.17,0.0
2024-01-01 13:30:00,0.001,0.001,0.17,0.0
2024-01-01 13:45:00,0.001,0.001,0.30782783858822094,0.0
2024-01-01 14:00:00,0.001,0.001,0.44921886401958094,0.4
2024-01-01 14:15:00,0.001,0.001,0.3489521973529143,2.0
2024-01-01 14:30:00,0.001,0.001,0.20714836096865036,0.13333333333333333
2024-01-01 14:45:00,0.001,0.001,0.7594426063922545,0.0
2024-01-01 15:00:00,0.001,0.001,0.21796202043147733,0.0
2024-01-01 15:15:00,0.001,0.001,0.1948237423726735,0.0
2024-01-01 15:30:00,0.001,0.001,0.27795707570600686,0.0
2024-01-01 15:45:00,0.001,0.001,0.2817161636157361,0.0
2024-01-01 16:00:00,0.001,0.001,0.183,0.0
2024-01-01 16:15:00,0.001,0.001,0.183,0.0
2024-01-01 16:30:00,0.001,0.001,1.2491333333333332,0.0
2024-01-01 16:45:00,0.001,0.001,0.19566666666666668,0.0
2024-01-01 17:00:00,0.001,0.001,1.504415828248449,0.0
2024-01-01 17:15:00,0.001,0.001,3.5915043283334507,0.0
2024-01-01 17:30:00,0.001,0.001,3.127175939725588,0.0
2024-01-01 17:45:00,0.001,0.001,2.8748426063922548,0.0
2024-01-01 18:00:00,0.001,0.001,2.733375939725588,0.0
2024-01-01 18:15:00,0.001,0.001,1.6900292730589213,0.0
2024-01-01 18:30:00,0.001,0.001,0.6241194407425646,0.0
2024-01-01 18:45:00,0.001,0.001,2.6650426063922548,0.0
2024-01-01 19:00:00,0.001,0.001,1.450775939725588,0.0
2024-01-01 19:15:00,0.001,0.001,0.3473759397255878,0.0
2024-01-01 19:30:00,0.001,0.001,0.3473759397255878,0.0
2024-01-01 19:45:00,0.001,0.001,0.42997593972558773,0.0
2024-01-01 20:00:00,0.001,0.001,0.45524260639225445,0.0
2024-01-01 20:15:00,0.001,0.001,0.25370927305892116,0.0
2024-01-01 20:30:00,0.001,0.001,0.3028237423726735,0.0
2024-01-01 20:45:00,0.001,0.001,0.8590286870981441,0.0
2024-01-01 21:00:00,0.001,0.001,0.33437593972558777,0.0
2024-01-01 21:15:00,0.001,0.001,0.5493626063922544,0.13333333333333333
2024-01-01 21:30:00,0.001,0.001,0.473709273058921,2.0
2024-01-01 21:45:00,0.001,0.11168793632775932,0.33437593972558777,0.4
2024-01-01 22:00:00,0.001,0.19883213881083456,0.44477593972558777,0.0
2024-01-01 22:15:00,0.001,1.1919111899081825,0.33437593972558777,0.0
2024-01-01 22:30:00,0.001,0.10943051901756166,0.8674426063922546,0.0
2024-01-01 22:45:00,0.001,0.17218476076597364,0.510309273058921,0.0
2024-01-01 23:00:00,0.001,0.35116374390942556,0.9817759397255877,0.0
2024-01-01 23:15:00,0.001,0.5287194589028279,0.3473759397255878,0.0
2024-01-01 23:30:00,0.001,0.12049328674879728,0.4577759397255877,0.0
2024-01-01 23:45:00,0.001,0.29288461440607627,0.7376426063922545,0.0
2024-01-02 00:00:00,0.001,1.8736703260242642,0.34231310944318505,0.0
2024-01-02 00:15:00,0.001,0.20474016831201747,0.5075481011373668,0.0
2024-01-02 00:30:00,0.001,0.012873736221630096,0.6610904090393402,0.0
2024-01-02 00:45:00,0.001,0.001,0.1818237423726735,0.0
2024-01-02 01:00:00,0.001,0.001,0.7148904090393402,0.0
2024-01-02 01:15:00,0.001,0.001,0.15762374237267351,0.0
2024-01-02 01:30:00,0.001,0.001,0.09966666666666667,0.0
2024-01-02 01:45:00,0.001,0.001,1.3051333333333333,0.0
2024-01-02 02:00:00,0.001,0.001,0.6074,0.0
2024-01-02 02:15:00,0.001,0.001,0.049,0.0
2024-01-02 02:30:00,0.001,0.001,0.049,0.0
2024-01-02 02:45:00,0.001,0.001,0.049,0.0
2024-01-02 03:00:00,0.001,0.001,0.13766666666666666,0.0
2024-01-02 03:15:00,0.001,0.001,0.22633333333333333,0.0
2024-01-02 03:30:00,0.001,0.001,0.049,0.0
