,TumbleDryer,DishWasher,BaseLoad,P_EV
2024-01-01 16:15:00,0.001,0.0,0.054,0.0
2024-01-01 16:30:00,0.001,0.0,0.06353333333333334,0.0
2024-01-01 16:45:00,0.001,0.0,0.24433333333333335,0.0
2024-01-01 17:00:00,0.001,0.0,0.181,0.0
2024-01-01 17:15:00,0.001,0.0,0.067,0.0
2024-01-01 17:30:00,0.001,0.0,0.0618,0.0
2024-01-01 17:45:00,0.001,0.0,0.054,0.0
2024-01-01 18:00:00,0.001,0.0,0.15533333333333335,0.0
2024-01-01 18:15:00,0.001,0.0,0.24400000000000002,0.0
2024-01-01 18:30:00,0.001,0.0,0.547473626313722,0.0
2024-01-01 18:45:00,0.001,0.0,2.446618864019581,0.0
2024-01-01 19:00:00,0.001,0.0,0.836618864019581,0.0
2024-01-01 19:15:00,0.001,0.0,2.4001521973529147,0.0
2024-01-01 19:30:00,0.001,0.0,1.9556778579177196,0.0
2024-01-01 19:45:00,0.001,0.0,0.3007849142942278,0.0
2024-01-01 20:00:00,0.001,0.0,0.19549040903934017,0.0
2024-01-01 20:15:00,0.001,0.0,0.18682374237267352,0.0
2024-01-01 20:30:00,0.001,0.0,0.3088237423726735,0.0
2024-01-01 20:45:00,0.001,0.0,0.8926745807908912,0.0
2024-01-01 21:00:00,0.001,0.0,0.328,0.0
2024-01-01 21:15:00,0.001,0.0,0.7978,0.0
2024-01-01 21:30:00,0.001,0.0,0.2807333333333333,0.0
2024-01-01 21:45:00,0.001,0.0,0.175,0.0
2024-01-01 22:00:00,0.001,0.0,0.2383333333333333,0.0
2024-01-01 22:15:00,0.001,0.0,0.365,0.0
2024-01-01 22:30:00,0.001,0.0,0.1162,0.0
2024-01-01 22:45:00,0.001,0.0,0.054,0.0
2024-01-01 23:00:00,0.001,0.0,0.054,0.0
2024-01-01 23:15:00,0.001,0.0,0.054,0.0
2024-01-01 23:30:00,0.001,0.0,0.2313333333333333,0.0
2024-01-01 23:45:00,0.001,0.0,0.168,0.0
2024-01-02 00:00:00,0.001,0.0,0.054,0.0
2024-01-02 00:15:00,0.001,0.0,0.054,0.0
2024-01-02 00:30:00,0.001,0.0,0.054,0.0
2024-01-02 00:45:00,0.001,0.0,0.15533333333333335,0.0
2024-01-02 01:00:00,0.001,0.0,0.24400000000000002,0.0
2024-01-02 01:15:00,0.001,0.0,0.054,0.0
2024-01-02 01:30:00,0.001,0.0,0.054,0.0
2024-01-02 01:45:00,0.001,0.0,0.054,0.0
2024-01-02 02:00:00,0.001,0.0,0.07933333333333333,0.0
2024-01-02 02:15:00,0.001,0.0,0.24400000000000002,0.0
2024-01-02 02:30:00,0.001,0.0,0.13,0.0
2024-01-02 02:45:00,0.001,0.0,0.054,0.0
2024-01-02 03:00:00,0.001,0.0,0.054,0.0
2024-01-02 03:15:00,0.001,0.0,0.054,0.0
2024-01-02 03:30:00,0.001,0.0,0.19333333333333333,0.0
2024-01-02 03:45:00,0.001,0.0,0.206,0.0
2024-01-02 04:00:00,0.001,0.0,0.054,0.0
2024-01-02 04:15:00,0.001,0.0,0.054,0.0
2024-01-02 04:30:00,0.001,0.0,0.054,0.0
2024-01-02 04:45:00,0.001,0.0,0.11733333333333333,0.0
2024-01-02 05:00:00,0.001,0.0,0.24400000000000002,0.0
2024-01-02 05:15:00,0.001,0.0,0.092,0.0
2024-01-02 05:30:00,0.001,0.0,0.054,0.0
2024-01-02 05:45:00,0.001,0.0,0.054,0.0
2024-01-02 06:00:00,0.001,0.0,0.054,0.0
2024-01-02 06:15:00,0.001,0.0,0.2313333333333333,0.0
2024-01-02 06:30:00,0.001,0.0,0.168,0.0
2024-01-02 06:45:00,0.001,0.0,0.054,0.0
2024-01-02 07:00:00,0.001,0.0,0.054,0.0
2024-01-02 07:15:00,0.001,0.0,0.054,0.0
2024-01-02 07:30:00,0.001,0.0,0.15533333333333335,0.0
2024-01-02 07:45:00,0.001,0.0,0.24400000000000002,0.0
2024-01-02 08:00:00,0.001,0.0,0.054,0.0
2024-01-02 08:15:00,0.001,0.0,0.054,4.666666666666667
2024-01-02 08:30:00,0.001,0.0,0.054,0.0
2024-01-02 08:45:00,0.001,0.0,0.07933333333333333,0.0
2024-01-02 09:00:00,0.001,0.0,0.24400000000000002,0.0
2024-01-02 09:15:00,0.001,0.0,0.13,0.0
2024-01-02 09:30:00,0.001,0.0,0.054,0.0
2024-01-02 09:45:00,0.001,0.0,0.054,0.0
2024-01-02 10:00:00,0.001,0.0,0.054,0.0
2024-01-02 10:15:00,0.001,0.0,0.19333333333333333,0.0
2024-01-02 10:30:00,0.001,0.0,0.6058,0.0
2024-01-02 10:45:00,0.001,0.0,0.054,1.8666666666666667
2024-01-02 11:00:00,0.001,0.0,0.054,2.8
2024-01-02 11:15:00,0.001,0.0,0.054,0.0
2024-01-02 11:30:00,0.001,0.0,0.11733333333333333,0.0
2024-01-02 11:45:00,0.001,0.0,0.24400000000000002,0.0
