,TumbleDryer,BaseLoad,P_HP
2024-01-08 04:00:00,0.001,0.08766666666666666,0.0
2024-01-08 04:15:00,0.001,0.161,0.0
2024-01-08 04:30:00,0.001,0.051,1.3333333333333333
2024-01-08 04:45:00,0.001,0.051,0.0
2024-01-08 05:00:00,0.001,0.10166666666666666,0.0
2024-01-08 05:15:00,0.001,0.20299999999999999,0.0
2024-01-08 05:30:00,0.001,0.13166666666666668,0.0
2024-01-08 05:45:00,0.001,0.117,0.0
2024-01-08 06:00:00,0.001,0.051,0.0
2024-01-08 06:15:00,0.001,0.051,0.0
2024-01-08 06:30:00,0.001,0.11433333333333333,2.4
2024-01-08 06:45:00,0.001,0.205,0.0
2024-01-08 07:00:00,0.001,0.161,0.0
2024-01-08 07:15:00,0.001,0.073,0.0
2024-01-08 07:30:00,0.001,0.051,0.0
2024-01-08 07:45:00,0.001,0.051,0.0
2024-01-08 08:00:00,0.001,0.12699999999999997,0.0
2024-01-08 08:15:00,0.001,0.23633333333333334,0.0
2024-01-08 08:30:00,0.001,0.13899999999999998,0.0
2024-01-08 08:45:00,0.001,0.051,0.0
2024-01-08 09:00:00,0.001,0.051,0.0
2024-01-08 09:15:00,0.001,0.051,0.0
2024-01-08 09:30:00,0.001,0.13966666666666666,0.0
2024-01-08 09:45:00,0.001,0.26766666666666666,0.0
2024-01-08 10:00:00,0.001,0.095,1.0666666666666667
2024-01-08 10:15:00,0.001,0.051,1.3333333333333333
2024-01-08 10:30:00,0.001,0.051,0.0
2024-01-08 10:45:00,0.001,0.051,0.0
2024-01-08 11:00:00,0.001,0.189,0.0
2024-01-08 11:15:00,0.001,0.26233333333333336,0.0
2024-01-08 11:30:00,0.001,0.051,0.0
2024-01-08 11:45:00,0.001,0.051,0.0
2024-01-08 12:00:00,0.001,0.051,0.0
2024-01-08 12:15:00,0.001,0.051,0.0
2024-01-08 12:30:00,0.001,0.24566666666666664,0.0
2024-01-08 12:45:00,0.001,0.20566666666666666,0.0
2024-01-08 13:00:00,0.001,0.051,0.0
2024-01-08 13:15:00,0.001,0.051,0.0
2024-01-08 13:30:00,0.001,0.051,0.0
2024-01-08 13:45:00,0.001,0.06566666666666666,2.4
2024-01-08 14:00:00,0.001,0.6874666666666668,0.0
2024-01-08 14:15:00,0.001,0.149,0.0
2024-01-08 14:30:00,0.001,0.051,0.0
2024-01-08 14:45:00,0.001,0.051,0.0
2024-01-08 15:00:00,0.001,0.051,0.0
2024-01-08 15:15:00,0.001,0.10966666666666666,0.0
2024-01-08 15:30:00,0.001,0.2783333333333333,0.0
2024-01-08 15:45:00,0.001,0.11433333333333333,0.0
2024-01-08 16:00:00,0.001,0.051,0.0
2024-01-08 16:15:00,0.001,0.051,0.0
2024-01-08 16:30:00,0.001,0.051,0.0
2024-01-08 16:45:00,0.001,0.15366666666666667,0.0
2024-01-08 17:00:00,0.001,0.247,0.0
2024-01-08 17:15:00,0.001,0.10166666666666666,0.0
2024-01-08 17:30:00,0.001,0.051,2.4
2024-01-08 17:45:00,0.001,0.051,0.0
2024-01-08 18:00:00,0.001,0.08766666666666666,0.0
2024-01-08 18:15:00,0.001,0.161,0.0
2024-01-08 18:30:00,0.001,0.21566666666666665,0.0
2024-01-08 18:45:00,0.001,0.089,0.0
2024-01-08 19:00:00,0.001,0.051,0.0
2024-01-08 19:15:00,0.001,0.051,0.0
2024-01-08 19:30:00,0.001,0.13166666666666668,0.0
2024-01-08 19:45:00,0.001,0.117,0.0
2024-01-08 20:00:00,0.001,0.22833333333333333,0.0
2024-01-08 20:15:00,0.001,0.07633333333333334,0.0
2024-01-08 20:30:00,0.001,0.051,0.0
2024-01-08 20:45:00,0.001,0.06566666666666666,0.0
2024-01-08 21:00:00,0.001,0.161,0.0
2024-01-08 21:15:00,0.001,0.073,2.4
2024-01-08 21:30:00,0.001,0.241,0.0
2024-01-08 21:45:00,0.001,0.06366666666666666,0.0
2024-01-08 22:00:00,0.001,0.051,0.0
2024-01-08 22:15:00,0.001,0.10966666666666666,0.0
2024-01-08 22:30:00,0.001,0.13899999999999998,0.0
2024-01-08 22:45:00,0.001,0.06366666666666666,0.0
2024-01-08 23:00:00,0.001,0.241,0.0
2024-01-08 23:15:00,0.001,0.051,0.0
2024-01-08 23:30:00,0.001,0.051,0.0
2024-01-08 23:45:00,0.001,0.15366666666666667,0.0
2024-01-09 00:00:00,0.001,0.095,0.0
2024-01-09 00:15:00,0.001,0.07633333333333334,0.0
2024-01-09 00:30:00,0.001,0.22833333333333333,0.0
2024-01-09 00:45:00,0.001,0.051,0.0
2024-01-09 01:00:00,0.001,0.08766666666666666,0.0
2024-01-09 01:15:00,0.001,0.161,0.0
2024-01-09 01:30:00,0.001,0.051,0.0
2024-01-09 01:45:00,0.001,0.089,0.0
2024-01-09 02:00:00,0.001,0.21566666666666665,0.0
2024-01-09 02:15:00,0.001,0.051,0.0
2024-01-09 02:30:00,0.001,0.13166666666666668,0.0
2024-01-09 02:45:00,0.001,0.117,0.0
2024-01-09 03:00:00,0.001,0.051,1.8666666666666667
2024-01-09 03:15:00,0.001,0.10166666666666666,0.26666666666666666
2024-01-09 03:30:00,0.001,0.20299999999999999,0.0
2024-01-09 03:45:00,0.001,0.06566666666666666,0.0
2024-01-09 04:00:00,0.001,0.161,0.0
2024-01-09 04:15:00,0.001,0.073,0.0
2024-01-09 04:30:00,0.001,0.051,0.0
2024-01-09 04:45:00,0.001,0.11433333333333333,0.0
2024-01-09 05:00:00,0.001,0.19033333333333333,2.4
2024-01-09 05:15:00,0.001,0.10966666666666666,0.0
2024-01-09 05:30:00,0.001,0.13899999999999998,0.0
2024-01-09 05:45:00,0.001,0.051,0.0
2024-01-09 06:00:00,0.001,0.051,0.0
2024-01-09 06:15:00,0.001,0.12699999999999997,0.0
2024-01-09 06:30:00,0.001,0.17766666666666667,0.0
2024-01-09 06:45:00,0.001,0.15366666666666667,0.0
2024-01-09 07:00:00,0.001,0.095,0.0
2024-01-09 07:15:00,0.001,0.051,0.0
2024-01-09 07:30:00,0.001,0.051,0.0
2024-01-09 07:45:00,0.001,0.13966666666666666,0.0
2024-01-09 08:00:00,0.001,0.20166666666666666,0.0
2024-01-09 08:15:00,0.001,0.161,0.0
2024-01-09 08:30:00,0.001,0.051,0.0
2024-01-09 08:45:00,0.001,0.051,0.0
2024-01-09 09:00:00,0.001,0.051,2.4
2024-01-09 09:15:00,0.001,0.15233333333333335,0.0
2024-01-09 09:30:00,0.001,0.233,0.0
2024-01-09 09:45:00,0.001,0.117,0.0
2024-01-09 10:00:00,0.001,0.051,0.0
2024-01-09 10:15:00,0.001,0.051,0.0
2024-01-09 10:30:00,0.001,0.051,0.0
2024-01-09 10:45:00,0.001,0.17966666666666667,0.0
2024-01-09 11:00:00,0.001,0.24966666666666668,0.0
2024-01-09 11:15:00,0.001,0.073,0.0
2024-01-09 11:30:00,0.001,0.051,0.0
2024-01-09 11:45:00,0.001,0.051,0.0
2024-01-09 12:00:00,0.001,0.051,0.0
2024-01-09 12:15:00,0.001,0.23633333333333334,0.0
2024-01-09 12:30:00,0.001,0.215,0.0
2024-01-09 12:45:00,0.001,0.051,0.0
2024-01-09 13:00:00,0.001,0.051,2.1333333333333333
2024-01-09 13:15:00,0.001,0.051,0.0
2024-01-09 13:30:00,0.001,0.051,0.0
2024-01-09 13:45:00,0.001,0.293,0.0
2024-01-09 14:00:00,0.001,0.15833333333333333,0.0
2024-01-09 14:15:00,0.001,0.051,0.0
2024-01-09 14:30:00,0.001,0.051,0.0
2024-01-09 14:45:00,0.001,0.051,0.0
2024-01-09 15:00:00,0.001,0.08766666666666666,0.0
2024-01-09 15:15:00,0.001,0.31299999999999994,0.0
2024-01-09 15:30:00,0.001,0.10166666666666666,0.0
2024-01-09 15:45:00,0.001,0.051,0.0
2024-01-09 16:00:00,0.001,0.051,0.0
2024-01-09 16:15:00,0.001,0.051,0.0
2024-01-09 16:30:00,0.001,0.13166666666666668,0.0
2024-01-09 16:45:00,0.001,0.2816666666666666,2.4
2024-01-09 17:00:00,0.001,0.089,0.0
2024-01-09 17:15:00,0.001,0.051,0.0
2024-01-09 17:30:00,0.001,0.051,0.0
2024-01-09 17:45:00,0.001,0.06566666666666666,0.0
2024-01-09 18:00:00,0.001,0.161,0.0
2024-01-09 18:15:00,0.001,0.25033333333333335,0.0
2024-01-09 18:30:00,0.001,0.07633333333333334,0.0
2024-01-09 18:45:00,0.001,0.051,0.0
2024-01-09 19:00:00,0.001,0.051,0.0
2024-01-09 19:15:00,0.001,0.10966666666666666,0.0
2024-01-09 19:30:00,0.001,0.13899999999999998,0.0
2024-01-09 19:45:00,0.001,0.241,0.0
2024-01-09 20:00:00,0.001,0.06366666666666666,0.0
2024-01-09 20:15:00,0.001,0.051,0.0
2024-01-09 20:30:00,0.001,0.051,0.0
2024-01-09 20:45:00,0.001,0.15366666666666667,2.4
2024-01-09 21:00:00,0.001,0.10766666666666666,0.0
2024-01-09 21:15:00,0.001,0.241,0.0
2024-01-09 21:30:00,0.001,0.051,0.0
2024-01-09 21:45:00,0.001,0.051,0.0
2024-01-09 22:00:00,0.001,0.08766666666666666,0.0
