,TumbleDryer,BaseLoad,P_HP,P_WB
2024-01-02 11:15:00,0.001,0.19933333333333333,0.0,0.0
2024-01-02 11:30:00,0.001,0.0738942454236041,0.0,2.4
2024-01-02 11:45:00,0.001,0.09629040903934016,0.0,1.2
2024-01-02 12:00:00,0.001,0.0792237423726735,0.0,0.0
2024-01-02 12:15:00,0.001,0.0588237423726735,0.0,0.0
2024-01-02 12:30:00,0.001,0.19815707570600685,0.0,0.0
2024-01-02 12:45:00,0.001,0.20767074440662725,0.0,2.4
2024-01-02 13:00:00,0.001,0.18079616361573608,0.0,0.0
2024-01-02 13:15:00,0.001,0.5673570757060068,0.0,0.0
2024-01-02 13:30:00,0.001,0.5673570757060068,0.0,2.2
2024-01-02 13:45:00,0.001,0.3008237423726735,1.6,0.0
2024-01-02 14:00:00,0.001,0.4404904090393401,0.8,0.0
2024-01-02 14:15:00,0.001,0.27682374237267354,0.0,0.0
2024-01-02 14:30:00,0.001,0.06551774644058098,0.0,0.0
2024-01-02 14:45:00,0.001,0.05826666666666667,0.0,0.0
2024-01-02 15:00:00,0.001,0.07855219735291431,0.0,0.0
2024-01-02 15:15:00,0.001,0.07855219735291431,0.0,0.0
2024-01-02 15:30:00,0.001,0.2242855306862476,0.0,0.0
2024-01-02 15:45:00,0.001,0.2898855306862476,0.0,1.2
2024-01-02 16:00:00,0.001,0.09568553068624763,0.0,0.8
2024-01-02 16:15:00,0.001,0.2625001446262438,0.0,0.0
2024-01-02 16:30:00,0.001,0.3008237423726735,0.0,0.0
2024-01-02 16:45:00,0.001,0.7008237423726735,0.0,0.0
2024-01-02 17:00:00,0.001,2.1354904090393405,1.3333333333333333,0.0
2024-01-02 17:15:00,0.001,0.3698237423726735,1.2,0.0
2024-01-02 17:30:00,0.001,0.14963141514120137,0.0,2.6
2024-01-02 17:45:00,0.001,0.5930666666666667,0.0,2.4
2024-01-02 18:00:00,0.001,0.06420695964705524,0.0,0.0
2024-01-02 18:15:00,0.001,0.09155219735291431,0.0,0.0
2024-01-02 18:30:00,0.001,0.5670188640195809,0.0,0.0
2024-01-02 18:45:00,0.001,0.6683521973529143,0.0,0.0
2024-01-02 19:00:00,0.001,0.11541886401958097,0.0,0.0
2024-01-02 19:15:00,0.001,0.5125014649019429,0.0,0.0
2024-01-02 19:30:00,0.001,0.5565333333333334,0.0,1.4
2024-01-02 19:45:00,0.001,0.29,0.0,1.8
2024-01-02 20:00:00,0.001,0.36599999999999994,0.0,0.0
2024-01-02 20:15:00,0.001,0.3993333333333334,0.9333333333333333,0.0
2024-01-02 20:30:00,0.001,0.19433333333333333,1.6,0.0
2024-01-02 20:45:00,0.001,0.13646666666666668,0.0,0.0
2024-01-02 21:00:00,0.001,0.047,0.0,0.0
2024-01-02 21:15:00,0.001,0.047,0.0,0.0
2024-01-02 21:30:00,0.001,0.11033333333333334,0.0,0.0
2024-01-02 21:45:00,0.001,0.237,0.0,0.0
2024-01-02 22:00:00,0.001,0.08499999999999999,0.0,0.0
2024-01-02 22:15:00,0.001,0.047,0.0,0.0
2024-01-02 22:30:00,0.001,0.047,0.0,0.0
2024-01-02 22:45:00,0.001,0.047,0.0,0.0
2024-01-02 23:00:00,0.001,0.09766666666666665,0.0,0.0
2024-01-02 23:15:00,0.001,0.237,0.0,0.0
2024-01-02 23:30:00,0.001,0.13799999999999998,0.0,1.0
2024-01-02 23:45:00,0.001,0.168,0.0,2.2
2024-01-03 00:00:00,0.001,0.168,0.0,0.0
2024-01-03 00:15:00,0.001,0.168,0.0,0.0
2024-01-03 00:30:00,0.001,0.206,0.0,0.6
2024-01-03 00:45:00,0.001,0.237,0.0,1.4
2024-01-03 01:00:00,0.001,0.11033333333333334,0.0,0.0
2024-01-03 01:15:00,0.001,0.047,0.0,0.0
2024-01-03 01:30:00,0.001,0.047,0.0,0.0
2024-01-03 01:45:00,0.001,0.047,0.0,0.0
2024-01-03 02:00:00,0.001,0.07233333333333333,0.0,0.0
2024-01-03 02:15:00,0.001,0.237,0.0,0.4
2024-01-03 02:30:00,0.001,0.123,0.0,1.8
2024-01-03 02:45:00,0.001,0.047,0.0,0.0
2024-01-03 03:00:00,0.001,0.047,0.0,0.0
2024-01-03 03:15:00,0.001,0.047,0.0,0.0
2024-01-03 03:30:00,0.001,0.059666666666666666,0.0,0.0
2024-01-03 03:45:00,0.001,0.237,0.0,2.8
2024-01-03 04:00:00,0.001,0.13566666666666669,0.0,0.4
2024-01-03 04:15:00,0.001,0.047,0.0,0.0
2024-01-03 04:30:00,0.001,0.047,1.7333333333333334,0.0
2024-01-03 04:45:00,0.001,0.047,1.8666666666666667,0.0
2024-01-03 05:00:00,0.001,0.047,0.0,0.0
2024-01-03 05:15:00,0.001,0.237,0.0,2.0
2024-01-03 05:30:00,0.001,0.14833333333333334,0.0,1.4
2024-01-03 05:45:00,0.001,0.047,0.0,0.0
2024-01-03 06:00:00,0.001,0.047,0.0,0.0
2024-01-03 06:15:00,0.001,0.047,0.4,0.0
2024-01-03 06:30:00,0.001,0.047,0.0,1.4
2024-01-03 06:45:00,0.001,0.22433333333333333,0.0,0.8
2024-01-03 07:00:00,0.001,0.161,1.3333333333333333,0.0
2024-01-03 07:15:00,0.001,0.047,2.0,0.0
2024-01-03 07:30:00,0.001,0.047,0.8,0.0
2024-01-03 07:45:00,0.001,0.0517294969490694,0.0,0.0
2024-01-03 08:00:00,0.001,0.0588237423726735,0.0,2.0
2024-01-03 08:15:00,0.001,0.22349040903934017,0.0,0.4
2024-01-03 08:30:00,0.001,0.1854904090393402,0.0,0.0
2024-01-03 08:45:00,0.001,0.0588237423726735,0.0,0.0
2024-01-03 09:00:00,0.001,0.5918904090393402,0.0,1.0
2024-01-03 09:15:00,0.001,0.0668589938981388,0.4,1.0
2024-01-03 09:30:00,0.001,0.05999999999999999,2.0,0.0
