,BaseLoad
2024-01-05 07:45:00,0.15033333333333332
2024-01-05 08:00:00,0.17099999999999999
2024-01-05 08:15:00,0.047
2024-01-05 08:30:00,0.047
2024-01-05 08:45:00,0.123
2024-01-05 09:00:00,0.237
2024-01-05 09:15:00,0.5382666666666667
2024-01-05 09:30:00,0.7648945052548876
2024-01-05 09:45:00,0.12255219735291431
2024-01-05 10:00:00,0.09155219735291431
2024-01-05 10:15:00,0.11688553068624764
2024-01-05 10:30:00,0.28155219735291426
2024-01-05 10:45:00,0.1499034798235276
2024-01-05 11:00:00,0.2969875787569374
2024-01-05 11:15:00,0.3299904090393401
2024-01-05 11:30:00,1.4972321669216717
2024-01-05 11:45:00,1.6904092730589213
2024-01-05 12:00:00,0.8653426063922544
2024-01-05 12:15:00,0.5479426063922543
2024-01-05 12:30:00,0.8322092730589211
2024-01-05 12:45:00,1.0181973686863954
2024-01-05 13:00:00,1.1641078081569782
2024-01-05 13:15:00,1.6963959397255879
2024-01-05 13:30:00,0.8900759397255879
2024-01-05 13:45:00,0.5500759397255878
2024-01-05 14:00:00,0.3618210235674096
2024-01-05 14:15:00,0.4859426063922545
2024-01-05 14:30:00,2.281498833588338
2024-01-05 14:45:00,1.959209273058921
2024-01-05 15:00:00,0.2894092730589211
2024-01-05 15:15:00,0.6826092730589212
2024-01-05 15:30:00,0.4100092730589211
2024-01-05 15:45:00,0.32940927305892115
2024-01-05 16:00:00,0.46300927305892114
2024-01-05 16:15:00,0.330158864019581
2024-01-05 16:30:00,0.3353553630026041
2024-01-05 16:45:00,0.5500759397255878
2024-01-05 17:00:00,0.4614092730589211
2024-01-05 17:15:00,0.5260892730589212
2024-01-05 17:30:00,0.49614462131383924
2024-01-05 17:45:00,0.38266202043147735
2024-01-05 18:00:00,0.3600759397255878
2024-01-05 18:15:00,0.502616945827449
2024-01-05 18:30:00,0.6019855306862476
2024-01-05 18:45:00,0.6017855306862477
2024-01-05 19:00:00,1.1138301041032959
2024-01-05 19:15:00,0.9281959397255879
2024-01-05 19:30:00,0.7468759397255877
2024-01-05 19:45:00,0.6250492730589211
2024-01-05 20:00:00,0.5695559397255877
2024-01-05 20:15:00,0.3727426063922545
2024-01-05 20:30:00,0.43240927305892113
2024-01-05 20:45:00,0.5090092730589212
2024-01-05 21:00:00,0.34707593972558776
2024-01-05 21:15:00,0.4036892730589211
2024-01-05 21:30:00,0.6033159397255877
2024-01-05 21:45:00,0.5208092730589211
2024-01-05 22:00:00,0.3574092730589211
2024-01-05 22:15:00,0.5020759397255878
2024-01-05 22:30:00,0.3917605555295344
2024-01-05 22:45:00,0.3490360033059356
2024-01-05 23:00:00,0.5382521973529143
2024-01-05 23:15:00,0.5592429417595415
2024-01-05 23:30:00,0.8827426063922544
2024-01-05 23:45:00,0.42306403535306203
2024-01-06 00:00:00,0.4395237423726735
2024-01-06 00:15:00,0.8485904090393402
2024-01-06 00:30:00,0.44679040903934014
2024-01-06 00:45:00,0.34736666666666666
2024-01-06 01:00:00,0.1827
2024-01-06 01:15:00,0.22403333333333333
2024-01-06 01:30:00,0.3377
2024-01-06 01:45:00,0.32250791412422447
2024-01-06 02:00:00,0.40419040903934017
2024-01-06 02:15:00,0.5055237423726735
2024-01-06 02:30:00,0.3408570757060068
2024-01-06 02:45:00,0.8485904090393401
2024-01-06 03:00:00,0.41021824762756115
2024-01-06 03:15:00,0.3111934448104722
2024-01-06 03:30:00,0.25225219735291426
2024-01-06 03:45:00,0.937318864019581
2024-01-06 04:00:00,0.6900521973529143
2024-01-06 04:15:00,0.2142521973529143
2024-01-06 04:30:00,0.575516813156861
2024-01-06 04:45:00,0.33526666666666666
2024-01-06 05:00:00,0.047
2024-01-06 05:15:00,0.22433333333333333
2024-01-06 05:30:00,0.5734666666666667
2024-01-06 05:45:00,0.047
2024-01-06 06:00:00,0.05733333333333333
2024-01-06 06:15:00,0.202
2024-01-06 06:30:00,0.109
2024-01-06 06:45:00,0.17366666666666666
2024-01-06 07:00:00,0.23646666666666669
2024-01-06 07:15:00,0.07213333333333333
2024-01-06 07:30:00,0.151
2024-01-06 07:45:00,0.25433333333333336
2024-01-06 08:00:00,0.275
2024-01-06 08:15:00,0.227
2024-01-06 08:30:00,0.26213333333333333
2024-01-06 08:45:00,0.098
2024-01-06 09:00:00,0.05999999999999999
