,WasherDryer,DishWasher,WashingMachine,BaseLoad,P_HP
2024-01-09 06:45:00,0.001,0.0,0.001,0.049,0.0
2024-01-09 07:00:00,0.001,0.0,0.001,0.049,0.0
2024-01-09 07:15:00,0.001,0.0,0.001,0.049,0.0
2024-01-09 07:30:00,0.001,0.0,0.001,0.137,0.0
2024-01-09 07:45:00,0.001,0.0,0.001,0.10766666666666666,0.0
2024-01-09 08:00:00,0.001,0.0,0.001,0.049,0.0
2024-01-09 08:15:00,0.001,0.0,0.001,0.049,0.0
2024-01-09 08:30:00,0.001,0.0,0.001,0.049,0.0
2024-01-09 08:45:00,0.001,0.0,0.001,0.12966666666666668,0.0
2024-01-09 09:00:00,0.001,0.0,0.001,0.115,0.0
2024-01-09 09:15:00,0.001,0.0,0.001,0.049,0.0
2024-01-09 09:30:00,0.001,0.0,0.001,0.049,0.2
2024-01-09 09:45:00,0.001,0.0,0.001,0.049,2.8
2024-01-09 10:00:00,0.001,0.0,0.001,0.12233333333333334,0.0
2024-01-09 10:15:00,0.001,0.0,0.001,0.12233333333333334,0.0
2024-01-09 10:30:00,0.001,0.0,0.001,0.049,0.0
2024-01-09 10:45:00,0.001,0.0,0.001,0.049,0.0
2024-01-09 11:00:00,0.001,0.0,0.001,0.049,0.0
2024-01-09 11:15:00,0.001,0.0,0.001,0.115,0.0
2024-01-09 11:30:00,0.001,0.0,0.001,0.12966666666666668,0.0
2024-01-09 11:45:00,0.001,0.0,0.001,0.049,0.0
2024-01-09 12:00:00,0.001,0.0,0.001,0.049,0.0
2024-01-09 12:15:00,0.001,0.0,0.001,0.049,0.0
2024-01-09 12:30:00,0.001,0.0,0.001,0.10766666666666666,0.0
2024-01-09 12:45:00,0.001,0.0,0.001,0.137,0.0
2024-01-09 13:00:00,0.001,0.0,0.001,0.049,0.0
2024-01-09 13:15:00,0.001,0.0,0.001,0.049,0.0
2024-01-09 13:30:00,0.001,0.0,0.001,0.049,0.0
2024-01-09 13:45:00,0.001,0.0,0.001,0.10033333333333334,0.0
2024-01-09 14:00:00,0.001,0.0,0.001,0.14433333333333334,0.0
2024-01-09 14:15:00,0.001,0.0,0.001,0.049,0.0
2024-01-09 14:30:00,0.001,0.0,0.001,0.049,0.0
2024-01-09 14:45:00,0.001,0.0,0.001,0.049,0.0
2024-01-09 15:00:00,0.001,0.0,0.001,0.093,0.0
2024-01-09 15:15:00,0.001,0.0,0.001,0.15166666666666667,0.0
2024-01-09 15:30:00,0.001,0.0,0.001,0.049,2.0
2024-01-09 15:45:00,0.001,0.0,0.001,0.049,1.0
2024-01-09 16:00:00,0.001,0.0,0.001,0.049,0.0
2024-01-09 16:15:00,0.001,0.0,0.001,0.08566666666666668,0.0
2024-01-09 16:30:00,0.001,0.0,0.001,0.159,0.0
2024-01-09 16:45:00,0.001,0.0,0.001,0.049,0.0
2024-01-09 17:00:00,0.001,0.0,0.001,0.049,0.0
2024-01-09 17:15:00,0.001,0.0,0.001,0.049,0.0
2024-01-09 17:30:00,0.001,0.0,0.001,0.07833333333333334,0.0
2024-01-09 17:45:00,0.001,0.0,0.001,0.159,0.0
2024-01-09 18:00:00,0.001,0.0,0.001,0.05633333333333333,0.0
2024-01-09 18:15:00,0.001,0.0,0.001,0.049,0.0
2024-01-09 18:30:00,0.001,0.0,0.001,0.049,0.0
2024-01-09 18:45:00,0.001,0.0,0.001,0.071,0.0
2024-01-09 19:00:00,0.001,0.0,0.001,0.159,0.0
2024-01-09 19:15:00,0.001,0.0,0.001,0.06366666666666668,0.0
2024-01-09 19:30:00,0.001,0.0,0.001,0.049,0.0
2024-01-09 19:45:00,0.001,0.0,0.001,0.049,0.0
2024-01-09 20:00:00,0.001,0.0,0.001,0.06366666666666668,0.0
2024-01-09 20:15:00,0.001,0.0,0.001,0.159,0.0
2024-01-09 20:30:00,0.001,0.0,0.001,0.2204,0.0
2024-01-09 20:45:00,0.001,0.0,0.001,0.6343333333333334,2.4
2024-01-09 21:00:00,0.001,0.0,0.001,0.291,0.6
2024-01-09 21:15:00,0.001,0.0,0.001,0.2983333333333333,0.0
2024-01-09 21:30:00,0.001,0.0,0.001,0.401,0.0
2024-01-09 21:45:00,0.001,0.0,0.001,0.30419999999999997,0.0
2024-01-09 22:00:00,0.001,0.0,0.001,0.049,0.0
2024-01-09 22:15:00,0.001,0.0,0.001,0.049,0.0
