,DishWasher,BaseLoad,P_HP
2024-01-07 06:30:00,0.0,0.058666666666666666,0.0
2024-01-07 06:45:00,0.0,0.14666666666666667,0.0
2024-01-07 07:00:00,0.0,0.044,0.0
2024-01-07 07:15:00,0.0,0.5770666666666667,0.0
2024-01-07 07:30:00,0.0,0.044,0.0
2024-01-07 07:45:00,0.0,0.044,0.0
2024-01-07 08:00:00,0.0,0.051333333333333335,2.1333333333333333
2024-01-07 08:15:00,0.0,0.16440000000000002,0.8
2024-01-07 08:30:00,0.0,0.057,0.0
2024-01-07 08:45:00,0.0,0.057,0.0
2024-01-07 09:00:00,0.0,0.05093333333333334,0.0
2024-01-07 09:15:00,0.0,0.14532,0.0
2024-01-07 09:30:00,0.0,0.057,0.0
2024-01-07 09:45:00,0.0,0.7003333333333334,0.0
2024-01-07 10:00:00,0.0,2.1459333333333332,0.0
2024-01-07 10:15:00,0.0,1.3922666666666668,0.0
2024-01-07 10:30:00,0.0,0.044,0.0
2024-01-07 10:45:00,0.0,0.044,0.0
2024-01-07 11:00:00,0.0,0.044,0.0
2024-01-07 11:15:00,0.0,0.14666666666666667,0.0
2024-01-07 11:30:00,0.0,0.058666666666666666,0.0
2024-01-07 11:45:00,0.0,0.044,1.8666666666666667
2024-01-07 12:00:00,0.0,0.053533333333333336,1.0666666666666667
2024-01-07 12:15:00,0.0,0.4866,0.0
2024-01-07 12:30:00,0.0,1.426,0.0
2024-01-07 12:45:00,0.0,1.5178666666666667,0.0
2024-01-07 13:00:00,0.0,0.187,0.0
2024-01-07 13:15:00,0.0,0.27154029298038856,0.0
2024-01-07 13:30:00,0.0,0.07555219735291431,0.0
2024-01-07 13:45:00,0.0,0.1884855306862476,0.0
2024-01-07 14:00:00,0.0,0.19655219735291432,0.0
2024-01-07 14:15:00,0.0,0.28455219735291426,0.0
2024-01-07 14:30:00,0.0,0.20695421227449903,0.0
2024-01-07 14:45:00,0.0,0.15693333333333334,0.0
2024-01-07 15:00:00,0.0,0.05093333333333334,0.0
2024-01-07 15:15:00,0.0,0.057,0.0
2024-01-07 15:30:00,0.0,0.057,0.0
2024-01-07 15:45:00,0.0,0.2022,2.933333333333333
2024-01-07 16:00:00,0.0,0.21417014649019428,0.0
2024-01-07 16:15:00,0.0,0.19655219735291432,0.0
2024-01-07 16:30:00,0.0,0.729618864019581,0.0
2024-01-07 16:45:00,0.0,0.19655219735291432,0.0
2024-01-07 17:00:00,0.0,0.14815219735291432,0.0
2024-01-07 17:15:00,0.0,0.1446785710391924,0.0
2024-01-07 17:30:00,0.0,0.18198205086272,0.0
2024-01-07 17:45:00,0.0,0.19655219735291432,0.0
2024-01-07 18:00:00,0.0,0.20443469226803,0.0
2024-01-07 18:15:00,0.0,0.2109759397255878,0.0
2024-01-07 18:30:00,0.0,0.3421938888628678,0.0
2024-01-07 18:45:00,0.0,1.3828237423726735,0.0
2024-01-07 19:00:00,0.0,1.2778628302824027,0.0
2024-01-07 19:15:00,0.0,0.05526666666666667,0.0
2024-01-07 19:30:00,0.0,0.046364748474534694,1.8666666666666667
2024-01-07 19:45:00,0.0,0.08809040903934016,1.0666666666666667
2024-01-07 20:00:00,0.0,0.17682374237267354,0.0
2024-01-07 20:15:00,0.0,0.23549040903934018,0.0
2024-01-07 20:30:00,0.0,0.2502147678040335,0.0
