,WashingMachine,BaseLoad,P_EV,P_HP
2024-01-01 11:15:00,0.001,0.07555219735291431,0.0,0.0
2024-01-01 11:30:00,0.001,0.18955219735291431,0.0,0.0
2024-01-01 11:45:00,0.001,0.2655521973529143,2.0,0.0
2024-01-01 12:00:00,0.001,0.06718406578430478,5.0,0.0
2024-01-01 12:15:00,0.001,0.044,0.0,0.0
2024-01-01 12:30:00,0.001,0.044,0.0,0.0
2024-01-01 12:45:00,0.001,0.082,0.0,0.0
2024-01-01 13:00:00,0.001,0.7670666666666667,0.0,1.4666666666666666
2024-01-01 13:15:00,0.001,0.13266666666666665,0.0,1.7333333333333334
2024-01-01 13:30:00,0.001,0.044,0.0,0.0
2024-01-01 13:45:00,0.001,0.05910347982352762,0.0,0.0
2024-01-01 14:00:00,0.001,0.0885521973529143,0.0,0.0
2024-01-01 14:15:00,0.001,0.24055219735291425,0.0,0.0
2024-01-01 14:30:00,0.001,0.653018864019581,0.0,0.0
2024-01-01 14:45:00,0.001,0.08075219735291432,0.0,0.0
2024-01-01 15:00:00,0.001,0.06924175788233145,0.0,0.0
2024-01-01 15:15:00,0.001,0.15674916158178234,0.0,0.0
2024-01-01 15:30:00,0.001,0.7858904090393402,0.0,0.0
2024-01-01 15:45:00,0.001,0.3668237423726735,0.0,0.0
2024-01-01 16:00:00,0.001,0.22749040903934017,0.0,0.0
2024-01-01 16:15:00,0.001,0.16875707570600681,0.0,0.0
2024-01-01 16:30:00,0.001,0.0558237423726735,0.0,0.0
2024-01-01 16:45:00,0.001,1.116439329265426,0.0,0.0
2024-01-01 17:00:00,0.001,0.7670666666666667,0.0,0.0
2024-01-01 17:15:00,0.001,0.17066666666666666,0.0,0.0
2024-01-01 17:30:00,0.001,0.13273333333333334,0.0,0.0
2024-01-01 17:45:00,0.001,0.165,0.0,0.0
2024-01-01 18:00:00,0.001,0.165,0.0,1.6
2024-01-01 18:15:00,0.001,0.27899999999999997,0.0,1.6
2024-01-01 18:30:00,0.001,0.31466666666666665,0.0,0.0
2024-01-01 18:45:00,0.001,1.6128,0.0,0.0
2024-01-01 19:00:00,0.001,2.166,0.0,0.0
2024-01-01 19:15:00,0.001,0.044,0.0,0.0
2024-01-01 19:30:00,0.001,0.082,0.0,0.0
2024-01-01 19:45:00,0.001,0.23478824949151159,0.0,0.0
2024-01-01 20:00:00,0.001,0.1465938888628678,0.0,0.0
2024-01-01 20:15:00,0.001,0.0873759397255878,0.0,0.0
2024-01-01 20:30:00,0.001,0.0873759397255878,0.0,0.0
2024-01-01 20:45:00,0.001,0.0873759397255878,0.0,0.0
2024-01-01 21:00:00,0.001,0.24744260639225446,0.0,0.0
2024-01-01 21:15:00,0.001,0.356741748644538,0.0,0.0
2024-01-01 21:30:00,0.001,0.17682374237267354,0.0,0.0
2024-01-01 21:45:00,0.001,0.17682374237267354,0.0,0.0
2024-01-01 22:00:00,0.001,0.17682374237267354,0.0,0.0
2024-01-01 22:15:00,0.001,0.20967245990206018,0.0,0.0
2024-01-01 22:30:00,0.001,0.280713109443185,0.0,0.0
2024-01-01 22:45:00,0.001,0.25510135893469665,0.0,0.0
2024-01-01 23:00:00,0.001,0.20837593972558782,0.0,0.0
2024-01-01 23:15:00,0.001,0.20837593972558782,0.0,0.0
2024-01-01 23:30:00,0.001,0.20837593972558782,0.0,0.0
2024-01-01 23:45:00,0.001,0.9314426063922545,0.0,0.0
