,WasherDryer,WashingMachine,BaseLoad,P_WB
2024-01-01 17:15:00,0.001,0.001,0.0628,0.0
2024-01-01 17:30:00,0.001,0.001,0.153,0.0
2024-01-01 17:45:00,0.001,0.001,0.15560000000000002,0.0
2024-01-01 18:00:00,0.001,0.001,0.166,0.0
2024-01-01 18:15:00,0.001,0.001,0.31303549288116195,0.0
2024-01-01 18:30:00,0.001,0.001,0.4651570757060068,0.0
2024-01-01 18:45:00,0.001,0.001,0.0804237423726735,1.2
2024-01-01 19:00:00,0.001,0.001,0.44362374237267344,0.8
2024-01-01 19:15:00,0.001,0.001,0.0438237423726735,0.0
2024-01-01 19:30:00,0.001,0.001,0.03357649898302314,0.0
2024-01-01 19:45:00,0.001,0.001,0.24597509121566477,0.0
2024-01-01 20:00:00,0.001,0.001,0.4698855306862476,0.0
2024-01-01 20:15:00,0.001,0.001,0.23122294175954156,1.3
2024-01-01 20:30:00,0.001,0.001,0.46290927305892116,1.5
2024-01-01 20:45:00,0.001,0.001,0.4946426063922545,1.5
2024-01-01 21:00:00,0.001,0.036593312409691596,0.2303759397255878,1.4
2024-01-01 21:15:00,0.001,0.19006134212123083,0.26717593972558784,0.5
2024-01-01 21:30:00,0.001,0.7803025484349668,0.6003092730589211,1.5
2024-01-01 21:45:00,0.001,0.5492199581826239,0.6848426063922546,1.5
2024-01-01 22:00:00,0.001,0.1434513441698239,0.1963759397255878,0.8
2024-01-01 22:15:00,0.001,0.2554147936828785,0.2015759397255878,0.0
2024-01-01 22:30:00,0.001,0.67508669111518,0.20937593972558782,0.0
2024-01-01 22:45:00,0.001,0.09870951859967539,0.27537593972558777,0.0
2024-01-01 23:00:00,0.001,0.18557756726486918,0.4273759397255878,0.0
2024-01-01 23:15:00,0.001,0.8314813029734992,0.32037099500011734,0.0
2024-01-01 23:30:00,0.001,1.341038226434923,0.16482374237267347,0.0
2024-01-01 23:45:00,0.001,0.14565805940498583,0.16482374237267347,0.6
