,TumbleDryer,WashingMachine,BaseLoad,P_HP
2024-01-03 22:15:00,0.001,0.001,0.17682374237267354,0.0
2024-01-03 22:30:00,0.001,0.001,0.3701570757060068,0.0
2024-01-03 22:45:00,0.001,0.001,0.4504904090393402,0.0
2024-01-03 23:00:00,0.001,0.001,0.17682374237267354,0.0
2024-01-03 23:15:00,0.001,0.001,0.1957550607844221,0.0
2024-01-03 23:30:00,0.001,0.001,0.32981886401958094,0.0
2024-01-03 23:45:00,0.001,0.001,0.5170855306862475,0.0
2024-01-04 00:00:00,0.001,0.001,0.4240855306862476,0.0
2024-01-04 00:15:00,0.001,0.001,0.164218864019581,0.0
2024-01-04 00:30:00,0.001,0.001,0.0734487175293867,0.2
2024-01-04 00:45:00,0.001,0.001,0.044,2.0
2024-01-04 01:00:00,0.001,0.001,0.08533333333333333,0.0
2024-01-04 01:15:00,0.001,0.001,0.24166666666666667,0.0
2024-01-04 01:30:00,0.001,0.001,0.234,0.0
2024-01-04 01:45:00,0.001,0.001,0.082,0.0
2024-01-04 02:00:00,0.001,0.001,0.044,0.0
2024-01-04 02:15:00,0.001,0.001,0.08533333333333333,0.0
2024-01-04 02:30:00,0.001,0.001,0.7113999999999999,0.0
2024-01-04 02:45:00,0.001,0.001,0.5578000000000001,0.0
2024-01-04 03:00:00,0.001,0.001,0.22133333333333335,0.0
2024-01-04 03:15:00,0.001,0.001,0.044,0.0
2024-01-04 03:30:00,0.001,0.001,0.08533333333333333,0.0
2024-01-04 03:45:00,0.001,0.001,0.17833333333333334,0.0
2024-01-04 04:00:00,0.001,0.001,0.44380000000000003,1.2
2024-01-04 04:15:00,0.001,0.001,0.34193333333333337,1.2
2024-01-04 04:30:00,0.001,0.001,0.17066666666666666,0.0
2024-01-04 04:45:00,0.001,0.001,0.08533333333333333,0.0
2024-01-04 05:00:00,0.001,0.001,0.17833333333333334,0.0
2024-01-04 05:15:00,0.001,0.001,0.044,0.0
2024-01-04 05:30:00,0.001,0.001,0.06933333333333333,0.0
2024-01-04 05:45:00,0.001,0.001,0.234,0.0
2024-01-04 06:00:00,0.001,0.001,0.16133333333333333,0.0
2024-01-04 06:15:00,0.001,0.001,0.17833333333333334,0.0
2024-01-04 06:30:00,0.001,0.001,0.044,0.0
2024-01-04 06:45:00,0.001,0.001,0.7513333333333333,0.0
2024-01-04 07:00:00,0.001,0.001,2.6417999999999995,0.0
2024-01-04 07:15:00,0.001,0.001,1.1241333333333332,0.0
2024-01-04 07:30:00,0.001,0.001,0.2106,0.0
2024-01-04 07:45:00,0.001,0.001,0.057,0.0
2024-01-04 08:00:00,0.001,0.001,1.6131333333333333,0.0
2024-01-04 08:15:00,0.001,0.001,2.179,0.0
2024-01-04 08:30:00,0.001,0.001,0.36646666666666666,0.0
2024-01-04 08:45:00,0.001,0.001,0.34473333333333334,0.0
2024-01-04 09:00:00,0.001,0.001,0.044,1.6
