,TumbleDryer,DishWasher,BaseLoad,P_EV,P_WB
2024-01-01 19:45:00,0.001,0.0,2.5712521973529143,0.0,1.5
2024-01-01 20:00:00,0.001,0.0,1.6689855306862476,0.0,1.4
2024-01-01 20:15:00,0.001,0.0,0.8982521973529143,0.0,0.0
2024-01-01 20:30:00,0.001,0.0,0.4541855306862477,0.0,0.0
2024-01-01 20:45:00,0.001,0.0,0.35228769023407625,0.0,0.0
2024-01-01 21:00:00,0.001,0.0,0.4579426063922545,0.0,1.2
2024-01-01 21:15:00,0.001,0.0,0.4645426063922545,0.0,1.1
2024-01-01 21:30:00,0.001,0.0,0.4705515809608945,0.0,0.0
2024-01-01 21:45:00,0.001,0.0,0.7588688262144953,0.0,0.0
2024-01-01 22:00:00,0.001,0.0,0.42996666666666655,0.0,0.2
2024-01-01 22:15:00,0.001,0.0,0.30301043947058287,0.0,1.5
2024-01-01 22:30:00,0.001,0.0,0.32825219735291433,0.0,1.2
2024-01-01 22:45:00,0.001,0.0,0.32825219735291433,0.0,0.0
2024-01-01 23:00:00,0.001,0.0,0.40158553068624764,0.0,0.8
2024-01-01 23:15:00,0.001,0.0,0.39480135893469664,0.0,1.2
2024-01-01 23:30:00,0.001,0.0,0.3400759397255878,0.0,0.0
2024-01-01 23:45:00,0.001,0.0,0.25240432833345067,0.0,0.0
2024-01-02 00:00:00,0.001,0.0,0.1875237423726735,0.0,0.0
2024-01-02 00:15:00,0.001,0.0,0.1875237423726735,0.0,1.5
2024-01-02 00:30:00,0.001,0.0,0.14612791412422452,0.0,1.5
2024-01-02 00:45:00,0.001,0.0,0.1178237423726735,0.0,1.5
2024-01-02 01:00:00,0.001,0.0,0.3183570757060068,0.0,1.5
2024-01-02 01:15:00,0.001,0.0,0.18509040903934018,0.0,1.5
2024-01-02 01:30:00,0.001,0.0,0.5848904090393402,0.0,1.5
2024-01-02 01:45:00,0.001,0.0,0.0518237423726735,0.0,1.5
2024-01-02 02:00:00,0.001,0.0,0.09866666666666667,0.0,1.5
2024-01-02 02:15:00,0.001,0.0,0.11333333333333333,0.0,0.1
2024-01-02 02:30:00,0.001,0.0,0.04,0.0,0.0
2024-01-02 02:45:00,0.001,0.0,0.04,0.0,0.0
2024-01-02 03:00:00,0.001,0.0,0.04,0.0,0.0
2024-01-02 03:15:00,0.001,0.0,0.04,0.0,0.0
2024-01-02 03:30:00,0.001,0.0,0.09133333333333332,0.0,0.0
2024-01-02 03:45:00,0.001,0.0,0.12066666666666667,0.0,0.0
2024-01-02 04:00:00,0.001,0.0,0.04,0.0,0.0
2024-01-02 04:15:00,0.001,0.0,0.04,0.0,0.0
2024-01-02 04:30:00,0.001,0.0,0.04,0.0,1.1
2024-01-02 04:45:00,0.001,0.0,0.04,0.0,1.5
2024-01-02 05:00:00,0.001,0.0,0.084,0.0,1.0
2024-01-02 05:15:00,0.001,0.0,0.128,0.0,0.9
2024-01-02 05:30:00,0.001,0.0,0.04,0.0,1.5
2024-01-02 05:45:00,0.001,0.0,0.5730666666666667,0.0,1.5
2024-01-02 06:00:00,0.001,0.0,0.04,0.0,1.2
2024-01-02 06:15:00,0.001,0.0,0.04,0.0,0.0
2024-01-02 06:30:00,0.001,0.0,0.0784,0.0,0.3
2024-01-02 06:45:00,0.001,0.0,0.14833333333333334,0.0,1.5
2024-01-02 07:00:00,0.001,0.0,0.053,0.0,1.5
2024-01-02 07:15:00,0.001,0.0,0.053,0.0,1.5
2024-01-02 07:30:00,0.001,0.0,0.0504,0.0,1.4
2024-01-02 07:45:00,0.001,0.0,0.04,0.0,0.0
2024-01-02 08:00:00,0.001,0.0,0.06933333333333333,0.0,0.0
2024-01-02 08:15:00,0.001,0.0,0.14266666666666666,0.0,0.0
2024-01-02 08:30:00,0.001,0.0,0.04,0.0,0.0
2024-01-02 08:45:00,0.001,0.0,0.04,0.0,0.0
2024-01-02 09:00:00,0.001,0.0,0.04,0.0,0.0
2024-01-02 09:15:00,0.001,0.0,0.0504,0.0,0.0
2024-01-02 09:30:00,1.1086209490368857,0.0003333333333333333,0.075,0.0,0.8
2024-01-02 09:45:00,1.9396937650350974,2.25,0.163,0.0,1.5
2024-01-02 10:00:00,1.7610668775895202,1.2004666666666668,0.053,0.0,0.2
2024-01-02 10:15:00,0.428166157682132,1.2004666666666668,0.046933333333333334,0.0,0.0
2024-01-02 10:30:00,0.9838099473829441,0.0006666666666666666,0.4398,0.0,0.0
2024-01-02 10:45:00,0.001,0.0,0.04,0.9333333333333333,0.0
2024-01-02 11:00:00,0.001,0.0,0.05466666666666667,7.0,0.0
2024-01-02 11:15:00,0.001,0.0,0.15806666666666666,3.7333333333333334,0.0
2024-01-02 11:30:00,0.001,0.0,0.17526666666666665,0.0,0.7
2024-01-02 11:45:00,0.001,0.0,0.174,0.0,1.5
2024-01-02 12:00:00,0.001,0.0,0.174,0.0,1.5
2024-01-02 12:15:00,0.001,0.0,0.174,0.0,1.5
2024-01-02 12:30:00,0.001,0.0,0.15713333333333332,0.9333333333333333,0.5
2024-01-02 12:45:00,0.001,0.0,0.163,0.0,0.0
2024-01-02 13:00:00,0.001,0.0,1.8574666666666666,0.0,0.0
2024-01-02 13:15:00,0.001,0.30033333333333334,1.265908424548998,0.0,0.0
2024-01-02 13:30:00,0.001,2.25,0.33708553068624764,0.0,0.0
2024-01-02 13:45:00,0.001,0.9006000000000001,0.5923521973529143,0.0,1.4
2024-01-02 14:00:00,0.001,1.2004666666666668,0.19255219735291432,0.0,1.5
2024-01-02 14:15:00,0.001,0.0004,0.2783521973529143,0.0,0.2
2024-01-02 14:30:00,0.001,0.0,0.07251739911763809,0.0,0.0
2024-01-02 14:45:00,0.001,0.0,0.04,0.0,0.0
2024-01-02 15:00:00,0.001,0.0,0.04,0.0,0.0
2024-01-02 15:15:00,0.001,0.0,0.04,0.0,1.1
2024-01-02 15:30:00,1.3312494268995703,0.0,0.161,0.0,1.5
2024-01-02 15:45:00,1.9120072957021788,0.0,0.26366666666666666,0.0,1.5
2024-01-02 16:00:00,1.975589256962361,0.0,0.19033333333333333,0.0,1.5
2024-01-02 16:15:00,1.7335662512467718,0.0,0.17993131841174861,0.0,1.5
2024-01-02 16:30:00,0.08761334898773074,0.0,0.19255219735291432,0.0,1.5
2024-01-02 16:45:00,0.001,0.0,0.11188553068624764,0.0,1.5
2024-01-02 17:00:00,0.001,0.0,0.0715521973529143,0.0,1.5
2024-01-02 17:15:00,0.001,0.0,0.1665382780588038,0.0,0.7
2024-01-02 17:30:00,0.001,0.0,0.21449450525488764,0.0,0.0
2024-01-02 17:45:00,0.001,0.0,0.19255219735291432,0.0,0.0
2024-01-02 18:00:00,0.001,0.0,0.19255219735291432,0.0,0.0
2024-01-02 18:15:00,0.001,0.0,0.19255219735291432,0.0,0.0
2024-01-02 18:30:00,0.001,0.0,0.16835219735291432,0.0,0.0
2024-01-02 18:45:00,0.001,0.0,0.6417750912156649,0.0,0.5
2024-01-02 19:00:00,0.001,0.0,0.20500000000000002,0.0,1.5
2024-01-02 19:15:00,0.001,0.0,0.161,0.0,1.5
2024-01-02 19:30:00,0.001,0.0,0.161,0.0,0.9
2024-01-02 19:45:00,0.001,0.0,0.161,0.0,1.5
2024-01-02 20:00:00,0.001,0.0,0.1586079141242245,0.0,1.5
2024-01-02 20:15:00,0.001,0.0,0.3329837423726735,0.0,1.5
2024-01-02 20:30:00,0.001,0.0,0.5233057932353935,0.0,1.5
2024-01-02 20:45:00,0.001,0.0,0.4740759397255878,0.0,1.5
2024-01-02 21:00:00,0.001,0.0,0.4723426063922545,0.0,1.5
2024-01-02 21:15:00,0.001,0.0,0.4610759397255878,0.0,1.5
2024-01-02 21:30:00,0.001,0.0,0.4582092730589212,0.0,1.5
2024-01-02 21:45:00,0.001,0.0,0.5474092730589212,0.0,1.5
2024-01-02 22:00:00,0.001,0.0,0.5327426063922545,0.0,1.5
2024-01-02 22:15:00,0.001,0.0,0.4740759397255878,0.0,1.5
2024-01-02 22:30:00,0.001,0.0,0.47320927305892113,0.0,1.5
2024-01-02 22:45:00,0.001,0.0,0.4610759397255878,0.0,1.5
2024-01-02 23:00:00,0.001,0.0,0.46028769023407623,0.0,0.2
2024-01-02 23:15:00,0.001,0.0,0.43213479823527623,0.0,0.6
2024-01-02 23:30:00,0.001,0.0,0.4837,0.0,1.5
2024-01-02 23:45:00,0.001,0.0,0.4429417578823315,0.0,1.5
