,TumbleDryer,DishWasher,BaseLoad,P_WB
2024-01-02 07:00:00,0.001,0.0,0.20266666666666666,1.3
2024-01-02 07:15:00,0.001,0.0,0.2773333333333333,0.0
2024-01-02 07:30:00,0.001,0.0,0.052,0.0
2024-01-02 07:45:00,0.001,0.0,0.052,0.0
2024-01-02 08:00:00,0.001,0.0,0.14733333333333334,0.0
2024-01-02 08:15:00,0.001,0.0,0.11066666666666666,0.0
2024-01-02 08:30:00,0.001,0.0,0.24633333333333335,0.0
2024-01-02 08:45:00,0.001,0.0,0.23366666666666666,0.0
2024-01-02 09:00:00,0.001,0.0,0.06326666666666667,0.0
2024-01-02 09:15:00,0.001,0.0,0.065,0.0
2024-01-02 09:30:00,0.001,0.0,0.153,0.0
2024-01-02 09:45:00,0.001,0.0,0.13099999999999998,0.0
2024-01-02 10:00:00,0.001,0.0,0.2978,0.0
2024-01-02 10:15:00,0.001,0.0,0.19,0.0
2024-01-02 10:30:00,0.001,0.0,0.0598,1.3
2024-01-02 10:45:00,0.001,0.0,0.08813827805880382,1.5
2024-01-02 11:00:00,0.001,0.0,0.17721886401958098,1.5
2024-01-02 11:15:00,0.001,0.0,0.7029521973529144,1.5
2024-01-02 11:30:00,0.001,0.0,0.37821886401958094,1.5
2024-01-02 11:45:00,0.001,0.0,1.6060278385882212,1.5
2024-01-02 12:00:00,0.001,0.0,1.1958,1.5
2024-01-02 12:15:00,0.001,0.0,0.6760666666666667,1.0
2024-01-02 12:30:00,0.001,0.0,0.33394,1.5
2024-01-02 12:45:00,0.001,0.0,0.3600333333333333,1.5
2024-01-02 13:00:00,0.001,0.001,0.5067307020197288,1.5
2024-01-02 13:15:00,0.001,1.2004666666666668,0.2947426063922545,1.5
2024-01-02 13:30:00,0.001,0.001,0.3544759397255878,1.5
2024-01-02 13:45:00,0.001,0.0004,0.35700927305892116,1.5
2024-01-02 14:00:00,0.001,0.0,0.6872092730589211,0.7
2024-01-02 14:15:00,0.001,0.0,0.6380988335883383,0.0
2024-01-02 14:30:00,0.001,0.0,0.6289472433896504,0.0
2024-01-02 14:45:00,0.001,0.0,0.40780374237267353,0.0
2024-01-02 15:00:00,0.001,0.0,0.6932304090393402,1.5
2024-01-02 15:15:00,0.001,0.0,0.45619040903934016,1.5
2024-01-02 15:30:00,0.001,0.0,0.27119040903934016,1.5
2024-01-02 15:45:00,0.001,0.0,0.3984923272314721,1.5
2024-01-02 16:00:00,0.001,0.0,0.4701904090393402,1.5
2024-01-02 16:15:00,0.001,0.0,0.23785707570600684,0.7
2024-01-02 16:30:00,0.001,0.0,0.5993237423726735,0.0
2024-01-02 16:45:00,0.001,0.0,0.1995237423726735,0.0
2024-01-02 17:00:00,0.001,0.0,0.25085707570600685,0.0
2024-01-02 17:15:00,0.001,0.0,0.4261904090393402,0.0
2024-01-02 17:30:00,0.001,0.0,0.9719237423726735,0.0
2024-01-02 17:45:00,0.001,0.0,0.2324369577831048,0.0
2024-01-02 18:00:00,0.001,0.0,0.23138553068624765,0.0
2024-01-02 18:15:00,0.001,0.0,0.7653188640195808,0.0
2024-01-02 18:30:00,0.001,0.0,1.549452197352914,0.0
2024-01-02 18:45:00,0.001,0.0,2.2674521973529145,0.0
2024-01-02 19:00:00,0.001,0.0,2.2400472526274435,0.0
2024-01-02 19:15:00,0.001,0.0,2.2947510797739143,0.0
2024-01-02 19:30:00,0.001,0.0,0.8535904090393401,0.6
2024-01-02 19:45:00,0.001,0.0,0.3205237423726735,1.5
2024-01-02 20:00:00,0.001,0.0,0.3478570757060069,1.5
2024-01-02 20:15:00,0.001,0.0,0.48525707570600685,0.8
2024-01-02 20:30:00,0.001,0.0,0.5130817910314365,0.0
2024-01-02 20:45:00,0.001,0.0,0.45065219735291434,0.0
2024-01-02 21:00:00,0.001,0.0,0.34025219735291434,0.0
2024-01-02 21:15:00,0.001,0.0,0.34025219735291434,0.0
2024-01-02 21:30:00,0.001,0.0,0.8329620296692707,0.1
2024-01-02 21:45:00,0.001,0.0,0.5774681011373668,1.5
2024-01-02 22:00:00,0.001,0.0,0.5240904090393402,1.5
2024-01-02 22:15:00,0.001,0.0,2.626237661666784,1.5
2024-01-02 22:30:00,0.001,0.0,0.5702426063922544,1.5
2024-01-02 22:45:00,0.001,0.0,0.22090927305892114,1.5
2024-01-02 23:00:00,0.001,0.0,0.7678267781438054,1.5
2024-01-02 23:15:00,0.001,0.0,0.3340111912510531,1.5
2024-01-02 23:30:00,0.001,0.0,0.2651689800785325,0.5
2024-01-02 23:45:00,0.001,0.0,0.16869040903934016,0.0
2024-01-03 00:00:00,0.001,0.0,0.18482374237267354,0.2
2024-01-03 00:15:00,0.001,0.0,0.7178904090393402,1.5
2024-01-03 00:30:00,0.001,0.0,0.3234904090393401,1.5
2024-01-03 00:45:00,0.001,0.0,0.40197266259875924,1.4
2024-01-03 01:00:00,0.001,0.0,0.3416666666666667,0.0
2024-01-03 01:15:00,0.001,0.0,0.173,0.0
2024-01-03 01:30:00,0.001,0.0,0.11653333333333332,0.0
2024-01-03 01:45:00,0.001,0.0,0.052,0.0
2024-01-03 02:00:00,0.001,0.0,0.21433333333333332,0.0
2024-01-03 02:15:00,0.001,0.0,0.2563333333333333,0.0
2024-01-03 02:30:00,0.001,0.0,0.21533333333333332,0.5
2024-01-03 02:45:00,0.001,0.0,0.052,1.5
2024-01-03 03:00:00,0.001,0.0,0.052,0.0
2024-01-03 03:15:00,0.001,0.0,0.08299999999999999,0.3
2024-01-03 03:30:00,0.001,0.0,0.207,1.5
2024-01-03 03:45:00,0.001,0.0,0.238,1.1
2024-01-03 04:00:00,0.001,0.0,0.21,0.0
2024-01-03 04:15:00,0.001,0.0,0.052,0.0
2024-01-03 04:30:00,0.001,0.0,0.18873333333333334,0.0
2024-01-03 04:45:00,0.001,0.0,0.39353333333333335,0.0
2024-01-03 05:00:00,0.001,0.0,0.189,0.0
2024-01-03 05:15:00,0.001,0.0,0.7894,0.2
2024-01-03 05:30:00,0.001,0.0,0.21766666666666667,1.5
2024-01-03 05:45:00,0.001,0.0,0.05633333333333333,1.5
2024-01-03 06:00:00,0.001,0.0,0.052,0.9
2024-01-03 06:15:00,0.001,0.0,0.41153333333333336,1.2
2024-01-03 06:30:00,0.001,0.0,0.41153333333333336,1.5
2024-01-03 06:45:00,0.001,0.0,0.253,1.5
2024-01-03 07:00:00,0.001,0.0,0.21233333333333335,1.5
2024-01-03 07:15:00,0.001,0.0,0.065,1.4
2024-01-03 07:30:00,0.001,0.0,0.065,0.8
2024-01-03 07:45:00,0.001,0.0,0.18466666666666667,1.5
2024-01-03 08:00:00,0.001,0.0,0.5242,0.1
2024-01-03 08:15:00,0.001,0.0,0.267,0.0
2024-01-03 08:30:00,0.001,0.4503333333333333,0.207,1.3
2024-01-03 08:45:00,0.001,2.25,0.1066,0.7
2024-01-03 09:00:00,0.001,0.9006000000000001,0.143,0.0
2024-01-03 09:15:00,0.001,1.0505333333333333,0.298,0.0
2024-01-03 09:30:00,0.001,0.00046666666666666666,0.174,0.0
2024-01-03 09:45:00,0.001,0.0,0.26799999999999996,0.8
2024-01-03 10:00:00,0.001,0.0,0.20166666666666666,1.5
2024-01-03 10:15:00,0.001,0.0,0.065,1.5
2024-01-03 10:30:00,0.001,0.0,0.096,0.3
2024-01-03 10:45:00,0.001,0.0,0.22,0.9
2024-01-03 11:00:00,0.001,0.0,0.46480000000000005,1.5
2024-01-03 11:15:00,0.001,0.0,0.3018666666666666,1.0
2024-01-03 11:30:00,0.001,0.0,0.3173333333333333,0.0
2024-01-03 11:45:00,0.001,0.0,1.9452666666666665,0.0
2024-01-03 12:00:00,0.001,0.0,0.8790666666666667,0.0
2024-01-03 12:15:00,0.001,0.0,1.1458000000000002,0.0
2024-01-03 12:30:00,0.001,0.0,2.901295091215665,0.0
2024-01-03 12:45:00,0.001,0.0,1.523218864019581,0.0
2024-01-03 13:00:00,0.047599999999999996,0.0,0.3331521973529143,0.0
2024-01-03 13:15:00,1.6749872683640312,0.0,0.21834044684442588,1.3
2024-01-03 13:30:00,1.938184883948303,0.0,1.6327759397255879,0.7
2024-01-03 13:45:00,1.4662601493572336,0.0,2.5463959397255875,0.0
2024-01-03 14:00:00,0.11151544767406735,0.0,1.3650759397255876,0.0
2024-01-03 14:15:00,0.001,0.0,1.3905426063922544,0.0
2024-01-03 14:30:00,0.001,0.0,0.451255060784422,0.0
2024-01-03 14:45:00,0.001,0.0,0.3721612474575578,0.0
2024-01-03 15:00:00,0.001,0.0,0.451217746440581,0.0
2024-01-03 15:15:00,0.001,0.0,0.3955237423726735,0.0
2024-01-03 15:30:00,0.001,0.0,0.3335237423726735,0.0
2024-01-03 15:45:00,0.001,0.0,0.5604570757060068,0.0
2024-01-03 16:00:00,0.001,0.0,0.40852374237267347,1.0
2024-01-03 16:15:00,1.349903287396694,0.0,0.20148824949151153,1.1
2024-01-03 16:30:00,1.9543692345505406,0.0,0.3557,0.0
2024-01-03 16:45:00,1.6781960525128936,0.0,0.36699450525488764,0.0
2024-01-03 17:00:00,0.29146574527918295,0.0,0.34025219735291434,0.0
2024-01-03 17:15:00,1.126037347586818,0.0,0.5742521973529142,0.5
2024-01-03 17:30:00,0.9460586926351623,0.0,0.45892294175954157,1.5
2024-01-03 17:45:00,1.1589785383217532,0.0,0.38307593972558784,1.5
2024-01-03 18:00:00,1.106781166057763,0.0,0.4506092730589212,1.5
2024-01-03 18:15:00,0.001,0.0,0.3247307020197287,1.5
2024-01-03 18:30:00,0.001,0.0,0.3521217274510888,1.5
2024-01-03 18:45:00,0.001,0.0,0.7075426063922544,1.5
2024-01-03 19:00:00,0.001,0.0,2.584075939725588,1.5
2024-01-03 19:15:00,0.001,0.0,1.678475939725588,0.0
2024-01-03 19:30:00,0.001,0.0,0.3550759397255879,1.5
2024-01-03 19:45:00,0.001,0.0,0.2310759397255878,1.3
2024-01-03 20:00:00,0.001,0.0,0.25325627509287485,0.0
2024-01-03 20:15:00,0.001,0.0,0.41325219735291435,0.0
2024-01-03 20:30:00,0.001,0.0,0.4260521973529143,0.0
2024-01-03 20:45:00,0.001,0.0,0.8579661074092314,0.0
2024-01-03 21:00:00,0.001,0.0,0.5783426063922545,0.0
2024-01-03 21:15:00,0.001,1.2003333333333333,0.7518759397255879,0.7
2024-01-03 21:30:00,0.001,1.8002,0.7898759397255878,1.5
2024-01-03 21:45:00,1.349903287396694,1.3504,0.5702359397255878,1.5
2024-01-03 22:00:00,1.9543692345505406,0.30086666666666667,0.5062359397255878,1.5
2024-01-03 22:15:00,1.6781960525128936,0.0,0.49807593972558784,1.5
2024-01-03 22:30:00,0.29146574527918295,0.0,0.4140759397255878,1.5
2024-01-03 22:45:00,1.126037347586818,0.0,0.44039593972558777,1.5
2024-01-03 23:00:00,0.9460586926351623,0.0,0.40274260639225445,1.5
2024-01-03 23:15:00,1.1589785383217532,0.0,0.5060759397255877,1.5
2024-01-03 23:30:00,0.8960308856081102,0.0,0.3491426063922545,1.5
2024-01-03 23:45:00,0.001,0.0,0.4090988335883383,1.5
2024-01-04 00:00:00,0.001,0.0,0.2620759397255878,1.5
2024-01-04 00:15:00,0.001,0.0,0.2239816943019837,1.5
2024-01-04 00:30:00,0.001,0.0,0.28258553068624764,1.5
2024-01-04 00:45:00,0.001,0.0,0.3532521973529143,1.5
2024-01-04 01:00:00,0.001,0.0,0.8680771061372495,1.5
2024-01-04 01:15:00,0.001,0.0,0.9124333333333332,1.5
2024-01-04 01:30:00,0.001,0.0,0.18769999999999998,1.5
2024-01-04 01:45:00,0.001,0.0,0.18769999999999998,1.5
2024-01-04 02:00:00,0.001,0.0,0.2637,1.5
2024-01-04 02:15:00,0.001,0.0,0.3017,1.5
2024-01-04 02:30:00,0.001,0.0,0.35969999999999996,1.5
2024-01-04 02:45:00,0.001,0.0,0.35569999999999996,1.5
2024-01-04 03:00:00,0.001,0.0,0.18769999999999998,1.5
2024-01-04 03:15:00,0.001,0.0,0.16960666666666666,1.5
2024-01-04 03:30:00,0.001,0.0,0.14066666666666666,1.5
2024-01-04 03:45:00,0.001,0.0,0.5531333333333334,1.5
2024-01-04 04:00:00,0.001,0.0,0.7807333333333334,0.2
2024-01-04 04:15:00,0.001,0.0,0.19633333333333333,1.5
2024-01-04 04:30:00,0.001,0.0,0.052,1.5
2024-01-04 04:45:00,0.001,0.0,0.052,0.5
2024-01-04 05:00:00,0.001,0.0,0.15333333333333332,0.0
2024-01-04 05:15:00,0.001,0.0,0.14066666666666666,0.0
2024-01-04 05:30:00,0.001,0.0,0.2872,0.0
2024-01-04 05:45:00,0.001,0.0,0.20666666666666664,0.1
2024-01-04 06:00:00,0.001,0.0,0.07919999999999999,1.5
2024-01-04 06:15:00,0.001,0.0,0.052,1.5
2024-01-04 06:30:00,0.001,0.0,0.16599999999999998,0.0
2024-01-04 06:45:00,0.001,0.0,0.128,0.0
2024-01-04 07:00:00,0.001,0.0,0.295,0.0
2024-01-04 07:15:00,0.001,0.0,0.5488000000000001,0.0
2024-01-04 07:30:00,0.001,0.0,0.052,1.4
2024-01-04 07:45:00,0.001,0.0,0.052,1.5
2024-01-04 08:00:00,0.001,0.0,0.23526666666666665,1.5
2024-01-04 08:15:00,0.001,0.0,2.5974,1.5
2024-01-04 08:30:00,0.001,0.0,1.5133215828248447,1.5
2024-01-04 08:45:00,0.001,0.0,0.34915707570600685,1.5
2024-01-04 09:00:00,0.001,0.0,0.2758237423726735,1.5
2024-01-04 09:15:00,0.001,0.0,0.1926237423726735,1.5
2024-01-04 09:30:00,0.001,0.0,0.3371570757060069,1.5
2024-01-04 09:45:00,0.001,0.0,1.2354745807908913,1.5
2024-01-04 10:00:00,0.001,0.0,0.3752666666666667,1.5
2024-01-04 10:15:00,0.001,0.0,0.13873333333333332,1.5
2024-01-04 10:30:00,0.001,0.0,0.08170146490194287,1.5
2024-01-04 10:45:00,0.001,0.0,0.49635219735291436,1.5
2024-01-04 11:00:00,0.001,0.0,0.2636855306862476,1.5
2024-01-04 11:15:00,0.9808338158094145,0.9003333333333333,0.3525521973529143,1.5
2024-01-04 11:30:00,1.8718670002722217,2.1000666666666667,0.3805521973529143,1.5
2024-01-04 11:45:00,1.9694928551016753,1.0505333333333333,0.24861391929411047,1.5
2024-01-04 12:00:00,1.8811419253958235,0.6006666666666667,0.143,1.5
2024-01-04 12:15:00,0.3366899832194773,0.0,0.07626666666666666,1.5
2024-01-04 12:30:00,0.001,0.0,0.21666666666666667,1.5
2024-01-04 12:45:00,0.001,0.0,0.20133333333333334,1.5
2024-01-04 13:00:00,0.001,0.0,0.17266666666666666,1.5
2024-01-04 13:15:00,0.001,0.0,0.14733333333333334,1.5
2024-01-04 13:30:00,0.001,0.0,0.052,1.5
2024-01-04 13:45:00,0.001,0.0,0.052,1.5
2024-01-04 14:00:00,0.001,0.0,0.22933333333333333,1.5
2024-01-04 14:15:00,0.001,0.0,0.21966666666666665,1.5
2024-01-04 14:30:00,0.001,0.0,0.13433333333333333,0.2
2024-01-04 14:45:00,0.001,0.0,0.6908863312993796,0.0
2024-01-04 15:00:00,0.001,0.0,0.0638237423726735,0.0
2024-01-04 15:15:00,0.001,0.0,0.0638237423726735,0.0
2024-01-04 15:30:00,0.001,0.0,1.2176904090393401,0.9
