,TumbleDryer,DishWasher,WashingMachine,BaseLoad
2024-01-01 15:15:00,0.001,0.0,0.5891640288904405,0.1572
2024-01-01 15:30:00,0.001,0.0,0.125838916766587,0.6866824949151158
2024-01-01 15:45:00,0.001,0.0,0.28592485526772343,0.26082374237267353
2024-01-01 16:00:00,0.001,0.0,1.7786189899076337,0.5888904090393403
2024-01-01 16:15:00,0.001,0.0,0.30575700752031626,0.1324237423726735
2024-01-01 16:30:00,0.001,0.0,0.16873927696341465,0.15649040903934017
2024-01-01 16:45:00,0.001,0.0,0.10489705157657285,0.03494124745755783
2024-01-01 17:00:00,0.001,0.0,0.001,0.08166666666666668
2024-01-01 17:15:00,0.001,0.0,0.001,0.221
2024-01-01 17:30:00,0.001,0.0,0.001,0.06899999999999999
2024-01-01 17:45:00,0.001,0.0,0.001,0.1966
2024-01-01 18:00:00,0.001,0.0,0.001,0.28740362444977147
2024-01-01 18:15:00,0.001,0.0,0.001,0.1953759397255878
2024-01-01 18:30:00,0.001,0.0,0.001,0.1953759397255878
2024-01-01 18:45:00,0.001,0.0,0.001,0.3753092730589211
2024-01-01 19:00:00,0.001,0.0,0.001,0.7170464427765185
2024-01-01 19:15:00,0.001,0.0,0.001,0.19070927305892116
2024-01-01 19:30:00,0.001,0.0,0.001,0.25297593972558785
2024-01-01 19:45:00,0.001,0.0,0.001,0.20837593972558782
2024-01-01 20:00:00,0.001,0.0,0.001,0.20837593972558782
2024-01-01 20:15:00,0.001,0.0,0.001,0.3145759397255878
2024-01-01 20:30:00,0.001,0.0,0.001,0.7411814437084936
2024-01-01 20:45:00,0.001,0.0,0.001,0.304313109443185
2024-01-01 21:00:00,0.001,0.0,0.001,0.2780426063922545
2024-01-01 21:15:00,0.001,0.0,0.001,0.1953759397255878
2024-01-01 21:30:00,0.001,0.0,0.001,0.1953759397255878
2024-01-01 21:45:00,0.001,0.0,0.001,0.7791092730589212
2024-01-01 22:00:00,0.001,0.0,0.001,0.772555060784422
2024-01-01 22:15:00,0.001,0.0,0.001,0.35737593972558773
2024-01-01 22:30:00,0.001,0.0,0.001,0.2677092730589211
2024-01-01 22:45:00,0.001,0.0,0.042154049271240696,0.5951759397255878
2024-01-01 23:00:00,0.001,0.0,0.3286032769611479,0.7284426063922546
2024-01-01 23:15:00,0.001,0.0,0.7776798389088754,0.1953759397255878
2024-01-01 23:30:00,0.001,0.0,0.16114019821312534,0.3727092730589211
2024-01-01 23:45:00,0.001,0.0,0.1581828177695388,1.6304426063922546
2024-01-02 00:00:00,0.001,0.0,1.000722737988656,0.5239092730589212
2024-01-02 00:15:00,0.001,0.0,0.7836777193005633,0.1953759397255878
2024-01-02 00:30:00,0.001,0.0,0.12242849310647148,0.1953759397255878
2024-01-02 00:45:00,0.001,0.0,0.2539360595937185,0.19379944074256467
2024-01-02 01:00:00,0.001,0.0,0.7200642343758334,0.21688553068624764
2024-01-02 01:15:00,0.001,0.0,0.2705145916472217,0.4928855306862476
2024-01-02 01:30:00,0.001,0.0,0.001,0.23521886401958095
2024-01-02 01:45:00,0.001,0.0,0.001,0.1835521973529143
2024-01-02 02:00:00,0.001,0.0,0.001,0.13586666666666666
2024-01-02 02:15:00,0.001,0.0,0.001,0.030999999999999996
2024-01-02 02:30:00,0.001,0.0,0.001,0.08166666666666668
2024-01-02 02:45:00,0.001,0.0,0.001,0.376
2024-01-02 03:00:00,0.001,0.0,0.001,0.5101333333333333
2024-01-02 03:15:00,0.001,0.0,0.001,0.5640666666666666
2024-01-02 03:30:00,0.001,0.0,0.001,0.5640666666666667
2024-01-02 03:45:00,0.001,0.0,0.001,0.030999999999999996
2024-01-02 04:00:00,0.001,0.0,0.001,0.5744
2024-01-02 04:15:00,0.001,0.0,0.001,0.36333333333333334
2024-01-02 04:30:00,0.001,0.0,0.001,0.16333333333333336
2024-01-02 04:45:00,0.001,0.0,0.001,0.030999999999999996
2024-01-02 05:00:00,0.001,0.0,0.001,0.030999999999999996
2024-01-02 05:15:00,0.001,0.0,0.001,0.030999999999999996
2024-01-02 05:30:00,0.001,0.0,0.001,0.051666666666666666
2024-01-02 05:45:00,0.001,0.0,0.001,0.3
2024-01-02 06:00:00,0.001,0.0,0.001,0.21633333333333335
2024-01-02 06:15:00,0.001,0.0,0.001,0.43079999999999996
2024-01-02 06:30:00,0.001,0.0,0.001,0.044
2024-01-02 06:45:00,0.001,0.0,0.001,0.044
2024-01-02 07:00:00,0.001,0.0,0.001,0.075
2024-01-02 07:15:00,0.001,0.0,0.001,0.24966666666666668
2024-01-02 07:30:00,0.001,0.0,0.001,0.2846666666666666
2024-01-02 07:45:00,0.001,0.0,0.001,0.20299999999999999
2024-01-02 08:00:00,0.001,0.0,0.001,0.165
2024-01-02 08:15:00,0.001,0.0,0.001,0.15893333333333332
2024-01-02 08:30:00,0.001,0.0,0.001,0.19419999999999998
2024-01-02 08:45:00,0.001,0.0,0.001,0.6875333333333333
2024-01-02 09:00:00,0.001,0.0,0.001,0.6211333333333333
2024-01-02 09:15:00,0.001,0.0,0.001,0.14533333333333334
2024-01-02 09:30:00,0.001,0.0,0.001,0.044
2024-01-02 09:45:00,0.001,0.0,0.001,1.2368
2024-01-02 10:00:00,0.001,0.0,0.001,2.0922
2024-01-02 10:15:00,0.001,0.0,0.001,0.4553333333333333
2024-01-02 10:30:00,0.001,0.0,0.001,0.158
2024-01-02 10:45:00,0.001,0.0,0.001,0.3650716113921372
2024-01-02 11:00:00,0.001,0.0,0.001,1.008418864019581
2024-01-02 11:15:00,0.001,0.0,0.001,0.06688553068624764
2024-01-02 11:30:00,0.001,0.0,0.001,0.1245521973529143
2024-01-02 11:45:00,0.001,0.0,0.001,0.19688553068624765
2024-01-02 12:00:00,0.001,0.0,0.001,0.08377014649019429
2024-01-02 12:15:00,0.001,0.0,0.001,0.221
2024-01-02 12:30:00,0.001,0.0,0.001,0.06899999999999999
2024-01-02 12:45:00,0.001,0.0,0.001,0.030999999999999996
2024-01-02 13:00:00,0.001,0.0,0.001,0.10333333333333333
2024-01-02 13:15:00,0.001,0.0,0.001,0.155
2024-01-02 13:30:00,0.001,0.0,0.001,0.030999999999999996
2024-01-02 13:45:00,0.001,0.0,0.001,0.20833333333333334
2024-01-02 14:00:00,0.001,0.0,0.001,0.13233333333333333
2024-01-02 14:15:00,0.001,0.0,0.001,0.030999999999999996
2024-01-02 14:30:00,0.001,0.0,0.001,0.11366666666666667
2024-01-02 14:45:00,0.001,0.0,0.001,0.14466666666666667
2024-01-02 15:00:00,0.001,0.0,0.001,0.030999999999999996
2024-01-02 15:15:00,0.001,0.0,0.001,0.1562666666666667
2024-01-02 15:30:00,0.001,0.0,0.001,0.4752
2024-01-02 15:45:00,0.001,0.0,0.001,0.17726666666666668
2024-01-02 16:00:00,0.001,0.0,0.001,0.13353333333333334
