,BaseLoad,P_EV,P_HP,P_WB
2024-01-02 04:00:00,0.054,3.2666666666666666,0.0,1.5
2024-01-02 04:15:00,0.054,0.0,0.8,1.5
2024-01-02 04:30:00,0.147,0.0,2.4,1.5
2024-01-02 04:45:00,0.178,0.0,0.0,1.5
2024-01-02 05:00:00,0.15666666666666668,0.0,0.0,1.5
2024-01-02 05:15:00,0.11266666666666666,0.0,0.0,1.5
2024-01-02 05:30:00,0.054,0.0,0.0,0.3
2024-01-02 05:45:00,0.054,0.0,0.0,0.0
2024-01-02 06:00:00,0.178,0.0,0.0,0.0
2024-01-02 06:15:00,0.147,0.0,0.0,0.0
2024-01-02 06:30:00,0.15666666666666668,0.0,0.0,1.2
2024-01-02 06:45:00,0.11266666666666666,0.0,0.0,0.0
2024-01-02 07:00:00,0.06006666666666667,0.0,0.0,0.0
2024-01-02 07:15:00,0.145,0.0,0.0,0.1
2024-01-02 07:30:00,0.3,0.0,0.0,1.2
2024-01-02 07:45:00,0.207,0.0,0.0,0.0
2024-01-02 08:00:00,0.21733333333333335,0.0,0.0,0.0
2024-01-02 08:15:00,0.11266666666666666,5.6,0.0,0.6
2024-01-02 08:30:00,0.054,0.9333333333333333,0.0,1.5
2024-01-02 08:45:00,0.08499999999999999,0.0,0.0,1.5
2024-01-02 09:00:00,0.209,0.0,0.0,1.5
2024-01-02 09:15:00,0.08499999999999999,0.0,0.0,1.5
2024-01-02 09:30:00,0.15666666666666668,0.0,0.0,0.6
2024-01-02 09:45:00,0.11266666666666666,0.0,0.0,0.0
2024-01-02 10:00:00,0.054,0.0,2.0,0.0
2024-01-02 10:15:00,0.116,0.0,0.2,0.0
2024-01-02 10:30:00,0.209,0.0,0.0,0.0
2024-01-02 10:45:00,0.054,0.0,0.0,0.0
2024-01-02 11:00:00,0.15666666666666668,0.0,0.0,0.0
2024-01-02 11:15:00,0.11266666666666666,0.0,0.0,0.9
2024-01-02 11:30:00,0.054,0.0,0.0,1.2
2024-01-02 11:45:00,0.147,0.0,0.0,0.0
2024-01-02 12:00:00,0.5778,0.0,0.0,1.1
2024-01-02 12:15:00,0.054,0.0,0.0,1.5
2024-01-02 12:30:00,0.15666666666666668,0.0,0.0,1.5
2024-01-02 12:45:00,0.11266666666666666,0.0,0.0,1.5
2024-01-02 13:00:00,0.054,0.0,0.0,1.5
2024-01-02 13:15:00,0.178,0.0,0.0,1.5
2024-01-02 13:30:00,0.147,0.0,0.0,1.5
2024-01-02 13:45:00,0.054,0.0,0.0,1.5
2024-01-02 14:00:00,0.15666666666666668,0.0,0.0,1.5
2024-01-02 14:15:00,0.24593333333333334,0.0,0.0,0.5
2024-01-02 14:30:00,0.32053333333333334,0.0,0.0,0.0
2024-01-02 14:45:00,0.7612592537294224,0.0,0.0,0.0
2024-01-02 15:00:00,0.1593759397255878,0.0,0.0,0.0
2024-01-02 15:15:00,0.0973759397255878,0.0,0.0,1.0
2024-01-02 15:30:00,0.2000426063922545,0.0,0.0,0.0
2024-01-02 15:45:00,0.15604260639225448,0.0,0.0,0.0
2024-01-02 16:00:00,0.10182339504973065,0.0,0.0,0.0
2024-01-02 16:15:00,0.6088,0.0,0.0,1.3
2024-01-02 16:30:00,0.08499999999999999,0.0,1.4,0.0
2024-01-02 16:45:00,0.054,0.0,0.8,1.0
2024-01-02 17:00:00,0.15666666666666668,0.0,0.0,1.5
2024-01-02 17:15:00,0.11266666666666666,0.0,0.0,1.1
2024-01-02 17:30:00,0.16263932926542587,0.0,0.0,1.3
2024-01-02 17:45:00,0.3418237423726735,0.0,0.0,0.0
2024-01-02 18:00:00,0.18682374237267352,0.0,0.0,0.0
2024-01-02 18:15:00,0.18682374237267352,0.0,0.0,0.0
2024-01-02 18:30:00,0.29790432833345065,0.0,0.0,0.0
2024-01-02 18:45:00,0.2770426063922544,0.0,0.0,0.0
2024-01-02 19:00:00,0.6781759397255879,0.0,0.0,0.4
2024-01-02 19:15:00,0.8312292730589211,0.0,0.0,1.5
2024-01-02 19:30:00,0.2959092730589211,0.0,0.0,1.5
2024-01-02 19:45:00,0.3523759397255878,0.0,0.0,1.5
2024-01-02 20:00:00,1.0930426063922547,0.0,0.0,1.5
2024-01-02 20:15:00,2.4628591265687265,0.0,0.0,1.5
2024-01-02 20:30:00,0.5191237423726734,0.0,0.0,1.5
2024-01-02 20:45:00,0.5365237423726735,0.0,0.0,1.5
2024-01-02 21:00:00,0.3735237423726735,0.0,0.0,1.5
2024-01-02 21:15:00,0.3355237423726735,0.0,0.0,1.5
2024-01-02 21:30:00,0.45922520727461635,0.0,0.0,1.2
2024-01-02 21:45:00,0.3450759397255878,0.0,0.0,0.0
2024-01-02 22:00:00,0.8969150276353169,0.0,0.0,0.0
2024-01-02 22:15:00,0.4042521973529143,0.0,0.0,0.5
2024-01-02 22:30:00,0.875318864019581,0.0,0.0,1.5
2024-01-02 22:45:00,0.4750759397255878,0.0,0.0,0.8
2024-01-02 23:00:00,1.1066023134118659,0.0,0.0,0.0
2024-01-02 23:15:00,0.5647426063922545,0.0,0.0,0.0
2024-01-02 23:30:00,0.6300759397255877,0.0,0.0,0.0
2024-01-02 23:45:00,0.45767593972558784,0.0,0.0,0.6
2024-01-03 00:00:00,0.26395027916078234,0.0,0.0,1.5
2024-01-03 00:15:00,0.1918034798235276,0.0,0.0,1.5
2024-01-03 00:30:00,0.2923666666666666,0.0,0.0,1.5
2024-01-03 00:45:00,0.3247666666666667,0.0,0.0,0.3
2024-01-03 01:00:00,0.33,0.0,0.0,0.0
2024-01-03 01:15:00,0.175,0.0,0.0,0.0
2024-01-03 01:30:00,0.175,0.0,0.0,0.0
2024-01-03 01:45:00,0.175,0.0,0.0,0.0
2024-01-03 02:00:00,0.16473333333333334,0.0,0.0,0.0
