,WashingMachine,BaseLoad,P_EV,P_WB
2024-01-02 13:45:00,0.001,0.4836426063922545,0.0,3.0
2024-01-02 14:00:00,0.001,2.4723759397255876,0.0,0.0
2024-01-02 14:15:00,0.001,2.4852147678040333,0.0,0.0
2024-01-02 14:30:00,0.001,0.279898081807868,0.0,0.0
2024-01-02 14:45:00,0.001,0.38639999999999997,0.0,0.0
2024-01-02 15:00:00,0.001,0.3953333333333333,0.0,0.4
2024-01-02 15:15:00,0.001,0.30206666666666665,0.0,3.0
2024-01-02 15:30:00,0.001,0.383427838588221,0.0,0.8
2024-01-02 15:45:00,0.001,0.33681886401958094,0.0,1.6
2024-01-02 16:00:00,0.001,0.281618864019581,0.0,1.6
2024-01-02 16:15:00,0.001,1.6323718619856276,0.0,0.0
2024-01-02 16:30:00,0.001,1.6111092730589214,0.0,1.8
2024-01-02 16:45:00,0.001,0.9609759397255878,0.0,2.4
2024-01-02 17:00:00,0.001,0.2199620204314773,0.0,0.0
2024-01-02 17:15:00,0.001,0.21782374237267352,0.0,1.0
2024-01-02 17:30:00,0.001,0.3024589938981388,0.0,1.8
2024-01-02 17:45:00,0.001,0.3758666666666667,0.0,0.0
2024-01-02 18:00:00,0.001,0.32399999999999995,0.0,0.0
2024-01-02 18:15:00,0.001,2.2802000000000002,0.0,2.6
2024-01-02 18:30:00,0.001,1.2933333333333332,0.0,0.2
2024-01-02 18:45:00,0.001,0.32627857103919233,0.0,0.0
2024-01-02 19:00:00,0.001,0.34564644277651835,0.0,0.0
2024-01-02 19:15:00,0.001,0.8771092730589211,0.0,1.0
2024-01-02 19:30:00,0.001,0.6357092730589211,0.0,1.0
2024-01-02 19:45:00,0.001,0.4177092730589211,0.0,0.0
2024-01-02 20:00:00,0.030364887719969622,0.36964260639225444,0.0,0.0
2024-01-02 20:15:00,0.11640013629473317,0.4567994407425646,0.0,0.0
2024-01-02 20:30:00,0.3054680546714754,0.40621886401958096,0.0,0.0
2024-01-02 20:45:00,1.0758094750348788,1.5870176920980266,0.0,0.0
2024-01-02 21:00:00,0.11981635502885384,3.4367778579177197,0.0,0.0
2024-01-02 21:15:00,0.2712441244073021,1.467275939725588,0.0,2.2
2024-01-02 21:30:00,0.5786271619195081,0.47207593972558776,0.0,0.0
2024-01-02 21:45:00,0.1775471126635482,0.5420092730589212,0.0,0.0
2024-01-02 22:00:00,0.001,0.5909426063922545,0.0,0.0
2024-01-02 22:15:00,0.001,0.5494092730589212,0.0,0.0
2024-01-02 22:30:00,0.001,0.7002759397255878,0.0,0.6
2024-01-02 22:45:00,0.001,0.5128092730589212,0.0,3.0
2024-01-02 23:00:00,0.001,0.4730759397255878,0.0,2.6
2024-01-02 23:15:00,0.001,0.45627593972558783,0.0,3.0
2024-01-02 23:30:00,0.001,0.44683418184325635,0.0,1.2
2024-01-02 23:45:00,0.001,0.47852374237267353,0.0,0.0
2024-01-03 00:00:00,0.001,0.9280059959320925,0.0,0.0
2024-01-03 00:15:00,0.001,0.38285707570600686,0.0,0.0
2024-01-03 00:30:00,0.001,0.3195237423726735,0.0,0.0
2024-01-03 00:45:00,0.001,0.7193237423726735,0.0,0.0
2024-01-03 01:00:00,0.001,0.24712374237267348,0.0,0.0
2024-01-03 01:15:00,0.001,0.3221549161581782,0.0,0.0
2024-01-03 01:30:00,0.001,0.4987,0.0,2.2
2024-01-03 01:45:00,0.001,0.39736666666666665,0.0,0.0
2024-01-03 02:00:00,0.001,0.3087,0.0,0.0
2024-01-03 02:15:00,0.001,0.2192333333333333,0.0,0.0
2024-01-03 02:30:00,0.001,0.15051333333333333,0.0,1.8
2024-01-03 02:45:00,0.001,0.4508,0.0,0.2
2024-01-03 03:00:00,0.001,0.22833333333333333,0.0,2.0
2024-01-03 03:15:00,0.001,0.165,0.0,2.0
2024-01-03 03:30:00,0.001,0.051,0.0,3.0
2024-01-03 03:45:00,0.001,0.051,0.0,0.6
2024-01-03 04:00:00,0.001,0.051,0.0,0.0
2024-01-03 04:15:00,0.001,0.051,0.0,1.0
2024-01-03 04:30:00,0.001,0.20299999999999999,0.0,3.0
2024-01-03 04:45:00,0.001,0.19033333333333333,0.0,0.8
2024-01-03 05:00:00,0.001,0.051,0.0,1.8
2024-01-03 05:15:00,0.001,0.051,0.0,1.4
2024-01-03 05:30:00,0.001,0.051,0.0,0.0
2024-01-03 05:45:00,0.001,0.060533333333333335,0.0,0.0
2024-01-03 06:00:00,0.001,0.19066666666666665,0.0,1.0
2024-01-03 06:15:00,0.001,0.22866666666666668,0.0,2.6
2024-01-03 06:30:00,0.001,0.5970666666666667,0.0,0.0
2024-01-03 06:45:00,0.001,0.05706666666666667,0.0,0.0
2024-01-03 07:00:00,0.001,0.051,0.0,1.4
2024-01-03 07:15:00,0.001,0.051,0.0,3.0
2024-01-03 07:30:00,0.001,0.5634,0.0,0.0
2024-01-03 07:45:00,0.001,0.254,0.0,0.0
2024-01-03 08:00:00,0.001,0.064,0.0,1.4
2024-01-03 08:15:00,0.001,0.16973333333333332,0.0,3.0
2024-01-03 08:30:00,0.10233478986486258,0.186,0.0,3.0
2024-01-03 08:45:00,0.36330937265511193,0.186,0.0,2.0
2024-01-03 09:00:00,0.7448434248549539,0.262,0.0,2.4
2024-01-03 09:15:00,0.12795766130169658,0.3516,0.0,0.8
2024-01-03 09:30:00,0.18132711716955444,0.08933333333333333,0.0,2.6
2024-01-03 09:45:00,1.1661397118533803,0.10018666666666666,0.0,1.0
2024-01-03 10:00:00,0.596649559355055,0.1997,0.0,0.0
2024-01-03 10:15:00,0.12117046888454211,1.4651,0.0,0.0
2024-01-03 10:30:00,0.2824425081346481,2.367166666666667,0.0,0.0
2024-01-03 10:45:00,0.9319294030625876,0.8164647484745348,0.0,0.0
2024-01-03 11:00:00,0.001,0.9172570757060069,0.0,0.0
2024-01-03 11:15:00,0.001,0.7333237423726736,0.0,0.0
2024-01-03 11:30:00,0.001,0.33179040903934015,0.0,2.8
2024-01-03 11:45:00,0.001,0.3689237423726735,0.0,0.8
2024-01-03 12:00:00,0.001,0.7580215828248449,0.0,0.0
2024-01-03 12:15:00,0.001,0.7204333333333334,0.0,0.0
2024-01-03 12:30:00,0.001,1.152047252627444,0.0,0.0
2024-01-03 12:45:00,0.001,0.566118864019581,0.0,0.0
