,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_HP,P_WB
2024-01-01 10:00:00,0.001,0.0,0.001,0.044,0.0,0.0
2024-01-01 10:15:00,0.001,0.0,0.001,0.17066666666666666,0.0,0.0
2024-01-01 10:30:00,0.001,0.0,0.001,0.2966666666666667,0.0,0.0
2024-01-01 10:45:00,0.001,0.0,0.1613153268107452,0.10266666666666667,0.0,3.0
2024-01-01 11:00:00,0.001,0.0,0.4742561237541715,0.044,0.0,0.0
2024-01-01 11:15:00,0.001,0.0,0.614273171681349,0.044,0.0,0.0
2024-01-01 11:30:00,0.001,0.0,0.15269830158935585,0.044,0.0,2.3333333333333335
2024-01-01 11:45:00,0.001,0.0,0.3591484120935252,0.18333333333333332,1.6666666666666667,4.333333333333333
2024-01-01 12:00:00,0.001,0.0,1.3103478708408682,0.8097333333333334,1.3333333333333333,0.0
2024-01-01 12:15:00,0.001,0.0,0.24717629226994017,0.12300000000000001,0.0,0.0
2024-01-01 12:30:00,0.001,0.0,0.10649224540073976,0.057,0.0,0.0
2024-01-01 12:45:00,0.001,0.0,0.3213968434492331,0.057,0.0,0.0
2024-01-01 13:00:00,0.001,0.0,0.8709994292464647,0.057,0.0,0.0
2024-01-01 13:15:00,0.001,0.0,0.001,0.20120000000000002,0.0,0.0
2024-01-01 13:30:00,0.001,0.0,0.001,0.25666666666666665,0.0,2.3333333333333335
2024-01-01 13:45:00,0.001,0.0,0.001,0.1275805767229837,0.0,3.3333333333333335
2024-01-01 14:00:00,0.001,0.0,0.001,0.0558237423726735,0.0,0.0
2024-01-01 14:15:00,0.001,0.0,0.001,0.0558237423726735,0.0,0.0
2024-01-01 14:30:00,0.001,0.0,0.001,0.0558237423726735,0.0,0.0
2024-01-01 14:45:00,0.001,0.0,0.001,0.22049040903934017,3.0,0.0
2024-01-01 15:00:00,0.001,0.0,0.001,0.23903141514120135,0.0,0.0
2024-01-01 15:15:00,0.001,0.0,0.001,0.12466666666666666,0.0,4.333333333333333
2024-01-01 15:30:00,0.001,0.0,0.001,0.044,0.0,3.3333333333333335
2024-01-01 15:45:00,0.001,0.0,0.001,0.044,0.0,0.0
2024-01-01 16:00:00,0.001,0.0,0.001,0.044,0.0,0.0
2024-01-01 16:15:00,0.001,0.0,0.001,0.6211333333333333,0.0,0.0
2024-01-01 16:30:00,0.001,0.0,0.001,0.21666666666666667,0.0,0.0
2024-01-01 16:45:00,0.001,0.0,0.001,0.132,0.0,2.3333333333333335
2024-01-01 17:00:00,0.001,0.0,0.001,0.044,0.0,0.0
2024-01-01 17:15:00,0.001,0.0,0.001,0.044,0.0,0.0
2024-01-01 17:30:00,0.001,0.0,0.001,0.044,0.6666666666666666,0.3333333333333333
2024-01-01 17:45:00,0.001,0.0,0.001,0.234,2.3333333333333335,4.0
2024-01-01 18:00:00,0.001,0.0,0.001,0.19666666666666668,0.0,0.0
2024-01-01 18:15:00,0.001,0.0,0.001,0.1687776073242297,0.0,0.0
2024-01-01 18:30:00,0.001,0.0,0.001,0.0873759397255878,0.0,0.0
2024-01-01 18:45:00,0.001,0.0,0.001,0.4871759397255878,0.0,0.0
2024-01-01 19:00:00,0.001,0.0,0.001,0.10004260639225446,0.0,0.0
2024-01-01 19:15:00,0.001,0.0,0.001,0.2877759397255878,0.0,0.0
2024-01-01 19:30:00,0.001,0.0,0.001,0.2531488354522887,0.0,3.3333333333333335
2024-01-01 19:45:00,0.001,0.0,0.001,0.6951666666666667,0.0,1.3333333333333333
2024-01-01 20:00:00,0.001,0.0,0.001,0.19269999999999998,0.0,0.0
2024-01-01 20:15:00,0.001,0.0,0.001,0.6005666666666667,0.0,0.0
2024-01-01 20:30:00,0.001,0.0,0.09392164779051025,0.34376283028240273,0.0,0.3333333333333333
2024-01-01 20:45:00,0.001,0.0,0.2165984273480836,0.5218341818432564,3.0,2.0
2024-01-01 21:00:00,0.001,0.0,1.1430523432723534,0.4636759397255878,0.0,0.0
2024-01-01 21:15:00,0.001,0.0,0.1447400146355617,0.8538759397255878,0.0,0.0
2024-01-01 21:30:00,0.001,0.0,0.1411019904780345,0.3440759397255878,0.0,0.0
2024-01-01 21:45:00,0.001,0.0,0.2720530160899676,0.30153469226803,0.0,0.0
2024-01-01 22:00:00,0.001,0.0,0.6309848638715755,0.26855819328500685,0.0,0.0
2024-01-01 22:15:00,0.001,0.0,0.12937987831482983,0.4260759397255878,0.0,0.0
2024-01-01 22:30:00,0.001,0.0,0.27823892558351815,0.3287426063922545,0.0,0.0
2024-01-01 22:45:00,0.001,0.0,0.04246322650126107,0.33135158096089445,0.0,0.0
2024-01-01 23:00:00,0.001,0.0,0.001,0.20059040903934017,0.0,0.0
