,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_HP
2024-01-02 08:15:00,0.001,0.0,0.001,0.10833333333333334,0.0
2024-01-02 08:30:00,0.001,0.0,0.001,0.10833333333333334,0.0
2024-01-02 08:45:00,0.001,0.0,0.001,0.035,0.0
2024-01-02 09:00:00,0.001,0.0,0.001,0.225,0.0
2024-01-02 09:15:00,0.001,0.0,0.001,0.12366666666666666,0.0
2024-01-02 09:30:00,0.001,0.0,0.001,0.035,2.1333333333333333
2024-01-02 09:45:00,0.001,0.0,0.001,0.11566666666666665,0.0
2024-01-02 10:00:00,0.001,0.0,0.001,0.10099999999999999,0.0
2024-01-02 10:15:00,0.001,0.0,0.001,0.17433333333333334,0.0
2024-01-02 10:30:00,0.001,0.0,0.001,0.17433333333333334,0.0
2024-01-02 10:45:00,0.001,0.0,0.001,0.035,0.0
2024-01-02 11:00:00,0.001,0.0,0.001,0.035,0.0
2024-01-02 11:15:00,0.001,0.0,0.001,0.123,0.0
2024-01-02 11:30:00,0.001,0.0,0.001,0.18233333333333332,0.0
2024-01-02 11:45:00,0.001,0.0,0.001,0.225,0.0
2024-01-02 12:00:00,0.001,0.0,0.001,0.43479999999999996,0.0
2024-01-02 12:15:00,0.001,0.0,0.001,0.035,0.0
2024-01-02 12:30:00,0.001,0.0,0.001,0.035,0.0
2024-01-02 12:45:00,0.001,0.0,0.001,0.16833333333333333,0.0
2024-01-02 13:00:00,0.001,0.0,0.001,0.2763333333333334,0.0
2024-01-02 13:15:00,0.001,0.0,0.001,0.08566666666666668,0.0
2024-01-02 13:30:00,0.001,0.0,0.001,0.035,0.0
2024-01-02 13:45:00,0.001,0.0,0.001,0.035,0.0
2024-01-02 14:00:00,0.001,0.0,0.001,0.035,0.0
2024-01-02 14:15:00,0.001,0.0,0.001,0.31500000000000006,0.0
2024-01-02 14:30:00,0.001,0.0,0.001,0.18033333333333335,0.0
2024-01-02 14:45:00,0.001,0.0,0.001,0.035,0.0
2024-01-02 15:00:00,0.001,0.0,0.001,0.035,0.0
2024-01-02 15:15:00,0.001,0.0,0.001,0.035,0.0
2024-01-02 15:30:00,0.001,0.0,0.001,0.16166666666666668,0.0
2024-01-02 15:45:00,0.001,0.0,0.001,0.36960000000000004,2.1333333333333333
2024-01-02 16:00:00,0.001,0.0,0.001,0.22001190437252574,0.0
2024-01-02 16:15:00,0.001,0.0,0.001,0.1875521973529143,0.0
2024-01-02 16:30:00,0.001,0.0,0.001,0.1875521973529143,0.0
2024-01-02 16:45:00,0.001,0.0,0.001,0.2664921973529143,0.0
2024-01-02 17:00:00,0.001,0.0,0.001,0.3995855306862477,0.0
2024-01-02 17:15:00,0.001,0.0,0.001,0.324918864019581,0.0
