,DishWasher,WashingMachine,BaseLoad,P_HP,P_WB
2024-01-03 18:30:00,0.0,0.001,0.05057649898302314,0.0,0.0
2024-01-03 18:45:00,0.0,0.001,0.11744462131383922,0.0,0.4
2024-01-03 19:00:00,0.0,0.001,0.15104260639225447,0.0,3.0
2024-01-03 19:15:00,0.0,0.001,0.0923759397255878,0.0,2.6
2024-01-03 19:30:00,0.0,0.001,0.11657593972558782,1.6,0.0
2024-01-03 19:45:00,0.0,0.001,0.20706994379349528,0.8,2.8
2024-01-03 20:00:00,0.0,0.001,0.19155733553729037,0.0,1.8
2024-01-03 20:15:00,0.0,0.001,0.7642237423726734,0.0,0.0
2024-01-03 20:30:00,0.0,0.001,1.5399391265687268,0.0,0.0
2024-01-03 20:45:00,0.0,0.001,1.4465559397255878,0.0,0.0
2024-01-03 21:00:00,0.0,0.001,0.35892294175954154,0.0,0.0
2024-01-03 21:15:00,0.0,0.001,0.3260521973529143,0.0,0.0
2024-01-03 21:30:00,0.0,0.001,0.28571886401958096,0.0,1.0
2024-01-03 21:45:00,0.0,0.001,0.3565581932850069,2.4,3.0
2024-01-03 22:00:00,0.0,0.001,0.3581426063922545,0.0,1.4
2024-01-03 22:15:00,0.0,0.001,0.4402023134118659,0.0,0.0
2024-01-03 22:30:00,0.0,0.001,0.3490759397255878,0.0,0.0
2024-01-03 22:45:00,0.0,0.001,0.3490759397255878,0.0,0.6
2024-01-03 23:00:00,0.0,0.001,0.34355819328500686,0.0,3.0
2024-01-03 23:15:00,0.0,0.001,0.34828769023407624,0.0,0.0
2024-01-03 23:30:00,0.0,0.001,0.3490759397255878,0.0,0.0
2024-01-03 23:45:00,0.0,0.001,0.7928759397255879,0.0,1.8
2024-01-04 00:00:00,0.0,0.001,0.6855008485099231,0.0,1.8
2024-01-04 00:15:00,0.0,0.001,0.1965237423726735,0.0,0.0
2024-01-04 00:30:00,0.0,0.001,0.19100599593209253,0.0,0.0
2024-01-04 00:45:00,0.0,0.001,0.18469999999999998,0.0,0.0
2024-01-04 01:00:00,0.0,0.001,0.18469999999999998,0.0,3.0
2024-01-04 01:15:00,0.0,0.001,0.18469999999999998,0.0,0.0
2024-01-04 01:30:00,0.0,0.001,0.18394666666666665,0.0,0.0
2024-01-04 01:45:00,0.0,0.001,0.071,0.0,0.0
2024-01-04 02:00:00,0.0,0.001,0.049,0.0,0.0
2024-01-04 02:15:00,0.0,0.001,0.049,0.0,0.0
2024-01-04 02:30:00,0.0,0.001,0.049,0.0,0.0
2024-01-04 02:45:00,0.0,0.001,0.049,0.0,0.0
2024-01-04 03:00:00,0.0,0.001,0.05633333333333333,0.0,0.0
2024-01-04 03:15:00,0.0,0.001,0.14433333333333334,0.0,0.4
2024-01-04 03:30:00,0.0,0.001,0.049,0.0,3.0
2024-01-04 03:45:00,0.0,0.001,0.049,0.0,3.0
2024-01-04 04:00:00,0.0,0.001,0.049,1.4,2.2
2024-01-04 04:15:00,0.0,0.001,0.049,2.2,0.0
2024-01-04 04:30:00,0.0,0.001,0.049,1.2,0.0
2024-01-04 04:45:00,0.0,0.001,0.093,0.0,0.0
2024-01-04 05:00:00,0.0,0.001,0.10766666666666666,0.0,2.8
2024-01-04 05:15:00,0.0,0.001,0.054517746440580966,0.0,2.2
2024-01-04 05:30:00,0.0,0.001,0.0608237423726735,1.2,0.0
2024-01-04 05:45:00,0.0,0.001,0.0608237423726735,0.0,0.0
2024-01-04 06:00:00,0.0,0.001,0.0608237423726735,2.4,0.0
2024-01-04 06:15:00,0.0,0.001,0.06429040903934018,0.0,0.0
2024-01-04 06:30:00,0.0,0.001,0.14739616361573607,0.0,0.0
2024-01-04 06:45:00,0.0,0.001,0.084,0.0,0.0
2024-01-04 07:00:00,0.0,0.001,0.06199999999999999,0.0,0.2
2024-01-04 07:15:00,0.0,0.001,0.06199999999999999,0.0,3.0
2024-01-04 07:30:00,0.0,0.001,0.055066666666666673,0.8,2.2
2024-01-04 07:45:00,0.0,0.001,0.049,1.6,1.8
2024-01-04 08:00:00,0.0,0.001,0.05633333333333333,0.0,1.4
2024-01-04 08:15:00,0.0,0.001,0.14433333333333334,0.0,0.0
2024-01-04 08:30:00,0.0,0.001,0.049,0.0,3.0
2024-01-04 08:45:00,0.0,0.001,0.5820666666666666,0.0,0.8
2024-01-04 09:00:00,0.0,0.001,0.049,0.0,0.0
2024-01-04 09:15:00,0.0,0.001,0.049,0.0,0.0
2024-01-04 09:30:00,0.0,0.001,0.049,1.6,0.0
2024-01-04 09:45:00,0.0,0.001,0.093,0.0,0.0
2024-01-04 10:00:00,0.0,0.001,0.10766666666666666,0.0,0.0
2024-01-04 10:15:00,0.0,0.001,0.5820666666666666,0.0,0.0
2024-01-04 10:30:00,0.0,0.001,0.049,2.4,0.0
2024-01-04 10:45:00,0.0,0.001,0.049,0.0,2.6
2024-01-04 11:00:00,0.0,0.001,0.049,0.0,2.6
2024-01-04 11:15:00,0.0,0.001,0.049,0.0,0.0
2024-01-04 11:30:00,0.0,0.001,0.12966666666666668,0.0,0.0
2024-01-04 11:45:00,0.0,0.001,0.071,0.0,2.2
2024-01-04 12:00:00,0.0,0.001,0.049,0.4,1.4
2024-01-04 12:15:00,0.0,0.001,0.049,2.0,0.0
2024-01-04 12:30:00,0.0,0.001,0.049,0.0,0.4
2024-01-04 12:45:00,0.0,0.001,0.049,0.0,3.0
2024-01-04 13:00:00,0.0,0.001,0.05633333333333333,0.0,2.0
2024-01-04 13:15:00,0.0,0.001,0.14433333333333334,0.0,0.0
2024-01-04 13:30:00,0.0,0.001,0.049,0.0,1.6
2024-01-04 13:45:00,0.0,0.001,0.5820666666666666,0.6,1.6
2024-01-04 14:00:00,0.0,0.001,0.049,1.8,0.0
2024-01-04 14:15:00,0.0,0.001,0.049,0.0,0.0
2024-01-04 14:30:00,0.0,0.001,0.049,0.0,0.0
2024-01-04 14:45:00,0.0,0.001,0.093,0.0,0.0
2024-01-04 15:00:00,0.0,0.001,0.10766666666666666,0.0,0.0
2024-01-04 15:15:00,0.0,0.001,0.049,0.0,0.0
2024-01-04 15:30:00,0.0,0.001,0.05804666666666667,0.6,0.0
2024-01-04 15:45:00,0.0,0.001,0.2734333333333333,1.8,1.0
2024-01-04 16:00:00,0.0,0.001,0.8387666666666667,0.0,3.0
2024-01-04 16:15:00,0.0,0.001,0.30569999999999997,0.0,2.0
2024-01-04 16:30:00,0.0,0.001,0.38636666666666664,0.0,0.0
2024-01-04 16:45:00,0.0,0.001,0.3277,0.0,0.0
2024-01-04 17:00:00,0.0,0.001,0.2250333333333333,0.0,0.0
2024-01-04 17:15:00,0.0,0.001,0.8503000000000001,0.6,0.0
2024-01-04 17:30:00,0.0,0.001,1.4390059959320927,1.8,0.0
2024-01-04 17:45:00,0.0,0.001,0.8621237423726735,0.0,0.0
2024-01-04 18:00:00,0.0,0.001,0.20385707570600684,0.0,0.0
2024-01-04 18:15:00,0.0,0.001,0.29359040903934014,0.0,1.0
2024-01-04 18:30:00,0.0,0.001,0.2095237423726735,0.0,3.0
2024-01-04 18:45:00,0.0,0.001,0.2040059959320925,0.0,0.6
2024-01-04 19:00:00,0.0,0.001,0.1998034798235276,0.6,0.0
2024-01-04 19:15:00,0.0,0.001,0.22751886401958096,1.8,0.0
2024-01-04 19:30:00,0.0,0.001,0.2162521973529143,0.0,0.0
2024-01-04 19:45:00,0.0,0.001,0.6600521973529143,0.0,0.0
2024-01-04 20:00:00,0.0,0.001,0.8079855306862477,0.0,0.0
2024-01-04 20:15:00,0.0,0.001,0.2162521973529143,0.0,0.0
2024-01-04 20:30:00,0.0,0.001,0.18890695964705523,0.0,0.0
2024-01-04 20:45:00,0.0,0.001,0.18469999999999998,0.6,0.0
2024-01-04 21:00:00,0.0,0.001,0.18469999999999998,1.8,0.0
2024-01-04 21:15:00,0.0,0.001,0.18469999999999998,0.0,0.0
2024-01-04 21:30:00,0.0,0.001,0.26536666666666664,0.0,0.0
2024-01-04 21:45:00,0.0,0.001,0.20669999999999997,0.0,0.0
2024-01-04 22:00:00,0.0,0.001,0.10328,0.0,0.0
2024-01-04 22:15:00,0.0,0.001,0.049,0.0,0.0
2024-01-04 22:30:00,0.0,0.001,0.049,1.4,0.0
2024-01-04 22:45:00,0.0,0.001,0.049,1.0,0.0
2024-01-04 23:00:00,0.0,0.001,0.05633333333333333,0.0,0.0
2024-01-04 23:15:00,0.0,0.001,0.14433333333333334,0.0,0.0
2024-01-04 23:30:00,0.0,0.001,0.049,0.0,0.0
2024-01-04 23:45:00,0.0,0.001,0.049,0.0,0.0
2024-01-05 00:00:00,0.0,0.001,0.049,0.0,0.0
2024-01-05 00:15:00,0.0,0.001,0.049,0.0,0.0
2024-01-05 00:30:00,0.0,0.001,0.049,0.0,1.6
2024-01-05 00:45:00,0.0,0.001,0.093,0.0,3.0
2024-01-05 01:00:00,0.0,0.001,0.10766666666666666,0.0,2.0
2024-01-05 01:15:00,0.0,0.001,0.049,0.0,3.0
2024-01-05 01:30:00,0.0,0.001,0.049,0.0,1.4
2024-01-05 01:45:00,0.0,0.001,0.049,0.0,0.4
2024-01-05 02:00:00,0.0,0.001,0.049,0.0,3.0
2024-01-05 02:15:00,0.0,0.001,0.049,0.0,3.0
2024-01-05 02:30:00,0.0,0.001,0.13203141514120137,0.0,2.8
2024-01-05 02:45:00,0.0,0.001,0.0828237423726735,0.0,1.4
2024-01-05 03:00:00,0.0,0.001,0.46062374237267356,0.0,2.0
2024-01-05 03:15:00,0.0,0.001,0.46062374237267356,0.0,0.0
2024-01-05 03:30:00,0.0,0.001,0.0608237423726735,0.0,0.0
2024-01-05 03:45:00,0.0,0.001,0.05215299796604626,0.0,0.0
2024-01-05 04:00:00,0.0,0.001,0.05633333333333333,2.0,0.0
2024-01-05 04:15:00,0.0,0.001,0.14433333333333334,3.0,0.0
2024-01-05 04:30:00,0.0,0.001,0.049,2.6,0.0
2024-01-05 04:45:00,0.0,0.001,0.049,0.0,0.0
2024-01-05 05:00:00,0.0,0.001,0.049,0.0,0.0
2024-01-05 05:15:00,0.0,0.001,0.0537294969490694,0.0,0.0
2024-01-05 05:30:00,0.0,0.001,0.0608237423726735,0.4,0.0
2024-01-05 05:45:00,0.0,0.001,0.1048237423726735,2.2,0.0
2024-01-05 06:00:00,0.0,0.001,0.1290237423726735,0.0,2.6
2024-01-05 06:15:00,0.0,0.001,0.4736237423726735,0.0,0.0
2024-01-05 06:30:00,0.0,0.001,0.06515299796604627,0.0,0.0
2024-01-05 06:45:00,0.0,0.001,0.06199999999999999,0.0,0.0
2024-01-05 07:00:00,0.0,0.001,0.05853333333333333,0.0,0.0
2024-01-05 07:15:00,0.0,0.001,0.5820666666666666,2.8,0.0
2024-01-05 07:30:00,0.0,0.001,0.6627333333333333,0.4,0.0
2024-01-05 07:45:00,0.0,0.001,0.071,0.0,1.4
2024-01-05 08:00:00,0.0,0.001,0.049,0.0,3.0
2024-01-05 08:15:00,0.0,0.001,0.049,0.0,1.8
2024-01-05 08:30:00,0.0,0.001,0.049,1.6,1.4
