,WasherDryer,WashingMachine,BaseLoad
2024-01-02 12:30:00,0.001,0.6517822434126704,0.13864260639225448
2024-01-02 12:45:00,0.001,0.11003856463190093,0.15184260639225447
2024-01-02 13:00:00,0.001,0.13970506768754115,0.3535092730589211
2024-01-02 13:15:00,0.001,0.5599897908457803,0.3533445245843864
2024-01-02 13:30:00,0.001,1.6718671559005132,0.33655219735291425
2024-01-02 13:45:00,0.001,0.09771364591106028,0.8380666666666666
2024-01-02 14:00:00,0.001,0.001,0.2941153841960533
2024-01-02 14:15:00,0.001,0.001,0.2668855306862476
2024-01-02 14:30:00,0.001,0.001,0.31088553068624764
2024-01-02 14:45:00,0.001,0.001,0.19872435876469335
2024-01-02 15:00:00,0.26467826201922107,0.001,0.21626666666666666
2024-01-02 15:15:00,0.7920347860576631,0.001,0.8380666666666666
2024-01-02 15:30:00,0.7920347860576631,0.001,0.30326666666666663
2024-01-02 15:45:00,0.7920347860576631,0.001,0.37727161139213716
2024-01-02 16:00:00,0.7920347860576631,0.001,0.34316553068624767
2024-01-02 16:15:00,0.7920347860576631,0.001,0.399238864019581
2024-01-02 16:30:00,0.7920347860576631,0.001,0.2751855306862476
2024-01-02 16:45:00,0.7920347860576631,0.001,0.33825219735291434
2024-01-02 17:00:00,0.7920347860576631,0.001,0.3543855306862477
2024-01-02 17:15:00,0.7920347860576631,0.001,0.5545855306862477
2024-01-02 17:30:00,0.7920347860576631,0.042154049271240696,0.5105855306862477
2024-01-02 17:45:00,0.7920347860576631,0.3286032769611479,0.346318864019581
2024-01-02 18:00:00,0.7920347860576631,0.7776798389088754,0.3534131094431851
2024-01-02 18:15:00,0.1592069572115326,0.16114019821312534,0.46266202043147736
2024-01-02 18:30:00,0.001,0.1581828177695388,0.45947795464717256
2024-01-02 18:45:00,0.001,1.000722737988656,0.5810759397255878
2024-01-02 19:00:00,0.001,0.7836777193005633,0.5004092730589211
2024-01-02 19:15:00,0.001,0.12242849310647148,0.4710759397255878
2024-01-02 19:30:00,0.001,0.2539360595937185,0.4358404468444259
2024-01-02 19:45:00,0.001,0.7200642343758334,0.8606286963359374
2024-01-02 20:00:00,0.001,0.2705145916472217,0.48778839411775543
2024-01-02 20:15:00,0.001,0.001,0.9728092730589212
2024-01-02 20:30:00,0.001,0.001,0.3574092730589211
2024-01-02 20:45:00,0.001,0.001,0.3500759397255878
2024-01-02 21:00:00,0.001,0.001,0.3500759397255878
2024-01-02 21:15:00,0.001,0.001,0.34200927305892115
2024-01-02 21:30:00,0.001,0.001,0.46812927305892116
2024-01-02 21:45:00,0.001,0.001,0.43070927305892115
2024-01-02 22:00:00,0.7920347860576631,0.001,0.33537593972558777
2024-01-02 22:15:00,0.7920347860576631,0.001,0.4236959397255877
2024-01-02 22:30:00,0.7920347860576631,0.001,0.46785593972558775
2024-01-02 22:45:00,0.7920347860576631,0.001,0.33537593972558777
2024-01-02 23:00:00,0.7920347860576631,0.001,0.40660579323539353
2024-01-02 23:15:00,0.7920347860576631,0.001,0.3771570757060069
2024-01-02 23:30:00,0.7920347860576631,0.001,0.2796237423726735
2024-01-02 23:45:00,0.7920347860576631,0.001,0.1124991901490746
2024-01-03 00:00:00,0.7920347860576631,0.001,0.09768553068624763
2024-01-03 00:15:00,0.7920347860576631,0.001,0.2025521973529143
2024-01-03 00:30:00,0.7920347860576631,0.001,0.2978855306862476
2024-01-03 00:45:00,0.7920347860576631,0.001,0.25178205086272
2024-01-03 01:00:00,0.7920347860576631,0.001,0.5708
2024-01-03 01:15:00,0.6865634812499747,0.001,0.10926465174508192
2024-01-03 01:30:00,0.001,0.001,0.0815521973529143
2024-01-03 01:45:00,0.001,0.001,0.08888553068624765
2024-01-03 02:00:00,0.001,0.001,0.19155219735291432
2024-01-03 02:15:00,0.001,0.001,0.09826465174508191
2024-01-03 02:30:00,0.001,0.001,0.05
2024-01-03 02:45:00,0.001,0.001,0.05
2024-01-03 03:00:00,0.001,0.001,0.05
2024-01-03 03:15:00,0.001,0.001,0.07933333333333333
2024-01-03 03:30:00,0.001,0.001,0.16
2024-01-03 03:45:00,0.001,0.001,0.05733333333333334
2024-01-03 04:00:00,0.001,0.001,0.05
2024-01-03 04:15:00,0.001,0.001,0.05
2024-01-03 04:30:00,0.001,0.001,0.13873333333333332
2024-01-03 04:45:00,0.001,0.001,0.22233333333333336
2024-01-03 05:00:00,0.001,0.001,0.26633333333333337
2024-01-03 05:15:00,0.001,0.001,0.171
2024-01-03 05:30:00,0.001,0.001,0.171
2024-01-03 05:45:00,0.001,0.001,0.06613333333333334
2024-01-03 06:00:00,0.001,0.001,0.05
2024-01-03 06:15:00,0.001,0.001,0.12333333333333334
2024-01-03 06:30:00,0.001,0.001,0.13373333333333332
2024-01-03 06:45:00,0.001,0.001,0.19626666666666667
2024-01-03 07:00:00,0.001,0.001,0.46279999999999993
2024-01-03 07:15:00,0.001,0.001,0.063
2024-01-03 07:30:00,0.001,0.001,0.06126666666666667
2024-01-03 07:45:00,0.001,0.001,0.15833333333333333
2024-01-03 08:00:00,0.001,0.001,0.11433333333333333
2024-01-03 08:15:00,0.001,0.001,0.063
2024-01-03 08:30:00,0.001,0.001,0.19662087894116573
2024-01-03 08:45:00,0.001,0.030528685607001272,0.2155521973529143
