,DishWasher,WashingMachine,BaseLoad
2024-01-01 12:45:00,0.0,0.001,0.15866666666666665
2024-01-01 13:00:00,0.0,0.001,0.046724358764693344
2024-01-01 13:15:00,0.0,0.001,0.0635521973529143
2024-01-01 13:30:00,0.0,0.001,0.4633521973529143
2024-01-01 13:45:00,0.0,0.001,0.13955219735291427
2024-01-01 14:00:00,0.0,0.001,0.24093131841174859
2024-01-01 14:15:00,0.0,0.001,0.10800000000000001
2024-01-01 14:30:00,0.0,0.001,0.032
2024-01-01 14:45:00,0.0,0.001,0.032
2024-01-01 15:00:00,0.0,0.001,0.032
2024-01-01 15:15:00,0.0,0.001,0.15866666666666665
2024-01-01 15:30:00,0.0,0.001,0.222
2024-01-01 15:45:00,0.0,0.001,0.05733333333333333
2024-01-01 16:00:00,0.0,0.001,0.032
2024-01-01 16:15:00,0.0,0.001,0.032
2024-01-01 16:30:00,0.0,0.001,0.032
2024-01-01 16:45:00,0.0,0.001,0.20933333333333334
2024-01-01 17:00:00,0.0,0.001,0.20744533443531185
2024-01-01 17:15:00,0.0,0.001,0.07710927305892114
2024-01-01 17:30:00,0.0,0.001,0.5764959397255878
2024-01-01 17:45:00,0.0,0.001,0.12870927305892113
2024-01-01 18:00:00,0.0,0.001,0.24737593972558783
2024-01-01 18:15:00,0.0,0.001,0.37098562741570035
2024-01-01 18:30:00,0.0,0.001,2.028
2024-01-01 18:45:00,0.0,0.001,1.5124
2024-01-01 19:00:00,0.0,0.001,0.10074029298038857
2024-01-01 19:15:00,0.0,0.001,0.0635521973529143
2024-01-01 19:30:00,0.0,0.001,0.16167785791771974
2024-01-01 19:45:00,0.0,0.001,0.26537593972558776
2024-01-01 20:00:00,0.0,0.001,0.13870927305892114
2024-01-01 20:15:00,0.0,0.001,0.0753759397255878
2024-01-01 20:30:00,0.0,0.001,0.0753759397255878
2024-01-01 20:45:00,0.0,0.001,0.065916945827449
2024-01-01 21:00:00,0.0,0.001,0.20288553068624762
2024-01-01 21:15:00,0.0,0.001,0.2430347982352762
2024-01-01 21:30:00,0.0,0.001,0.09306666666666666
2024-01-01 21:45:00,0.0,0.001,0.153
2024-01-01 22:00:00,0.0,0.001,0.153
2024-01-01 22:15:00,0.0,0.001,0.15851774644058098
2024-01-01 22:30:00,0.0,0.001,0.3548237423726735
2024-01-01 22:45:00,0.0,0.001,0.3168237423726735
2024-01-01 23:00:00,0.0,0.001,0.059957075706006835
2024-01-01 23:15:00,0.0,0.001,0.0438237423726735
2024-01-01 23:30:00,0.0,0.001,0.06906550025500494
2024-01-01 23:45:00,0.0,0.001,0.12604260639225445
