,WasherDryer,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_EV,P_HP,P_WB
2024-01-01 13:15:00,0.001,0.001,0.0,0.001,0.3473333333333333,0.0,1.6666666666666667,0.0
2024-01-01 13:30:00,0.001,0.001,0.0,0.001,0.23833333333333334,0.0,0.3333333333333333,1.3333333333333333
2024-01-01 13:45:00,0.001,0.001,0.0,0.001,0.056666666666666664,0.0,0.0,3.3333333333333335
2024-01-01 14:00:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0,0.0
2024-01-01 14:15:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0,0.0
2024-01-01 14:30:00,0.001,0.001,0.0,0.001,0.12266666666666667,0.0,0.0,0.0
2024-01-01 14:45:00,0.001,0.001,0.0,0.001,0.393,0.0,0.0,0.0
2024-01-01 15:00:00,0.001,0.001,0.0,0.001,0.17466666666666666,0.0,0.0,0.0
2024-01-01 15:15:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0,0.0
2024-01-01 15:30:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0,0.0
2024-01-01 15:45:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0,0.0
2024-01-01 16:00:00,0.001,0.001,0.0,0.001,0.15266666666666667,0.0,0.0,0.0
2024-01-01 16:15:00,0.001,0.001,0.0,0.001,0.393,0.0,0.0,0.0
2024-01-01 16:30:00,0.001,0.001,0.0,0.001,0.14466666666666667,0.0,0.0,0.0
2024-01-01 16:45:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0,0.0
2024-01-01 17:00:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0,0.0
2024-01-01 17:15:00,0.001,0.001,0.0,0.001,0.048,0.0,2.0,0.0
2024-01-01 17:30:00,0.001,0.001,0.0,0.001,0.18266666666666667,0.0,0.0,0.0
2024-01-01 17:45:00,0.001,0.001,0.0,0.001,0.393,0.0,0.0,0.0
2024-01-01 18:00:00,0.001,0.001,0.0,0.001,0.11466666666666667,0.0,0.0,0.0
2024-01-01 18:15:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0,0.0
2024-01-01 18:30:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0,0.0
2024-01-01 18:45:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0,0.0
2024-01-01 19:00:00,0.001,0.001,0.0,0.001,0.21266666666666667,0.0,0.0,0.0
2024-01-01 19:15:00,0.001,0.001,0.0,0.001,0.3676666666666667,0.0,0.0,0.0
2024-01-01 19:30:00,0.001,0.001,0.0,0.001,0.11000000000000001,0.0,0.0,0.0
2024-01-01 19:45:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0,0.0
2024-01-01 20:00:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0,0.0
2024-01-01 20:15:00,0.001,0.001,0.0,0.001,0.07333333333333333,0.0,0.0,0.0
2024-01-01 20:30:00,0.001,0.001,0.0,0.001,0.27286666666666665,0.0,0.0,0.0
2024-01-01 20:45:00,0.001,0.001,0.0,0.001,0.5442,0.0,0.0,0.0
2024-01-01 21:00:00,0.001,0.001,0.0,0.001,0.4055935415399249,0.0,0.0,1.0
2024-01-01 21:15:00,0.001,0.001,0.0,0.001,0.3473759397255878,0.0,0.0,3.6666666666666665
2024-01-01 21:30:00,0.001,0.001,0.0,0.001,0.3473759397255878,0.0,2.0,0.0
2024-01-01 21:45:00,0.001,0.001,0.0,0.001,0.35630927305892107,0.0,0.0,0.0
2024-01-01 22:00:00,0.001,0.001,0.0,0.001,0.31820902246543104,0.0,0.0,1.3333333333333333
2024-01-01 22:15:00,0.001,0.001,0.0,0.001,0.4517333333333333,0.0,0.0,3.6666666666666665
2024-01-01 22:30:00,0.001,0.001,0.0,0.001,0.4258855306862476,0.0,0.0,0.0
2024-01-01 22:45:00,0.001,0.001,0.0,0.001,0.3225521973529143,0.0,0.0,0.0
2024-01-01 23:00:00,0.001,0.001,0.0,0.001,0.3424111912510531,0.0,0.0,0.0
2024-01-01 23:15:00,0.001,0.001,0.0,0.001,0.4175092730589211,0.0,0.0,0.0
2024-01-01 23:30:00,0.001,0.001,0.0,0.001,0.4058585406079497,0.0,0.0,0.0
2024-01-01 23:45:00,0.001,0.001,0.0,0.001,0.30049040903934016,0.0,0.0,0.0
