,WasherDryer,DishWasher,BaseLoad,P_WB
2024-01-01 18:45:00,0.4756208716345978,0.0,0.4731237423726735,1.5
2024-01-01 19:00:00,0.7920347860576631,0.0,0.44963912656872684,1.5
2024-01-01 19:15:00,0.7920347860576631,0.0,0.3552759397255878,1.5
2024-01-01 19:30:00,0.7920347860576631,0.0,0.3500759397255878,1.5
2024-01-01 19:45:00,0.7920347860576631,0.0,0.3500759397255878,1.5
2024-01-01 20:00:00,0.7920347860576631,0.0,0.38176994379349527,1.5
2024-01-01 20:15:00,0.7920347860576631,0.0,0.5353464427765183,1.5
2024-01-01 20:30:00,0.7920347860576631,0.0,0.4007426063922545,1.5
2024-01-01 20:45:00,0.7920347860576631,0.0002666666666666667,0.3500759397255878,1.5
2024-01-01 21:00:00,0.7920347860576631,0.45080000000000003,0.7498759397255879,1.5
2024-01-01 21:15:00,0.7920347860576631,0.7506666666666667,0.4383959397255878,1.5
2024-01-01 21:30:00,0.7920347860576631,0.001,0.3212092730589211,1.5
2024-01-01 21:45:00,0.7920347860576631,0.0006000000000000001,0.45134260639225443,1.5
2024-01-01 22:00:00,0.7920347860576631,0.0,1.1623426063922546,1.5
2024-01-01 22:15:00,0.7920347860576631,0.0,0.6166092730589212,1.5
2024-01-01 22:30:00,0.7920347860576631,0.0,0.3500759397255878,1.5
2024-01-01 22:45:00,0.7920347860576631,0.0,0.3557724599020602,1.5
2024-01-01 23:00:00,0.7920347860576631,0.0,0.4770759397255878,1.5
2024-01-01 23:15:00,0.7920347860576631,0.0,0.5190718619856273,1.5
2024-01-01 23:30:00,0.7920347860576631,0.0,0.36307593972558777,1.5
2024-01-01 23:45:00,0.7920347860576631,0.0,0.35874260639225447,1.5
