,Occupancy,T_set_HP,T_ref_HP,T_wall_HP,T_out_HP,P_loss_HP,P_use_WB,P_loss_WB,T_set_WB,T_ref_WB,Water_use
2024-01-02 02:29:00,2.0,15.0,19.597815918126145,17.29306764355167,10.0,0.8205847187454024,0.0,0.07844114369011838,60.0,61.22057184505919,0.0
2024-01-02 02:30:00,2.0,15.0,19.59448647405663,17.29296985875915,10.0,0.8205847187454024,0.0,0.07842990033459663,60.0,61.21495016729831,0.0
2024-01-02 02:31:00,2.0,15.0,19.59116105227511,17.292868151640747,10.0,0.8205847187454024,0.0,0.0784186585906404,60.0,61.2093292953202,0.0
2024-01-02 02:32:00,2.0,15.0,19.587839643158883,17.2927625335074,10.0,0.8205847187454024,0.0,0.07840741845801871,60.0,61.203709229009355,0.0
2024-01-02 02:33:00,2.0,15.0,19.584522237110555,17.292653015639853,10.0,0.8205847187454024,0.0,0.07839617993650061,60.0,61.1980899682503,0.0
2024-01-02 02:34:00,2.0,15.0,19.58120882455794,17.29253960928874,10.0,0.8205847187454024,0.0,0.07838494302585514,60.0,61.19247151292757,0.0
2024-01-02 02:35:00,2.0,15.0,19.577899395954024,17.292422325674647,10.0,0.8205847187454024,0.0,0.07837370772585144,60.0,61.186853862925716,0.0
2024-01-02 02:36:00,2.0,15.0,19.574593941776875,17.29230117598822,10.0,0.8205847187454024,0.0,0.07836247403625862,60.0,61.18123701812931,0.0
2024-01-02 02:37:00,2.0,15.0,19.571292452529597,17.292176171390228,10.0,0.8205847187454024,1.92556,0.07835124195684587,60.0,61.175620978422934,1.0
2024-01-02 02:38:00,2.0,15.0,19.567994918740247,17.292047323011634,10.0,0.8205847187454024,0.0,0.07806401148738239,60.0,61.032005743691194,0.0
2024-01-02 02:39:00,2.0,15.0,19.564701330961782,17.29191464195369,10.0,0.8205847187454024,1.92556,0.07805282218807699,60.0,61.026411094038494,1.0
2024-01-02 02:40:00,2.0,15.0,19.56141167977198,17.291778139288006,10.0,0.8205847187454024,1.92556,0.07776563449258897,60.0,60.882817246294486,1.0
2024-01-02 02:41:00,2.0,15.0,19.558125955773377,17.291637826056636,10.0,0.8205847187454024,0.0,0.07747848796112802,60.0,60.73924398056401,0.0
2024-01-02 02:42:00,2.0,15.0,19.55484414959322,17.291493713272153,10.0,0.8205847187454024,0.0,0.0774673825877939,60.0,60.733691293896946,0.0
2024-01-02 02:43:00,2.0,15.0,19.551566251883372,17.291345811917726,10.0,0.8205847187454024,0.0,0.07745627880624763,60.0,60.72813940312381,0.0
2024-01-02 02:44:00,2.0,15.0,19.548292253320273,17.291194132947194,10.0,0.8205847187454024,0.0,0.07744517661626106,60.0,60.72258830813053,0.0
2024-01-02 02:45:00,2.0,15.0,19.545022144604854,17.291038687285155,10.0,0.8205847187454024,0.0,0.07743407601760609,60.0,60.717038008803044,0.0
2024-01-02 02:46:00,2.0,15.0,19.541755916462485,17.290879485827034,10.0,0.8205847187454024,1.92556,0.0774229770100546,60.0,60.7114885050273,1.0
2024-01-02 02:47:00,2.0,15.0,19.538493559642905,17.290716539439167,10.0,0.8205847187454024,0.0,0.07713587959337852,60.0,60.56793979668926,0.0
2024-01-02 02:48:00,2.0,15.0,19.535235064920165,17.290549858958872,10.0,0.8205847187454024,0.0,0.0771248233277894,60.0,60.5624116638947,0.0
2024-01-02 02:49:00,2.0,15.0,19.531980423092552,17.29037945519453,10.0,0.8205847187454024,0.0,0.0771137686469493,60.0,60.55688432347465,0.0
2024-01-02 02:50:00,2.0,15.0,19.52872962498253,17.29020533892566,10.0,0.8205847187454024,0.0,0.07710271555063104,60.0,60.55135777531552,0.0
2024-01-02 02:51:00,2.0,15.0,19.52548266143668,17.290027520902996,10.0,0.8205847187454024,0.0,0.07709166403860755,60.0,60.545832019303774,0.0
2024-01-02 02:52:00,2.0,15.0,19.52223952332563,17.289846011848567,10.0,0.8205847187454024,0.0,0.07708061411065172,60.0,60.540307055325854,0.0
2024-01-02 02:53:00,2.0,15.0,19.519000201543992,17.289660822455765,10.0,0.8205847187454024,0.0,0.07706956576653647,60.0,60.534782883268235,0.0
2024-01-02 02:54:00,2.0,15.0,19.515764687010307,17.289471963389428,10.0,0.8205847187454024,0.0,0.07705851900603482,60.0,60.52925950301741,0.0
2024-01-02 02:55:00,2.0,15.0,19.512532970666967,17.289279445285914,10.0,0.8205847187454024,0.0,0.07704747382891977,60.0,60.52373691445988,0.0
2024-01-02 02:56:00,2.0,15.0,19.50930504348016,17.28908327875318,10.0,0.8205847187454024,0.0,0.07703643023496436,60.0,60.51821511748218,0.0
2024-01-02 02:57:00,2.0,15.0,19.506080896439816,17.28888347437084,10.0,0.8205847187454024,0.0,0.07702538822394166,60.0,60.51269411197083,0.0
2024-01-02 02:58:00,2.0,15.0,19.50286052055952,17.288680042690274,10.0,0.8205847187454024,0.0,0.0770143477956248,60.0,60.5071738978124,0.0
2024-01-02 02:59:00,2.0,15.0,19.499643906876475,17.288472994234667,10.0,0.8205847187454024,0.0,0.07700330894978691,60.0,60.501654474893456,0.0
2024-01-02 03:00:00,2.0,15.0,19.496431046451427,17.288262339499102,10.0,0.8205847187454024,0.0,0.07699227168620118,60.0,60.49613584310059,0.0
2024-01-02 03:01:00,2.0,15.0,19.4932219303686,17.28804808895064,10.0,0.8205847187454024,0.0,0.07698123600464081,60.0,60.4906180023204,0.0
2024-01-02 03:02:00,2.0,15.0,19.490016549735635,17.287830253028375,10.0,0.8205847187454024,0.0,0.07697020190487903,60.0,60.48510095243952,0.0
2024-01-02 03:03:00,2.0,15.0,19.48681489568354,17.28760884214353,10.0,0.8205847187454024,0.0,0.07695916938668913,60.0,60.47958469334456,0.0
2024-01-02 03:04:00,2.0,15.0,19.483616959366614,17.287383866679516,10.0,0.8205847187454024,0.0,0.07694813844984441,60.0,60.474069224922204,0.0
2024-01-02 03:05:00,2.0,15.0,19.480422731962385,17.28715533699201,10.0,0.8205847187454024,0.0,0.0769371090941182,60.0,60.4685545470591,0.0
2024-01-02 03:06:00,2.0,15.0,19.477232204671562,17.28692326340903,10.0,0.8205847187454024,0.0,0.07692608131928388,60.0,60.46304065964194,0.0
2024-01-02 03:07:00,2.0,15.0,19.47404536871796,17.286687656231006,10.0,0.8205847187454024,0.0,0.07691505512511485,60.0,60.45752756255742,0.0
2024-01-02 03:08:00,2.0,15.0,19.470862215348443,17.286448525730854,10.0,0.8205847187454024,0.0,0.07690403051138453,60.0,60.45201525569227,0.0
2024-01-02 03:09:00,2.0,15.0,19.467682735832867,17.286205882154054,10.0,0.8205847187454024,0.0,0.07689300747786643,60.0,60.44650373893321,0.0
2024-01-02 03:10:00,2.0,15.0,19.46450692146401,17.285959735718716,10.0,0.8205847187454024,0.0,0.07688198602433399,60.0,60.440993012167,0.0
2024-01-02 03:11:00,2.0,15.0,19.461334763557527,17.285710096615652,10.0,0.8205847187454024,0.0,0.0768709661505608,60.0,60.4354830752804,0.0
2024-01-02 03:12:00,2.0,15.0,19.45816625345187,17.285456975008458,10.0,0.8205847187454024,0.0,0.0768599478563204,60.0,60.4299739281602,0.0
2024-01-02 03:13:00,2.0,15.0,19.455001382508243,17.285200381033572,10.0,0.8205847187454024,0.0,0.07684893114138638,60.0,60.424465570693194,0.0
2024-01-02 03:14:00,2.0,15.0,19.45184014211053,17.28494032480036,10.0,0.8205847187454024,0.0,0.0768379160055324,60.0,60.418958002766196,0.0
2024-01-02 03:15:00,2.0,15.0,19.448682523665248,17.284676816391176,10.0,0.8205847187454024,0.0,0.07682690244853209,60.0,60.41345122426604,0.0
2024-01-02 03:16:00,2.0,15.0,19.44552851860147,17.284409865861445,10.0,0.8205847187454024,0.0,0.07681589047015915,60.0,60.40794523507957,0.0
2024-01-02 03:17:00,2.0,15.0,19.442378118370787,17.284139483239727,10.0,0.8205847187454024,0.0,0.0768048800701873,60.0,60.402440035093655,0.0
2024-01-02 03:18:00,2.0,15.0,19.439231314447223,17.28386567852779,10.0,0.8205847187454024,0.0,0.07679387124839035,60.0,60.39693562419517,0.0
2024-01-02 03:19:00,2.0,15.0,19.436088098327197,17.283588461700678,10.0,0.8205847187454024,0.0,0.07678286400454204,60.0,60.39143200227102,0.0
2024-01-02 03:20:00,2.0,15.0,19.432948461529453,17.28330784270679,10.0,0.8205847187454024,0.0,0.07677185833841621,60.0,60.385929169208104,0.0
2024-01-02 03:21:00,2.0,15.0,19.429812395595004,17.28302383146794,10.0,0.8205847187454024,11.553360000000001,0.07676085424978672,60.0,60.38042712489336,6.0
2024-01-02 03:22:00,2.0,15.0,19.426679892087073,17.28273643787944,10.0,0.8205847187454024,11.553360000000001,0.07509385173842746,60.0,59.54692586921373,6.0
2024-01-02 03:23:00,2.0,15.0,19.42355094259103,17.28244567181016,10.0,0.8205847187454024,0.0,0.07342708816674971,60.0,58.713544083374856,0.0
2024-01-02 03:24:00,2.0,15.0,19.420425538714344,17.2821515431026,10.0,0.8205847187454024,0.0,0.07413323813022318,60.0,59.06661906511159,0.0
2024-01-02 03:25:00,2.0,15.0,19.417303672086508,17.281854061572965,10.0,0.8205847187454024,0.0,0.07483928687774394,60.0,59.419643438871965,0.0
2024-01-02 03:26:00,2.0,15.0,19.41418533435899,17.28155323701123,10.0,0.8205847187454024,0.0,0.07554523442381975,60.0,59.772617211909875,0.0
2024-01-02 03:27:00,2.0,15.0,19.411070517205186,17.281249079181215,10.0,0.8205847187454024,0.0,0.07625108078295632,60.0,60.12554039147816,0.0
2024-01-02 03:28:00,2.0,15.0,19.407959212320335,17.280941597820643,10.0,0.8205847187454024,0.0,0.07695682596965729,60.0,60.478412984828644,0.0
2024-01-02 03:29:00,2.0,15.0,19.40485141142149,17.280630802641223,10.0,0.8205847187454024,0.0,0.07766246999842419,60.0,60.83123499921209,0.0
2024-01-02 03:30:00,2.0,15.0,19.401747106247438,17.280316703328708,10.0,0.8205847187454024,0.0,0.07836801288375647,60.0,61.18400644187823,0.0
2024-01-02 03:31:00,2.0,15.0,19.398646288558655,17.279999309542976,10.0,0.8205847187454024,0.0,0.07835678001043343,60.0,61.17839000521671,0.0
2024-01-02 03:32:00,2.0,15.0,19.395548950137247,17.279678630918085,10.0,0.8205847187454024,0.0,0.07834554874717345,60.0,61.172774373586726,0.0
2024-01-02 03:33:00,2.0,15.0,19.39245508278688,17.279354677062347,10.0,0.8205847187454024,0.0,0.07833431909374576,60.0,61.16715954687288,0.0
2024-01-02 03:34:00,2.0,15.0,19.389364678332747,17.279027457558406,10.0,0.8205847187454024,0.0,0.07832309104991961,60.0,61.161545524959806,0.0
2024-01-02 03:35:00,2.0,15.0,19.386277728621486,17.27869698196329,10.0,0.8205847187454024,0.0,0.0783118646154643,60.0,61.15593230773215,0.0
2024-01-02 03:36:00,2.0,15.0,19.38319422552114,17.278363259808486,10.0,0.8205847187454024,0.0,0.07830063979014913,60.0,61.15031989507457,0.0
2024-01-02 03:37:00,2.0,15.0,19.380114160921096,17.27802630060001,10.0,0.8205847187454024,0.0,0.07828941657374348,60.0,61.14470828687174,0.0
2024-01-02 03:38:00,2.0,15.0,19.37703752673202,17.277686113818476,10.0,0.8205847187454024,0.0,0.07827819496601672,60.0,61.13909748300836,0.0
2024-01-02 03:39:00,2.0,15.0,19.373964314885818,17.277342708919154,10.0,0.8205847187454024,0.0,0.07826697496673826,60.0,61.13348748336913,0.0
2024-01-02 03:40:00,2.0,15.0,19.370894517335557,17.276996095332045,10.0,0.8205847187454024,0.0,0.07825575657567757,60.0,61.12787828783878,0.0
2024-01-02 03:41:00,2.0,15.0,19.367828126055432,17.27664628246195,10.0,0.8205847187454024,0.0,0.07824453979260414,60.0,61.122269896302065,0.0
2024-01-02 03:42:00,2.0,15.0,19.364765133040695,17.27629327968853,10.0,0.8205847187454024,0.0,0.07823332461728746,60.0,61.11666230864373,0.0
2024-01-02 03:43:00,2.0,15.0,19.361705530307603,17.27593709636638,10.0,0.8205847187454024,0.0,0.07822211104949713,60.0,61.111055524748565,0.0
2024-01-02 03:44:00,2.0,15.0,19.358649309893362,17.275577741825085,10.0,0.8205847187454024,0.0,0.0782108990890027,60.0,61.10544954450135,0.0
2024-01-02 03:45:00,2.0,15.0,19.355596463856077,17.275215225369298,10.0,0.8205847187454024,0.0,0.07819968873557379,60.0,61.09984436778689,0.0
2024-01-02 03:46:00,2.0,15.0,19.35254698427469,17.274849556278802,10.0,0.8205847187454024,0.0,0.07818847998898007,60.0,61.09423999449003,0.0
2024-01-02 03:47:00,2.0,15.0,19.349500863248924,17.27448074380857,10.0,0.8205847187454024,0.0,0.07817727284899119,60.0,61.0886364244956,0.0
2024-01-02 03:48:00,2.0,15.0,19.346458092899233,17.27410879718884,10.0,0.8205847187454024,0.0,0.07816606731537691,60.0,61.08303365768845,0.0
2024-01-02 03:49:00,2.0,15.0,19.343418665366745,17.273733725625174,10.0,0.8205847187454024,0.0,0.07815486338790696,60.0,61.07743169395348,0.0
2024-01-02 03:50:00,2.0,15.0,19.340382572813205,17.273355538298528,10.0,0.8205847187454024,0.0,0.07814366106635112,60.0,61.07183053317556,0.0
2024-01-02 03:51:00,2.0,15.0,19.337349807420924,17.27297424436531,10.0,0.8205847187454024,0.0,0.0781324603504792,60.0,61.0662301752396,0.0
2024-01-02 03:52:00,2.0,15.0,19.334320361392727,17.272589852957463,10.0,0.8205847187454024,0.0,0.07812126124006108,60.0,61.06063062003054,0.0
2024-01-02 03:53:00,2.0,15.0,19.331294226951886,17.272202373182505,10.0,0.8205847187454024,0.0,0.07811006373486662,60.0,61.05503186743331,0.0
2024-01-02 03:54:00,2.0,15.0,19.32827139634208,17.271811814123613,10.0,0.8205847187454024,0.0,0.07809886783466573,60.0,61.04943391733286,0.0
2024-01-02 03:55:00,2.0,15.0,19.325251861827333,17.271418184839675,10.0,0.8205847187454024,0.0,0.07808767353922837,60.0,61.04383676961418,0.0
2024-01-02 03:56:00,2.0,15.0,19.322235615691966,17.271021494365367,10.0,0.8205847187454024,0.0,0.07807648084832451,60.0,61.038240424162254,0.0
2024-01-02 03:57:00,2.0,15.0,19.319222650240533,17.270621751711207,10.0,0.8205847187454024,0.0,0.07806528976172418,60.0,61.03264488086209,0.0
2024-01-02 03:58:00,2.0,15.0,19.31621295779778,17.270218965863624,10.0,0.8205847187454024,0.0,0.07805410027919742,60.0,61.02705013959871,0.0
2024-01-02 03:59:00,2.0,15.0,19.313206530708587,17.269813145785015,10.0,0.8205847187454024,0.0,0.0780429124005143,60.0,61.02145620025715,0.0
2024-01-02 04:00:00,2.0,15.0,19.310203361337905,17.269404300413825,10.0,0.8205847187454024,0.0,0.07803172612544496,60.0,61.015863062722474,0.0
