,WasherDryer,DishWasher,WashingMachine,BaseLoad,P_WB
2024-01-01 11:15:00,0.001,0.0,0.001,0.13566666666666669,1.5
2024-01-01 11:30:00,0.001,0.0,0.001,0.201,1.5
2024-01-01 11:45:00,0.001,0.0,0.001,0.077,1.5
2024-01-01 12:00:00,0.001,0.0,0.001,0.046,1.5
2024-01-01 12:15:00,0.001,0.0,0.001,0.046,1.5
2024-01-01 12:30:00,0.001,0.0,0.001,0.13399999999999998,1.5
2024-01-01 12:45:00,0.001,0.0,0.001,0.09000000000000001,1.5
2024-01-01 13:00:00,0.001,0.0,0.001,0.201,1.5
2024-01-01 13:15:00,0.001,0.0,0.001,0.10800000000000001,1.5
2024-01-01 13:30:00,0.001,0.0,0.001,0.046,1.5
2024-01-01 13:45:00,0.001,0.0,0.001,0.046,1.5
2024-01-01 14:00:00,0.001,0.0,0.001,0.6817333333333333,0.9
2024-01-01 14:15:00,0.001,0.0,0.001,0.07533333333333332,0.2
2024-01-01 14:30:00,0.001,0.0,0.001,0.17,1.5
2024-01-01 14:45:00,0.001,0.0,0.001,0.13899999999999998,1.5
2024-01-01 15:00:00,0.001,0.0,0.001,0.046,1.5
2024-01-01 15:15:00,0.001,0.0,0.001,0.05333333333333334,1.5
2024-01-01 15:30:00,0.001,0.0,0.001,0.156,0.3
2024-01-01 15:45:00,0.001,0.0,0.001,0.06066666666666667,0.2
2024-01-01 16:00:00,0.001,0.0,0.001,0.13899999999999998,0.3
2024-01-01 16:15:00,0.001,0.0,0.001,0.17,0.2
2024-01-01 16:30:00,0.001,0.0,0.001,0.046,0.1
2024-01-01 16:45:00,0.001,0.0,0.001,0.068,0.1
2024-01-01 17:00:00,0.001,0.0,0.001,0.156,0.1
2024-01-01 17:15:00,0.001,0.0,0.001,0.046,0.0
2024-01-01 17:30:00,0.001,0.0,0.001,0.10800000000000001,0.1
2024-01-01 17:45:00,0.001,0.0,0.001,0.201,0.1
2024-01-01 18:00:00,0.001,0.0,0.001,0.046,0.0
2024-01-01 18:15:00,0.001,0.0,0.001,0.08266666666666667,0.1
2024-01-01 18:30:00,0.001,0.0,0.001,0.14133333333333334,0.1
2024-01-01 18:45:00,0.001,0.0,0.001,0.046,0.1
2024-01-01 19:00:00,0.001,0.0,0.001,0.077,0.0
2024-01-01 19:15:00,0.001,0.0,0.001,0.201,0.1
2024-01-01 19:30:00,0.001,0.0,0.001,0.077,0.1
2024-01-01 19:45:00,0.001,0.0,0.001,0.09733333333333333,0.1
2024-01-01 20:00:00,0.001,0.0,0.001,0.12666666666666665,0.0
2024-01-01 20:15:00,0.001,0.0,0.001,0.046,0.1
2024-01-01 20:30:00,0.001,0.0,0.001,0.046,0.1
2024-01-01 20:45:00,0.001,0.0,0.001,0.201,0.1
2024-01-01 21:00:00,0.001,0.0,0.001,0.10800000000000001,0.0
2024-01-01 21:15:00,0.001,0.0,0.001,0.112,0.1
2024-01-01 21:30:00,0.001,0.0,0.001,0.112,0.1
2024-01-01 21:45:00,0.001,0.0,0.001,0.05862087894116572,0.1
2024-01-01 22:00:00,0.001,0.0,0.001,0.1985521973529143,0.0
2024-01-01 22:15:00,0.001,0.0,0.001,0.3225521973529143,0.2
2024-01-01 22:30:00,0.001,0.0,0.001,0.2915521973529143,0.9
2024-01-01 22:45:00,0.001,0.0,0.001,0.27080494472547045,1.1
2024-01-01 23:00:00,0.001,0.0,0.001,0.22919798507841527,0.1
2024-01-01 23:15:00,0.001,0.0,0.001,0.47735219735291434,0.3
2024-01-01 23:30:00,0.001,0.0,0.001,0.34408553068624764,0.7
2024-01-01 23:45:00,0.001,0.0,0.001,0.43708553068624767,1.5
