,WasherDryer,TumbleDryer,DishWasher,BaseLoad,P_WB
2024-01-01 08:30:00,0.001,0.001,0.0,0.18633333333333332,0.2
2024-01-01 08:45:00,0.001,0.001,0.0,0.1713333333333333,0.0
2024-01-01 09:00:00,0.001,0.001,0.0,0.202,0.0
2024-01-01 09:15:00,0.001,0.001,0.0,0.05733333333333333,0.2
2024-01-01 09:30:00,0.001,0.001,0.0,0.047,0.0
2024-01-01 09:45:00,0.001,0.001,0.0,0.17366666666666666,0.0
2024-01-01 10:00:00,0.001,0.001,0.0,0.17366666666666666,0.2
2024-01-01 10:15:00,0.001,0.001,0.0,0.14,0.0
2024-01-01 10:30:00,0.001,0.001,0.0,0.12966666666666668,0.2
2024-01-01 10:45:00,0.001,0.001,0.0,0.047,0.0
2024-01-01 11:00:00,0.001,0.001,0.0,0.161,0.4
2024-01-01 11:15:00,0.001,0.001,0.0,0.18633333333333332,0.2
2024-01-01 11:30:00,0.001,0.001,0.0,0.06766666666666668,2.4
2024-01-01 11:45:00,0.001,0.001,0.0,0.202,0.8
2024-01-01 12:00:00,0.001,0.001,0.0,0.047,0.2
2024-01-01 12:15:00,0.001,0.001,0.0,0.14833333333333334,1.6
2024-01-01 12:30:00,0.001,0.001,0.0,0.19899999999999998,0.4
2024-01-01 12:45:00,0.001,0.001,0.0,0.047,0.0
2024-01-01 13:00:00,0.001,0.001,0.0,0.15033333333333332,0.6
2024-01-01 13:15:00,0.001,0.001,0.0,0.11933333333333333,0.0
2024-01-01 13:30:00,0.001,0.001,0.0,0.13566666666666669,0.2
2024-01-01 13:45:00,0.001,0.001,0.0,0.21166666666666664,0.2
2024-01-01 14:00:00,0.001,0.001,0.0,0.047,0.2
2024-01-01 14:15:00,0.001,0.001,0.0,0.078,0.2
2024-01-01 14:30:00,0.001,0.001,0.0,0.19166666666666668,1.4
2024-01-01 14:45:00,0.001,0.001,0.0,0.123,0.4
2024-01-01 15:00:00,0.001,0.001,0.0,0.22433333333333333,0.2
2024-01-01 15:15:00,0.001,0.001,0.0,0.4467999999999999,0.2
2024-01-01 15:30:00,0.001,0.001,0.0,0.047,1.6
2024-01-01 15:45:00,0.001,0.001,0.0,0.16066666666666668,1.2
2024-01-01 16:00:00,0.001,0.001,0.0,0.17233333333333334,3.0
2024-01-01 16:15:00,0.001,0.001,0.0,0.237,1.2
2024-01-01 16:30:00,0.001,0.001,0.0,0.047,0.2
2024-01-01 16:45:00,0.001,0.001,0.0,0.3135333333333333,0.2
2024-01-01 17:00:00,0.001,0.001,0.0,0.3548666666666666,0.8
2024-01-01 17:15:00,0.001,0.001,0.0,0.232,0.2
2024-01-01 17:30:00,0.001,0.001,0.0,0.237,0.0
2024-01-01 17:45:00,0.001,0.001,0.0,0.059666666666666666,0.2
2024-01-01 18:00:00,0.001,0.001,0.0,0.047,0.0
2024-01-01 18:15:00,0.001,0.001,0.0,0.047,0.0
2024-01-01 18:30:00,0.001,0.001,0.0,0.20900000000000002,0.2
2024-01-01 18:45:00,0.001,0.001,0.0,0.39440000000000003,0.2
2024-01-01 19:00:00,0.001,0.001,0.0,0.2006437728039162,0.2
2024-01-01 19:15:00,0.001,0.001,0.0,0.20055219735291427,1.0
2024-01-01 19:30:00,0.001,0.001,0.00013333333333333334,0.20055219735291427,0.4
2024-01-01 19:45:00,0.001,0.001,1.8002,0.2775521973529143,0.6
2024-01-01 20:00:00,0.001,0.001,1.2004666666666668,0.5951521973529144,1.6
2024-01-01 20:15:00,0.001,0.001,1.6502666666666668,0.3448278385882209,0.0
2024-01-01 20:30:00,0.001,0.001,0.0006000000000000001,0.29,0.2
2024-01-01 20:45:00,0.001,0.001,0.0,0.29,0.0
2024-01-01 21:00:00,0.001,0.001,0.0,0.3026666666666667,0.0
2024-01-01 21:15:00,0.001,0.001,0.0,0.4686666666666667,0.2
2024-01-01 21:30:00,0.05373565240384421,0.001,0.0,0.14073333333333335,0.0
2024-01-01 21:45:00,0.7920347860576631,0.001,0.0,0.27840000000000004,0.4
2024-01-01 22:00:00,0.7920347860576631,0.001,0.0,0.44924175788233145,0.2
2024-01-01 22:15:00,0.7920347860576631,0.001,0.0,0.4555521973529143,0.4
2024-01-01 22:30:00,0.7920347860576631,0.001,0.0,0.6988855306862476,1.2
2024-01-01 22:45:00,0.7920347860576631,0.001,0.0,0.5770581932850068,0.2
2024-01-01 23:00:00,0.7920347860576631,0.001,0.0,0.34950927305892115,0.4
2024-01-01 23:15:00,0.7920347860576631,0.001,0.0,0.8380426063922545,0.2
2024-01-01 23:30:00,0.7920347860576631,0.001,0.0,0.9832356467451991,0.2
2024-01-01 23:45:00,0.7920347860576631,0.001,0.0,0.8424904090393402,1.0
