,WasherDryer,TumbleDryer,WashingMachine,BaseLoad,P_HP,P_WB
2024-01-01 06:15:00,0.001,0.001,0.001,0.09866666666666667,3.466666666666667,0.3333333333333333
2024-01-01 06:30:00,0.001,0.001,0.001,0.26533333333333337,0.0,0.0
2024-01-01 06:45:00,0.001,0.001,0.001,0.25766666666666665,0.0,0.3333333333333333
2024-01-01 07:00:00,0.001,0.001,0.001,0.08499999999999999,0.0,0.0
2024-01-01 07:15:00,0.001,0.001,0.001,0.047,0.0,0.6666666666666666
2024-01-01 07:30:00,0.001,0.001,0.001,0.047,0.0,0.0
2024-01-01 07:45:00,0.001,0.001,0.001,0.12966666666666668,0.0,3.6666666666666665
2024-01-01 08:00:00,0.001,0.001,0.001,0.2803333333333333,0.0,2.0
2024-01-01 08:15:00,0.001,0.001,0.001,0.6498,0.0,0.3333333333333333
2024-01-01 08:30:00,0.001,0.001,0.001,0.07266666666666666,0.0,1.0
2024-01-01 08:45:00,0.001,0.001,0.001,0.05999999999999999,3.2,0.0
2024-01-01 09:00:00,0.001,0.001,0.001,0.05826666666666667,0.0,1.3333333333333333
2024-01-01 09:15:00,0.001,0.001,0.001,0.16066666666666668,0.0,0.6666666666666666
2024-01-01 09:30:00,0.001,0.001,0.001,0.27466666666666667,0.0,0.0
2024-01-01 09:45:00,0.1592069572115326,0.001,0.001,0.22433333333333333,0.0,1.0
2024-01-01 10:00:00,0.7920347860576631,0.001,0.001,0.047,0.0,0.6666666666666666
2024-01-01 10:15:00,0.7920347860576631,0.001,0.001,0.047,0.0,1.6666666666666667
2024-01-01 10:30:00,0.7920347860576631,0.001,0.001,0.047,0.0,0.3333333333333333
2024-01-01 10:45:00,0.7920347860576631,0.001,0.001,0.19166666666666668,0.0,0.6666666666666666
2024-01-01 11:00:00,0.7920347860576631,0.001,0.001,0.269,0.0,0.3333333333333333
2024-01-01 11:15:00,0.7920347860576631,0.001,0.001,0.19899999999999998,0.0,0.0
2024-01-01 11:30:00,0.7920347860576631,0.001,0.001,0.047,0.0,0.0
2024-01-01 11:45:00,0.7920347860576631,0.001,0.001,0.047,0.0,0.0
2024-01-01 12:00:00,0.7920347860576631,0.001,0.001,0.06766666666666668,0.0,0.0
2024-01-01 12:15:00,0.7920347860576631,0.001,0.001,0.202,0.0,0.3333333333333333
2024-01-01 12:30:00,0.7920347860576631,0.001,0.001,0.26333333333333336,3.2,0.0
2024-01-01 12:45:00,0.7920347860576631,0.001,0.001,0.17366666666666666,0.0,0.0
2024-01-01 13:00:00,0.7920347860576631,0.001,0.001,0.047,0.0,0.0
2024-01-01 13:15:00,0.6865634812499747,0.001,0.001,0.10346666666666667,0.0,1.6666666666666667
2024-01-01 13:30:00,0.001,0.001,0.001,0.21966666666666665,0.0,2.0
2024-01-01 13:45:00,0.001,0.001,0.001,0.3332472433896504,0.0,0.0
2024-01-01 14:00:00,0.001,0.001,0.001,3.136557075706007,0.0,0.0
2024-01-01 14:15:00,0.001,0.001,0.001,0.9380237423726735,0.0,0.6666666666666666
2024-01-01 14:30:00,0.001,0.001,0.001,0.16595707570600685,0.0,0.0
2024-01-01 14:45:00,0.001,0.001,0.001,0.1498237423726735,0.0,1.0
2024-01-01 15:00:00,0.001,0.001,0.001,0.16070983231635647,0.0,0.0
2024-01-01 15:15:00,0.001,0.001,0.001,0.23,0.0,0.0
2024-01-01 15:30:00,0.001,0.001,0.001,0.25,0.0,0.0
2024-01-01 15:45:00,0.001,0.001,0.001,0.136,0.0,0.3333333333333333
2024-01-01 16:00:00,0.001,0.001,0.001,0.05999999999999999,0.0,0.0
2024-01-01 16:15:00,0.001,0.001,0.001,0.04873333333333333,0.0,0.0
2024-01-01 16:30:00,0.001,0.001,0.001,0.16066666666666668,1.8666666666666667,0.0
2024-01-01 16:45:00,0.001,0.001,0.001,0.21133333333333332,1.3333333333333333,0.3333333333333333
2024-01-01 17:00:00,0.001,0.001,0.001,0.237,0.0,0.0
2024-01-01 17:15:00,0.001,0.001,0.001,0.09766666666666665,0.0,0.0
2024-01-01 17:30:00,0.001,0.001,0.001,0.047,0.0,0.0
2024-01-01 17:45:00,0.001,0.001,0.001,0.047,0.0,0.0
2024-01-01 18:00:00,0.001,0.001,0.001,0.19166666666666668,0.0,0.3333333333333333
2024-01-01 18:15:00,0.001,0.001,0.001,0.20566666666666666,0.0,0.0
2024-01-01 18:30:00,0.001,0.001,0.001,0.237,0.0,0.0
2024-01-01 18:45:00,0.001,0.001,0.001,0.07233333333333333,0.0,0.0
2024-01-01 19:00:00,0.001,0.001,0.001,0.047,0.0,0.3333333333333333
2024-01-01 19:15:00,0.001,0.001,0.001,0.06766666666666668,0.0,0.0
2024-01-01 19:30:00,0.001,0.001,0.001,0.202,0.0,0.0
2024-01-01 19:45:00,0.001,0.001,0.001,0.2,0.0,0.0
2024-01-01 20:00:00,0.001,0.001,0.001,0.237,0.0,0.0
