,WasherDryer,WashingMachine,BaseLoad,P_HP,P_WB
2024-01-01 07:45:00,0.001,0.001,0.17213333333333333,3.466666666666667,1.0
2024-01-01 08:00:00,0.001,0.001,0.15566666666666668,1.0666666666666667,0.0
2024-01-01 08:15:00,0.001,0.001,0.141,0.0,0.3333333333333333
2024-01-01 08:30:00,0.001,0.001,0.141,0.0,0.0
2024-01-01 08:45:00,0.001,0.001,0.12886666666666666,3.466666666666667,0.0
2024-01-01 09:00:00,0.001,0.001,0.13799999999999998,0.0,0.0
2024-01-01 09:15:00,0.001,0.001,0.116,0.0,0.0
2024-01-01 09:30:00,0.001,0.001,0.05,0.0,1.0
2024-01-01 09:45:00,0.001,0.001,0.05,0.0,0.3333333333333333
2024-01-01 10:00:00,0.001,0.001,0.05,2.6666666666666665,0.0
2024-01-01 10:15:00,0.001,0.001,0.08666666666666667,1.8666666666666667,1.6666666666666667
2024-01-01 10:30:00,0.001,0.001,0.16,0.0,0.3333333333333333
2024-01-01 10:45:00,0.001,0.001,0.05733333333333334,0.0,0.0
2024-01-01 11:00:00,0.001,0.001,0.18326666666666666,0.0,0.3333333333333333
2024-01-01 11:15:00,0.001,0.001,0.4498,0.0,0.0
2024-01-01 11:30:00,0.001,0.001,0.14679999999999999,0.0,0.0
2024-01-01 11:45:00,0.001,0.001,0.26633333333333337,0.0,1.6666666666666667
2024-01-01 12:00:00,0.001,0.001,0.22966666666666669,1.0666666666666667,1.3333333333333333
2024-01-01 12:15:00,0.001,0.001,0.171,2.933333333333333,0.3333333333333333
2024-01-01 12:30:00,0.001,0.001,0.171,0.0,0.3333333333333333
2024-01-01 12:45:00,0.001,0.001,0.05,0.0,0.0
2024-01-01 13:00:00,0.001,0.001,0.09400000000000001,0.0,1.3333333333333333
2024-01-01 13:15:00,0.001,0.001,0.16,0.0,0.0
2024-01-01 13:30:00,0.001,0.001,0.05,0.0,0.3333333333333333
2024-01-01 13:45:00,0.001,0.001,0.07493333333333334,0.0,0.0
2024-01-01 14:00:00,0.001,0.001,0.6170666666666667,0.0,0.0
2024-01-01 14:15:00,0.001,0.001,0.054533333333333336,0.0,0.0
2024-01-01 14:30:00,0.001,0.001,0.15266666666666667,2.6666666666666665,0.3333333333333333
2024-01-01 14:45:00,0.001,0.001,0.10133333333333333,2.4,0.3333333333333333
2024-01-01 15:00:00,0.001,0.001,0.05,0.0,0.3333333333333333
2024-01-01 15:15:00,0.001,0.001,0.05,0.0,0.3333333333333333
2024-01-01 15:30:00,0.001,0.001,0.05,0.0,0.3333333333333333
2024-01-01 15:45:00,0.001,0.001,0.5011333333333333,0.0,0.0
2024-01-01 16:00:00,0.001,0.001,0.15266666666666667,0.0,0.3333333333333333
2024-01-01 16:15:00,0.001,0.001,0.05,0.0,0.3333333333333333
2024-01-01 16:30:00,0.001,0.001,0.05,0.0,0.0
2024-01-01 16:45:00,0.001,0.001,0.05,0.0,1.6666666666666667
2024-01-01 17:00:00,0.001,0.001,0.5830666666666667,2.933333333333333,0.3333333333333333
2024-01-01 17:15:00,0.001,0.001,0.1631529979660463,1.3333333333333333,0.0
2024-01-01 17:30:00,0.001,0.001,0.1058237423726735,0.0,0.3333333333333333
2024-01-01 17:45:00,0.001,0.001,0.0618237423726735,0.0,0.3333333333333333
2024-01-01 18:00:00,0.001,0.001,0.0618237423726735,0.0,0.6666666666666666
2024-01-01 18:15:00,0.001,0.001,0.0618237423726735,0.0,0.0
2024-01-01 18:30:00,0.001,0.001,0.11891391005631703,0.0,1.0
2024-01-01 18:45:00,0.001,0.001,0.14533333333333334,0.0,0.3333333333333333
2024-01-01 19:00:00,0.001,0.001,0.05,0.0,0.6666666666666666
2024-01-01 19:15:00,0.001,0.001,0.13832000000000003,0.0,0.3333333333333333
2024-01-01 19:30:00,0.001,0.001,0.05,2.1333333333333333,0.3333333333333333
2024-01-01 19:45:00,0.001,0.001,0.14606666666666668,2.1333333333333333,0.3333333333333333
2024-01-01 20:00:00,0.001,0.001,0.3710561424222868,0.0,0.0
2024-01-01 20:15:00,0.001,0.001,0.5077426063922544,0.0,0.0
2024-01-01 20:30:00,0.001,0.001,0.4710759397255878,0.0,0.3333333333333333
2024-01-01 20:45:00,0.001,0.001,0.4710759397255878,0.0,0.0
2024-01-01 21:00:00,0.001,0.001,0.2855426063922544,0.0,0.0
2024-01-01 21:15:00,0.001,0.001,0.28719344481047215,0.0,0.0
2024-01-01 21:30:00,0.001,0.001,0.27369999999999994,0.0,0.0
2024-01-01 21:45:00,0.001,0.001,0.1857,0.0,0.3333333333333333
2024-01-01 22:00:00,0.001,0.001,0.1857,0.0,0.0
2024-01-01 22:15:00,0.001,0.001,0.1857,0.0,0.0
2024-01-01 22:30:00,0.001,0.001,0.20036666666666664,0.0,0.0
2024-01-01 22:45:00,0.001,0.001,0.29569999999999996,0.0,0.3333333333333333
2024-01-01 23:00:00,0.001,0.001,0.2150333333333333,0.0,0.0
2024-01-01 23:15:00,0.001,0.001,0.1857,0.0,0.0
2024-01-01 23:30:00,0.001,0.001,0.1857,0.0,0.0
2024-01-01 23:45:00,0.001,0.001,0.1857,0.0,0.3333333333333333
