,WasherDryer,TumbleDryer,WashingMachine,BaseLoad,P_WB
2024-01-02 10:15:00,0.001,0.001,0.001,0.049,0.2
2024-01-02 10:30:00,0.001,0.001,0.001,0.049,0.8
2024-01-02 10:45:00,0.001,0.001,0.001,0.049,1.2
2024-01-02 11:00:00,0.001,0.001,0.001,0.09966666666666667,0.2
2024-01-02 11:15:00,0.001,0.001,0.001,0.18833333333333332,0.0
2024-01-02 11:30:00,0.001,0.001,0.001,0.049,0.4
2024-01-02 11:45:00,0.001,0.001,0.001,0.9818666666666667,0.4
2024-01-02 12:00:00,0.001,0.001,0.001,0.5820666666666666,0.0
2024-01-02 12:15:00,0.001,0.001,0.001,0.049,0.2
2024-01-02 12:30:00,0.001,0.001,0.001,0.22633333333333333,0.2
2024-01-02 12:45:00,0.001,0.001,0.001,0.46146666666666664,0.2
2024-01-02 13:00:00,0.001,0.001,0.001,0.049,0.2
2024-01-02 13:15:00,0.001,0.001,0.001,0.049,0.8
2024-01-02 13:30:00,0.001,0.001,0.001,0.049,1.0
2024-01-02 13:45:00,0.001,0.001,0.001,0.16299999999999998,1.2
2024-01-02 14:00:00,0.001,0.001,0.001,0.5248,0.0
2024-01-02 14:15:00,0.001,0.001,0.001,0.049,0.2
2024-01-02 14:30:00,0.001,0.001,0.001,0.049,0.0
2024-01-02 14:45:00,0.001,0.001,0.001,0.049,0.2
2024-01-02 15:00:00,0.001,0.001,0.001,0.09966666666666667,1.0
2024-01-02 15:15:00,0.001,0.001,0.001,0.18833333333333332,0.6
2024-01-02 15:30:00,0.001,0.001,0.001,0.5820666666666666,0.0
2024-01-02 15:45:00,0.001,0.001,0.001,0.049,1.8
2024-01-02 16:00:00,0.001,0.001,0.001,0.06003549288116194,0.0
2024-01-02 16:15:00,0.001,0.001,0.001,0.0608237423726735,0.2
2024-01-02 16:30:00,0.001,0.001,0.001,0.23815707570600686,0.6
2024-01-02 16:45:00,0.001,0.001,0.001,0.4732904090393402,1.2
2024-01-02 17:00:00,0.001,0.001,0.001,0.0513647484745347,0.8
2024-01-02 17:15:00,0.001,0.001,0.001,0.049,0.6
2024-01-02 17:30:00,0.001,0.001,0.001,0.049,2.0
2024-01-02 17:45:00,0.001,0.001,0.001,0.16299999999999998,0.2
2024-01-02 18:00:00,0.001,0.001,0.001,0.125,0.2
2024-01-02 18:15:00,0.001,0.001,0.001,0.049,3.0
2024-01-02 18:30:00,0.001,0.001,0.030364887719969622,0.049,1.0
2024-01-02 18:45:00,0.001,0.001,0.11640013629473317,0.049,0.2
2024-01-02 19:00:00,0.1064713048076884,0.001,0.3054680546714754,0.12406599593209254,0.4
2024-01-02 19:15:00,0.7920347860576631,0.001,1.0758094750348788,0.45685707570600687,0.0
2024-01-02 19:30:00,0.7920347860576631,0.001,0.11981635502885384,0.3175237423726735,0.2
2024-01-02 19:45:00,0.7920347860576631,0.001,0.2712441244073021,0.35819040903934013,0.4
2024-01-02 20:00:00,0.7920347860576631,0.001,0.5786271619195081,0.4395237423726735,0.2
2024-01-02 20:15:00,0.7920347860576631,0.001,0.20181991422085735,0.9725904090393401,0.2
2024-01-02 20:30:00,0.7920347860576631,0.001,0.11383771399667887,0.6050333333333333,0.6
2024-01-02 20:45:00,0.7920347860576631,0.001,0.3925103414932591,0.44982566056480544,0.8
2024-01-02 21:00:00,0.7920347860576631,0.001,1.8792154530222958,0.48792374237267355,0.0
2024-01-02 21:15:00,0.7920347860576631,0.001,0.09771364591106028,0.46292374237267353,0.0
2024-01-02 21:30:00,0.7920347860576631,0.001,0.1428084692726008,0.3175237423726735,1.0
2024-01-02 21:45:00,0.7920347860576631,0.001,0.24201605146578084,0.8797237423726736,0.0
2024-01-02 22:00:00,0.7920347860576631,0.001,0.001,0.5145237423726735,1.6
2024-01-02 22:15:00,0.1064713048076884,0.001,0.001,0.5035904090393403,0.0
2024-01-02 22:30:00,0.001,0.001,0.001,0.5605237423726736,0.4
2024-01-02 22:45:00,0.001,0.001,0.001,0.5605237423726736,1.6
2024-01-02 23:00:00,0.001,0.001,0.001,0.5547237423726735,1.2
2024-01-02 23:15:00,0.001,0.001,0.001,0.5788570757060068,0.0
2024-01-02 23:30:00,0.001,0.001,0.001,0.4395237423726735,0.0
2024-01-02 23:45:00,0.001,0.001,0.001,0.3120437423726735,0.2
2024-01-03 00:00:00,0.001,0.001,0.001,0.15762374237267351,0.2
2024-01-03 00:15:00,0.001,0.001,0.001,0.0608237423726735,0.0
2024-01-03 00:30:00,0.001,0.001,0.001,0.2318510797739143,1.6
2024-01-03 00:45:00,0.001,0.001,0.001,0.06166666666666667,1.6
2024-01-03 01:00:00,0.001,0.001,0.001,0.049,0.2
2024-01-03 01:15:00,0.001,0.001,0.001,0.5820666666666666,2.6
2024-01-03 01:30:00,0.001,0.001,0.001,0.049,1.0
2024-01-03 01:45:00,0.001,0.001,0.001,0.16299999999999998,0.0
2024-01-03 02:00:00,0.001,0.001,0.001,0.125,0.0
2024-01-03 02:15:00,0.001,0.001,0.001,0.049,0.4
2024-01-03 02:30:00,0.001,0.001,0.001,0.049,0.2
2024-01-03 02:45:00,0.001,0.001,0.001,0.049,1.8
2024-01-03 03:00:00,0.001,0.001,0.001,0.09966666666666667,0.0
2024-01-03 03:15:00,0.001,0.001,0.001,0.18833333333333332,0.4
2024-01-03 03:30:00,0.001,0.001,0.001,0.0974,0.2
2024-01-03 03:45:00,0.001,0.001,0.001,0.17,1.0
2024-01-03 04:00:00,0.001,0.001,0.001,0.17,0.0
2024-01-03 04:15:00,0.001,0.001,0.001,0.17,0.2
2024-01-03 04:30:00,0.001,0.001,0.001,0.3473333333333333,0.0
2024-01-03 04:45:00,0.001,0.001,0.001,0.13426666666666667,1.6
