,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_EV,P_WB
2024-01-02 02:45:00,0.001,0.0,0.001,0.05693131841174858,0.0,0.0
2024-01-02 03:00:00,0.001,0.0,0.001,0.038,0.0,0.0
2024-01-02 03:15:00,0.001,0.0,0.001,0.19866666666666666,0.0,0.0
2024-01-02 03:30:00,0.001,0.0,0.001,0.214,0.0,0.0
2024-01-02 03:45:00,0.001,0.0,0.001,0.038,0.0,0.0
2024-01-02 04:00:00,0.001,0.0,0.001,0.038,0.0,0.0
2024-01-02 04:15:00,0.001,0.0,0.001,0.038,0.0,0.0
2024-01-02 04:30:00,0.001,0.0,0.001,0.14933333333333335,0.0,0.0
2024-01-02 04:45:00,0.001,0.0,0.001,0.26333333333333336,0.0,0.0
2024-01-02 05:00:00,0.001,0.0,0.001,0.038,0.0,0.0
2024-01-02 05:15:00,0.001,0.0,0.001,0.038,0.0,0.0
2024-01-02 05:30:00,0.001,0.0,0.001,0.038,0.0,0.0
2024-01-02 05:45:00,0.001,0.0,0.001,0.1,0.0,0.0
2024-01-02 06:00:00,0.001,0.0,0.001,0.3126666666666667,0.0,0.0
2024-01-02 06:15:00,0.001,0.0,0.001,0.038,0.0,0.0
2024-01-02 06:30:00,0.001,0.0,0.001,0.038,0.0,0.0
2024-01-02 06:45:00,0.001,0.0,0.001,0.038,0.0,0.0
2024-01-02 07:00:00,0.001,0.0,0.001,0.050666666666666665,0.0,0.0
2024-01-02 07:15:00,0.001,0.0,0.001,0.3253333333333333,0.0,0.0
2024-01-02 07:30:00,0.001,0.0,0.001,0.07466666666666666,0.0,0.0
2024-01-02 07:45:00,0.001,0.0,0.001,0.038,0.0,0.0
2024-01-02 08:00:00,0.001,0.0,0.001,0.038,0.0,0.0
2024-01-02 08:15:00,0.001,0.0,0.001,0.038,0.0,0.0
2024-01-02 08:30:00,0.001,0.0,0.001,0.30133333333333334,0.0,0.0
2024-01-02 08:45:00,0.001,0.0,0.001,0.11133333333333333,0.0,0.0
2024-01-02 09:00:00,0.001,0.0,0.001,0.038,0.0,0.0
2024-01-02 09:15:00,0.001,0.0,0.001,0.038,0.0,0.0
2024-01-02 09:30:00,0.001,0.0,0.001,0.038,0.0,0.0
2024-01-02 09:45:00,0.001,0.0,0.001,0.252,0.0,0.0
2024-01-02 10:00:00,0.001,0.0,0.001,0.16066666666666668,0.0,0.0
2024-01-02 10:15:00,0.001,0.0,0.001,0.038,0.0,0.0
2024-01-02 10:30:00,0.001,0.0,0.001,0.038,0.0,2.4
2024-01-02 10:45:00,0.001,0.0,0.001,0.038,0.0,0.0
2024-01-02 11:00:00,0.001,0.0,0.001,0.20266666666666666,0.0,0.0
2024-01-02 11:15:00,0.001,0.0,0.001,0.17333333333333334,0.0,0.0
2024-01-02 11:30:00,0.001,0.0,0.001,0.11882666666666666,0.0,0.0
