,Occupancy,T_set_HP,P_loss_HP,T_ref_HP,T_wall_HP,T_out_HP,T_ref_WB,P_use_WB,P_loss_WB,T_set_WB,SoC_ref_EV,SoC_arr_EV,EV_plugged,EV_arrival,EV_departure
2024-05-29 23:15:00,2.0,15.5,0.446340621264356,21.091303354060898,18.02589384919532,10.54667,60.22677657779174,0.0,0.07630032507245813,60.0,0.7999999999999995,0.0,1,0,0
2024-05-29 23:30:00,2.0,15.5,0.4427169916999866,21.058342805194822,18.02131556111011,10.54667,60.062729056135716,0.0,0.07597288759668211,60.0,0.7999999999999995,0.0,1,0,0
2024-05-29 23:45:00,2.0,15.5,0.43915494721258846,21.025649687386696,18.01650289788986,10.54667,59.899385532874824,0.0,0.07564685529579157,60.0,0.7999999999999995,0.0,1,0,0
2024-05-30 00:00:00,2.0,15.5,0.43502771490444736,20.993219456425987,18.01146135279314,10.63167,59.736742986849485,0.0,0.07532222213957732,60.0,0.7999999999999995,0.0,1,0,0
2024-05-30 00:15:00,2.0,15.5,0.4315049071054557,20.96109727078801,18.00656007063283,10.63167,59.574798409865224,0.0,0.07499898212370845,60.0,0.7999999999999995,0.0,1,0,0
2024-05-30 00:30:00,2.0,15.5,0.428084378136772,20.92923187121768,18.001436187601218,10.63167,59.413548806636996,0.2567413333333333,0.07464032926962116,60.0,0.7999999999999995,0.0,1,0,0
2024-05-30 00:45:00,2.0,15.5,0.42472152284496556,20.897618915766152,17.996094945957363,10.63167,59.41774494533107,0.0,0.078405782226409,60.0,0.7999999999999995,0.0,1,0,0
2024-05-30 01:00:00,2.0,15.5,0.42340222757213264,20.866254148829345,17.990541479764843,10.36167,61.399194529650785,0.2567413333333333,0.07783203142137782,60.0,0.7999999999999995,0.0,1,0,0
2024-05-30 01:15:00,2.0,15.5,0.420406316052281,20.83497580751367,17.983625328653705,10.36167,60.679853802753414,0.0,0.07720466340915132,60.0,0.7999999999999995,0.0,1,0,0
2024-05-30 01:30:00,2.0,15.5,0.4173240023188828,20.803928761297236,17.97652077963171,10.36167,60.51386193206961,0.0,0.0768733450290419,60.0,0.7999999999999995,0.0,1,0,0
2024-05-30 01:45:00,2.0,15.5,0.4142922345013893,20.773109205111925,17.969232394434012,10.36167,60.34858240381797,0.0,0.07654344847844576,60.0,0.7999999999999995,0.0,1,0,0
2024-05-30 02:00:00,2.0,15.5,0.4102429014168203,20.742513409275272,17.961764640406148,10.50667,60.184012161031056,0.2567413333333333,0.07544322173930483,60.0,0.7999999999999995,0.0,1,0,0
2024-05-30 02:15:00,2.0,15.5,0.40717229162388346,20.71222235063963,17.954742432516255,10.50667,59.46980743201679,0.385112,0.07582451823727024,60.0,0.7999999999999995,0.0,1,0,0
2024-05-30 02:30:00,2.0,15.5,0.40422484952830984,20.682152449984624,17.947542063944365,10.50667,61.345481425295475,0.2567413333333333,0.07834929274948195,60.0,0.7999999999999995,0.0,1,0,0
2024-05-30 02:45:00,2.0,15.5,0.40132550861693983,20.652300086325386,17.94016787030212,10.50667,60.62502857418574,0.0,0.07709523271327846,60.0,0.7999999999999995,0.0,1,0,0
2024-05-30 03:00:00,2.0,15.5,0.40134130334387685,20.622661710368142,17.932624097449796,10.09333,60.45927198211229,0.0,0.07676438394729972,60.0,0.7999999999999995,0.0,1,0,0
2024-05-30 03:15:00,2.0,15.5,0.398914974686774,20.59300635291388,17.9231460368763,10.09333,60.294226722789375,0.2567413333333333,0.07632456554496878,60.0,0.7999999999999995,0.0,1,0,0
2024-05-30 03:30:00,2.0,15.5,0.39633099614315376,20.563544747850692,17.913527989298604,10.09333,59.57812708353838,0.0,0.07500562612841037,60.0,0.7999999999999995,0.0,1,0,0
2024-05-30 03:45:00,2.0,15.5,0.3937872932537428,20.534273863657184,17.903773540148602,10.09333,59.41686319554133,0.0,0.07468374476204447,60.0,0.7999999999999995,0.0,1,0,0
2024-05-30 04:00:00,1.0,19.9,0.4008085600635853,20.505190728444283,17.893886200304593,9.87,59.256291360171424,0.0,0.07436324472691141,60.0,0.7999999999999995,0.0,1,0,0
2024-05-30 04:15:00,1.0,21.5,0.4846559649901166,21.017163828789034,17.884543233773954,9.87,59.09640860753353,0.0,0.07490385575803574,60.0,0.7999999999999995,0.0,1,0,0
2024-05-30 04:30:00,1.0,21.5,0.5650815130365646,21.719776190559813,17.88137694526173,9.87,61.08538741741831,0.0,0.07801410509889915,60.0,0.7999999999999995,0.0,1,0,0
2024-05-30 04:45:00,1.0,21.5,0.5744012720635593,22.02260823589076,17.883710591764487,9.87,60.91765522776467,0.0,0.07767931305673877,60.0,0.7999999999999995,0.0,1,0,0
2024-05-30 05:00:00,1.0,21.5,0.5243357733390763,21.980195990018174,17.88645431960209,9.873333,60.75064284899958,0.0,0.07734595775106794,60.0,0.7999999999999995,0.0,1,0,0
2024-05-30 05:15:00,2.0,15.9,0.5160075584220147,21.941715524969837,17.888811289363286,9.873333,60.58434719210527,0.0,0.07701403301623312,60.0,0.7999999999999995,0.0,1,0,0
2024-05-30 05:30:00,1.0,18.7,0.5109566315115879,21.903614628910464,17.890792753365957,9.873333,60.41876518132026,0.0,0.0766835327130402,60.0,0.7999999999999995,0.0,1,0,0
2024-05-30 05:45:00,1.0,21.5,0.5059963388039721,21.865886477433445,17.8924070751308,9.873333,60.25389375408247,0.0,0.07635445072864103,60.0,0.7999999999999995,0.0,1,0,0
2024-05-30 06:00:00,1.0,21.5,0.4620711110155456,21.82852438292844,17.89366244648245,9.176667,60.08972986097263,0.0,0.07602678097642032,60.0,0.7999999999999995,0.0,1,0,1
2024-05-30 06:15:00,2.0,17.1,0.4552142701899601,21.794611608180034,17.891600172299402,9.176667,59.92627046565782,0.0,0.07570051739588307,60.0,0.0,0.0,0,0,0
2024-05-30 06:30:00,2.0,15.5,0.4512424912635274,21.760997148811697,17.889261721201684,9.176667,59.763512544835315,0.0,0.07537565395254245,60.0,0.0,0.0,0,0,0
2024-05-30 06:45:00,1.0,18.7,0.4473397496927507,21.72767580697222,17.88665341574731,9.176667,59.60145308817672,0.0,0.07505218463780822,60.0,0.0,0.0,0,0,0
2024-05-30 07:00:00,1.0,21.5,0.34952056321265224,21.69464248858617,17.883781448350167,10.21667,59.440089098272196,0.0,0.07473010346887551,60.0,0.0,0.0,0,0,0
2024-05-30 07:15:00,3.0,21.5,0.33943425055072945,21.66933135628948,17.885131437897652,10.21667,59.279417590575136,0.0,0.0744094044886144,60.0,0.0,0.0,0,0,0
2024-05-30 07:30:00,3.0,21.5,0.33613513551449553,21.644268139535317,17.886237082715734,10.21667,59.119435593346864,0.0,0.07437672422414532,60.0,0.0,0.0,0,0,0
2024-05-30 07:45:00,3.0,21.5,0.33289511198871363,21.619448388979553,17.887103833310555,10.21667,61.10954774862224,0.0,0.07806232891711641,60.0,0.0,0.0,0,0,0
2024-05-30 08:00:00,3.0,21.5,0.04619700638997289,21.594867744445718,17.887737028277108,12.04667,60.94171187660743,0.0,0.07772732992583369,60.0,0.0,0.0,0,0,0
2024-05-30 08:15:00,3.0,21.5,0.02465406935766138,21.592961525882295,17.89606353798435,12.04667,60.77459626042671,0.0,0.0773937685591481,60.0,0.0,0.0,0,0,0
2024-05-30 08:30:00,3.0,21.5,0.02345268526984238,21.59114590152599,17.904262849830864,12.04667,60.60819780915286,0.0,0.07706163864759484,60.0,0.0,0.0,0,0,0
2024-05-30 08:45:00,3.0,21.5,0.022277286666299936,21.589418913984577,17.912337457003897,12.04667,60.44251344512315,0.0,0.07673093404818494,60.0,0.0,0.0,0,0,0
2024-05-30 09:00:00,1.0,21.5,0.21697890308802198,21.587778645927063,17.92028980219646,13.64333,60.27754010388243,0.0,0.07640164864429164,60.0,0.0,0.0,0,0,0
2024-05-30 09:15:00,1.0,21.5,0.2271757884613195,21.57072564469128,17.93488613735165,13.64333,60.11327473412642,0.0,0.07607377634553726,60.0,0.0,0.0,0,0,0
2024-05-30 09:30:00,1.0,21.5,0.2233673176415184,21.553959359120476,17.949136803671482,13.64333,59.94971429764532,0.0,0.07574731108768053,60.0,0.0,0.0,0,0,0
2024-05-30 09:45:00,1.0,21.5,0.21963449519595774,21.537474091887002,17.963048939137977,13.64333,59.78685576926761,0.0,0.07542224683250444,60.0,0.0,0.0,0,0,0
2024-05-30 10:00:00,3.0,21.5,0.2594614519030649,21.521264261228804,17.976629536333448,15.73833,59.62469613680402,0.0,0.07509857756770459,60.0,0.0,0.0,0,0,0
2024-05-30 10:15:00,3.0,21.5,0.2575369217047013,21.50188560015538,17.99883154932008,15.73833,59.46323240099193,0.12837066666666666,0.07473949730677794,60.0,0.0,0.0,0,0,0
2024-05-30 10:30:00,3.0,21.5,0.25255850266627733,21.482881858216416,18.020566477357193,15.73833,59.026540696318975,0.6418533333333334,0.07698578185174401,60.0,0.0,0.0,0,0,0
2024-05-30 10:45:00,3.0,21.5,0.24768075077700485,21.464245453552934,18.041843853742037,15.73833,61.06439257480303,0.0,0.07797219956932538,60.0,0.0,0.0,0,0,0
2024-05-30 11:00:00,3.0,21.5,0.24927972662167802,21.445968958397277,18.062673017824572,16.86167,60.89675048303907,2.3106720000000007,0.07609293644951862,60.0,0.0,0.0,0,0,0
2024-05-30 11:15:00,3.0,21.5,0.24444131017958565,21.42754174765296,18.08786566928864,16.86167,56.481823481594816,0.0,0.07617236994469921,60.0,0.0,0.0,0,0,0
2024-05-30 11:30:00,1.0,21.5,0.23923453327841393,21.40950673268736,18.11256019017423,16.86167,61.33477347454697,0.0,0.07851187757492087,60.0,0.0,0.0,0,0,0
2024-05-30 11:45:00,1.0,21.5,0.2341341655664321,21.39185589899635,18.136766679035297,16.86167,61.16597106217853,0.0,0.07817494937720801,60.0,0.0,0.0,0,0,0
2024-05-30 12:00:00,3.0,21.5,0.17600317703883722,21.37458139514595,18.160495029130107,17.03167,60.997893053484106,0.0,0.07783946708314594,60.0,0.0,0.0,0,0,0
2024-05-30 12:15:00,1.0,21.5,0.16774216444943194,21.361880805907333,18.18449975337509,17.03167,60.830536339736305,0.0,0.07750542448774085,60.0,0.6838888888888883,0.6026111111111112,1,1,0
2024-05-30 12:30:00,3.0,21.5,0.16338405434526698,21.349508604680963,18.208073303198436,17.03167,60.66389782554861,0.0,0.07717281541262726,60.0,0.770972222222221,0.0,1,0,0
2024-05-30 12:45:00,3.0,21.5,0.15911667338312735,21.337457957689974,18.231224320516148,17.03167,60.497974428818154,0.2567413333333333,0.07673124425540433,60.0,0.7999999999999985,0.0,1,0,0
2024-05-30 13:00:00,3.0,21.5,0.24166595416165013,21.325722170475686,18.253961271781762,18.19,59.781000420624515,1.5404480000000003,0.07613960339195747,60.0,0.7999999999999985,0.0,1,0,1
2024-05-30 13:15:00,3.0,21.5,0.24236714204650445,21.30743255329064,18.28121788112085,18.19,61.32202086244783,0.0,0.07848642346825016,60.0,0.0,0.0,0,0,0
2024-05-30 13:30:00,3.0,21.5,0.2369383207924401,21.289551896950698,18.307950289625538,18.19,61.1532731770168,1.9255600000000002,0.07682311428290496,60.0,0.0,0.0,0,0,0
2024-05-30 13:45:00,3.0,21.5,0.23162101080611533,21.272071802586638,18.334169090715992,18.19,61.14814942437796,0.12837066666666666,0.07762513643785521,60.0,0.0,0.0,0,0,0
2024-05-30 14:00:00,3.0,21.5,0.03420393649849847,21.254984042312273,18.35988466253134,18.65667,60.70525352663772,0.0,0.07725536104475186,60.0,0.7999999999999998,0.7709722222222223,1,1,0
2024-05-30 14:15:00,3.0,21.5,0.01699573408172775,21.253492452986993,18.387167238965958,18.65667,60.53915265482627,0.2567413333333333,0.07673986729408487,60.0,0.7999999999999998,0.0,1,0,0
2024-05-30 14:30:00,1.0,21.5,0.013649598027563966,21.252253354188245,18.41407558211074,18.65667,59.82216010689348,0.12837066666666666,0.0750884937150392,60.0,0.7999999999999998,0.0,1,0,0
2024-05-30 14:45:00,3.0,21.5,0.01037817030450226,21.251261118065354,18.440616901539183,18.65667,59.38471805160553,0.12837066666666666,0.07493543489612663,60.0,0.7999999999999998,0.0,1,0,0
2024-05-30 15:00:00,3.0,21.5,0.18877723026236287,21.25051023231123,18.466798261099814,18.485,61.09762896558902,0.385112,0.07774436055890448,60.0,0.7999999999999998,0.0,1,0,0
2024-05-30 15:15:00,1.0,21.5,0.19695753517993655,21.23562357446534,18.491831806308703,18.485,60.10247673314035,0.0,0.07605222362623608,60.0,0.7999999999999998,0.0,1,0,0
2024-05-30 15:30:00,1.0,21.5,0.19220879790261136,21.221094693657086,18.516401006899688,18.485,59.93896263552063,0.0,0.07572585086035757,60.0,0.7999999999999998,0.0,1,0,0
2024-05-30 15:45:00,1.0,21.5,0.1875582818676068,21.206916191897694,18.540515206531897,18.485,59.776150247144336,0.0,0.07540087870023693,60.0,0.7999999999999998,0.0,1,0,0
2024-05-30 16:00:00,3.0,21.5,0.14704623677351533,21.193080821916194,18.56418355907089,18.24,59.614036556675615,0.12837066666666666,0.07459972312811156,60.0,0.7999999999999998,0.0,1,0,0
2024-05-30 16:15:00,1.0,21.5,0.14048396072660538,21.182426851995608,18.58637911801048,18.24,59.17764536982588,0.385112,0.07611450404151905,60.0,0.7999999999999998,0.0,1,0,0
2024-05-30 16:30:00,1.0,21.5,0.13658957337589916,21.172066358053694,18.60818574709187,18.24,61.05269588669791,0.0,0.07794885307808054,60.0,0.7999999999999998,0.0,1,0,0
2024-05-30 16:45:00,1.0,21.5,0.1327766859652247,21.16199320139804,18.629611217034075,18.24,60.88510399044785,0.0,0.07761434106037572,60.0,0.7999999999999998,0.0,1,0,1
2024-05-30 17:00:00,1.0,21.5,0.14563968340140412,21.15220136855212,18.650663140837345,18.65333,60.71823130302708,0.0,0.07728126457745518,60.0,0.0,0.0,0,0,0
2024-05-30 17:15:00,1.0,21.5,0.14280808983617724,21.141372086323194,18.673111313995523,18.65333,60.552074738001494,0.0,0.07694961746882242,60.0,0.0,0.0,0,0,0
2024-05-30 17:30:00,1.0,21.5,0.1388626675153112,21.130840124464573,18.695165647066446,18.65333,60.386631222182245,0.0,0.07661939360041828,60.0,0.0,0.0,0,0,0
2024-05-30 17:45:00,1.0,21.5,0.1349997913606319,21.120599265483904,18.71683401012042,18.65333,60.22189769556883,0.0,0.07629058686450745,60.0,0.0,0.0,0,0,0
2024-05-30 18:00:00,1.0,21.5,0.267988477426922,21.110643418708598,18.738124113489686,16.04167,60.057871111292535,0.0,0.07596319117956558,60.0,0.7709722222222222,0.7593611111111112,1,1,0
2024-05-30 18:15:00,1.0,21.5,0.2740170580915115,21.09013938123291,18.747827509887532,16.04167,59.894548435560075,0.0,0.07563720049016673,60.0,0.7999999999999997,0.0,1,0,0
2024-05-30 18:30:00,1.0,21.5,0.27034698789411654,21.069911464772407,18.757219079545415,16.04167,59.73192664759746,0.0,0.07531260876687138,60.0,0.7999999999999997,0.0,1,0,0
2024-05-30 18:45:00,1.0,21.5,0.2667473296912865,21.04995436676691,18.766305417989138,16.04167,59.57000273959415,0.0,0.07498941000611496,60.0,0.7999999999999997,0.0,1,0,0
2024-05-30 19:00:00,1.0,21.5,0.3055841818897871,21.03026289179578,18.775092986052705,15.43333,59.408773716647424,0.0,0.07466759823009675,60.0,0.7999999999999997,0.0,1,0,0
2024-05-30 19:15:00,1.0,21.5,0.32004583403308523,21.007478243647597,18.78097204120744,15.43333,59.248236596706946,0.0,0.07434716748666935,60.0,0.7999999999999997,0.0,1,0,0
2024-05-30 19:30:00,1.0,21.5,0.4004836169541713,21.476148535957332,18.787900455340516,15.43333,59.088388410519656,0.0,0.07517427090373091,60.0,0.7999999999999997,0.0,1,0,0
2024-05-30 19:45:00,1.0,21.5,0.4328788490384259,22.03727439189215,18.800608744285558,15.43333,61.07678582138119,0.0,0.07799693638543365,60.0,0.7999999999999997,0.0,1,0,0
2024-05-30 20:00:00,1.0,21.5,0.4366440690173144,22.005319143783925,18.81516115946784,14.48667,60.90909054487166,0.0,0.07766221802159895,60.0,0.7999999999999997,0.0,1,0,0
2024-05-30 20:15:00,1.0,21.5,0.43204285812863147,21.973033900706756,18.82518297178245,14.48667,60.742114920840514,0.0,0.07732893607806846,60.0,0.7999999999999997,0.0,1,0,0
2024-05-30 20:30:00,1.0,21.5,0.4268731065712679,21.94113746194415,18.834783325615195,14.48667,60.57585586094977,0.0,0.07699708439054545,60.0,0.7999999999999997,0.0,1,0,0
2024-05-30 20:45:00,1.0,21.5,0.42180045994554277,21.909622515099066,18.843971274975573,14.48667,60.410310290114865,0.0,0.07666665682118698,60.0,0.7999999999999997,0.0,1,0,0
2024-05-30 21:00:00,1.0,21.5,0.42940750249520065,21.878481895160963,18.852755688676833,12.77667,60.245475146447724,0.0,0.07633764725849015,60.0,0.7999999999999997,0.0,1,0,0
2024-05-30 21:15:00,1.0,21.5,0.4261383144130172,21.846710499587445,18.85382716063964,12.77667,60.08134738120012,0.0,0.07601004961717914,60.0,0.7999999999999997,0.0,1,0,0
2024-05-30 21:30:00,1.0,21.5,0.4220693424413891,21.815244847426378,18.854600164714913,12.77667,59.91792395870738,0.0,0.07568385783809269,60.0,0.7999999999999997,0.0,1,0,0
2024-05-30 21:45:00,2.0,15.9,0.41807291272522296,21.78407947660879,18.855081384786498,12.77667,59.755201856332114,0.0,0.075359065888072,60.0,0.7999999999999997,0.0,1,0,0
2024-05-30 22:00:00,1.0,16.3,0.4313563071812226,21.75320903446586,18.855277367450356,10.43833,59.5931780644084,0.0,0.07503566775984911,60.0,0.7999999999999997,0.0,1,0,0
2024-05-30 22:15:00,1.0,21.5,0.4297091749190744,21.721263448089008,18.845187395761105,10.43833,59.431849586186075,0.0,0.07471365747193591,60.0,0.7999999999999997,0.0,1,0,0
2024-05-30 22:30:00,2.0,18.3,0.4269117301509287,21.689527627146415,18.834945037979185,10.43833,59.271213437775316,0.0,0.07439302906851335,60.0,0.7999999999999997,0.0,1,0,0
2024-05-30 22:45:00,2.0,15.5,0.4241579858123803,21.657998282316232,18.824554186835062,10.43833,59.11126664809146,0.0,0.07464700675814336,60.0,0.7999999999999997,0.0,1,0,0
2024-05-30 23:00:00,2.0,15.5,0.42273497412237926,21.62667218900102,18.81401865413395,10.26333,61.100797689461906,0.0,0.07804486387250355,60.0,0.7999999999999997,0.0,1,0,0
2024-05-30 23:15:00,2.0,15.5,0.42023135572602716,21.595444043129323,18.802593244711645,10.26333,60.93299936771023,0.0,0.07770993983123077,60.0,0.7999999999999997,0.0,1,0,0
