,WasherDryer,TumbleDryer,DishWasher,BaseLoad,P_EV
2024-01-02 04:45:00,0.001,0.001,0.0,0.1398237423726735,0.0
2024-01-02 05:00:00,0.001,0.001,0.0,0.0618237423726735,0.0
2024-01-02 05:15:00,0.001,0.001,0.0,0.0618237423726735,0.0
2024-01-02 05:30:00,0.001,0.001,0.0,0.22649040903934017,0.0
2024-01-02 05:45:00,0.001,0.001,0.0,0.35382374237267356,0.0
2024-01-02 06:00:00,0.001,0.001,0.0,0.21872949694906943,0.0
2024-01-02 06:15:00,0.001,0.001,0.0,0.05,0.0
2024-01-02 06:30:00,0.001,0.001,0.0,0.4498,0.0
2024-01-02 06:45:00,0.001,0.001,0.0,0.08800000000000001,0.0
2024-01-02 07:00:00,0.001,0.001,0.0,0.32866666666666666,0.0
2024-01-02 07:15:00,0.001,0.001,0.0,0.3026666666666667,0.0
2024-01-02 07:30:00,0.001,0.001,0.0,0.10653333333333334,0.0
2024-01-02 07:45:00,0.001,0.001,0.0,0.063,0.0
2024-01-02 08:00:00,0.001,0.001,0.0,0.4912863312993796,0.0
2024-01-02 08:15:00,0.001,0.001,0.0,0.26482374237267353,0.0
2024-01-02 08:30:00,0.001,0.001,0.0,0.8365570757060069,0.0
2024-01-02 08:45:00,0.001,0.001,0.0,1.5341570757060068,0.0
2024-01-02 09:00:00,0.001,0.001,0.0,1.0589704090393401,0.0
2024-01-02 09:15:00,0.001,0.001,0.0,0.21688441310724763,0.0
2024-01-02 09:30:00,0.001,0.001,0.0,0.4327904090393402,0.0
2024-01-02 09:45:00,0.001,0.001,0.0,0.4333904090393402,0.0
2024-01-02 10:00:00,0.001,0.001,0.0,0.4891904090393402,0.0
2024-01-02 10:15:00,0.001,0.001,0.0,1.1882570757060067,0.0
2024-01-02 10:30:00,0.001,0.001,0.0,0.4342177464405809,0.0
2024-01-02 10:45:00,0.001,0.001,0.0,0.6187,0.0
2024-01-02 11:00:00,0.1592069572115326,0.001,0.0,0.4585666666666667,0.0
2024-01-02 11:15:00,0.7920347860576631,0.001,0.0,0.41069999999999995,0.0
2024-01-02 11:30:00,0.7920347860576631,0.001,0.0,2.6474333333333333,0.0
2024-01-02 11:45:00,0.7920347860576631,0.001,0.0,0.5136333333333334,0.0
2024-01-02 12:00:00,0.7920347860576631,0.001,0.0,0.4980333333333334,0.0
2024-01-02 12:15:00,0.7920347860576631,0.001,0.0,0.4193666666666667,0.0
2024-01-02 12:30:00,0.7920347860576631,0.001,0.0,0.1987,2.933333333333333
2024-01-02 12:45:00,0.7920347860576631,0.001,0.0,0.21336666666666665,11.0
2024-01-02 13:00:00,0.7920347860576631,0.001,0.0,0.2965666666666666,4.4
2024-01-02 13:15:00,0.7920347860576631,0.001,0.0,1.0084866666666668,0.0
2024-01-02 13:30:00,0.7920347860576631,0.001,0.0,0.20199999999999999,0.0
2024-01-02 13:45:00,0.7920347860576631,0.001,0.0,0.05,0.0
2024-01-02 14:00:00,0.7920347860576631,0.001,0.0,0.05,0.0
2024-01-02 14:15:00,0.7920347860576631,0.001,0.0,0.10133333333333333,0.0
2024-01-02 14:30:00,0.7920347860576631,0.001,0.0,0.29,0.0
2024-01-02 14:45:00,0.7392991336538189,0.001,0.0,0.36666666666666664,0.0
2024-01-02 15:00:00,0.001,0.001,0.0,0.06266666666666668,0.0
2024-01-02 15:15:00,0.001,0.001,0.0,0.5830666666666667,0.0
2024-01-02 15:30:00,0.001,0.001,0.0,0.13946666666666666,0.0
2024-01-02 15:45:00,0.001,0.001,0.0,0.4222278385882209,0.0
2024-01-02 16:00:00,0.001,0.001,0.0,0.44521886401958094,0.0
2024-01-02 16:15:00,0.001,0.001,0.0,0.3432188640195809,0.0
2024-01-02 16:30:00,0.001,0.001,0.0,0.2545521973529143,0.0
