,TumbleDryer,WashingMachine,BaseLoad
2024-01-02 23:45:00,0.001,0.001,0.3046999999999999
2024-01-03 00:00:00,0.001,0.001,0.3046999999999999
2024-01-03 00:15:00,0.001,0.001,0.24589999999999998
2024-01-03 00:30:00,0.001,0.001,0.3737
2024-01-03 00:45:00,0.001,0.001,0.23436666666666667
2024-01-03 01:00:00,0.001,0.001,0.1837
2024-01-03 01:15:00,0.001,0.001,0.1837
2024-01-03 01:30:00,0.001,0.001,0.1837
2024-01-03 01:45:00,0.001,0.001,0.3230333333333333
2024-01-03 02:00:00,0.001,0.001,0.3230333333333333
2024-01-03 02:15:00,0.001,0.001,0.1837
2024-01-03 02:30:00,0.001,0.001,0.1837
2024-01-03 02:45:00,0.001,0.001,0.1837
2024-01-03 03:00:00,0.001,0.001,0.23436666666666667
2024-01-03 03:15:00,0.001,0.001,0.3737
2024-01-03 03:30:00,0.001,0.001,0.22169999999999998
2024-01-03 03:45:00,0.001,0.001,0.1837
2024-01-03 04:00:00,0.001,0.001,0.1837
2024-01-03 04:15:00,0.001,0.001,0.1837
2024-01-03 04:30:00,0.001,0.001,0.3357
2024-01-03 04:45:00,0.001,0.001,0.3103666666666667
2024-01-03 05:00:00,0.001,0.001,0.10228
2024-01-03 05:15:00,0.001,0.001,0.048
2024-01-03 05:30:00,0.001,0.001,0.048
2024-01-03 05:45:00,0.001,0.001,0.11133333333333333
2024-01-03 06:00:00,0.001,0.001,0.238
2024-01-03 06:15:00,0.001,0.001,0.07333333333333333
2024-01-03 06:30:00,0.001,0.001,0.048
2024-01-03 06:45:00,0.001,0.001,0.048
2024-01-03 07:00:00,0.001,0.001,0.048
2024-01-03 07:15:00,0.001,0.001,0.6124666666666667
2024-01-03 07:30:00,0.001,0.001,0.16199999999999998
2024-01-03 07:45:00,0.001,0.001,0.048
2024-01-03 08:00:00,0.001,0.001,0.048
2024-01-03 08:15:00,0.001,0.001,1.1018666666666668
2024-01-03 08:30:00,0.001,0.001,0.245
2024-01-03 08:45:00,0.001,0.001,0.359
2024-01-03 09:00:00,0.001,0.001,0.7147333333333333
2024-01-03 09:15:00,0.001,0.001,0.5688
2024-01-03 09:30:00,0.001,0.001,0.05606666666666667
2024-01-03 09:45:00,0.001,0.001,0.048
2024-01-03 10:00:00,0.001,0.001,0.22533333333333333
2024-01-03 10:15:00,0.001,0.001,0.14933333333333332
2024-01-03 10:30:00,0.001,0.001,0.048
2024-01-03 10:45:00,0.001,0.001,0.048
2024-01-03 11:00:00,0.001,0.001,0.048
2024-01-03 11:15:00,0.001,0.001,0.13666666666666666
2024-01-03 11:30:00,0.001,0.001,0.238
2024-01-03 11:45:00,0.001,0.001,0.048
2024-01-03 12:00:00,0.001,0.001,0.048
2024-01-03 12:15:00,0.001,0.001,0.048
2024-01-03 12:30:00,0.001,0.001,0.048
2024-01-03 12:45:00,0.001,0.001,0.238
2024-01-03 13:00:00,0.001,0.001,0.1492875456078324
2024-01-03 13:15:00,0.001,0.001,0.0795521973529143
2024-01-03 13:30:00,0.001,0.001,0.0795521973529143
2024-01-03 13:45:00,0.001,0.001,0.0795521973529143
2024-01-03 14:00:00,0.001,0.001,0.18088553068624763
2024-01-03 14:15:00,0.001,0.001,0.22743681315686096
2024-01-03 14:30:00,0.001,0.001,0.048
2024-01-03 14:45:00,0.001,0.001,0.048
2024-01-03 15:00:00,0.001,0.001,0.048
2024-01-03 15:15:00,0.001,0.001,0.06066666666666667
2024-01-03 15:30:00,0.001,0.001,0.238
2024-01-03 15:45:00,0.001,0.001,0.12399999999999999
2024-01-03 16:00:00,0.001,0.001,0.048
2024-01-03 16:15:00,0.001,0.001,0.048
2024-01-03 16:30:00,0.001,0.001,0.048
2024-01-03 16:45:00,0.001,0.001,0.16199999999999998
2024-01-03 17:00:00,0.001,0.001,0.21266666666666667
2024-01-03 17:15:00,0.001,0.001,0.048
2024-01-03 17:30:00,0.001,0.001,0.048
2024-01-03 17:45:00,0.001,0.001,0.048
2024-01-03 18:00:00,0.001,0.001,0.07333333333333333
2024-01-03 18:15:00,0.001,0.001,0.238
2024-01-03 18:30:00,0.001,0.001,0.11133333333333333
2024-01-03 18:45:00,0.001,0.001,0.048
2024-01-03 19:00:00,0.001,0.001,0.048
2024-01-03 19:15:00,0.001,0.001,0.048
2024-01-03 19:30:00,0.001,0.001,0.17466666666666666
2024-01-03 19:45:00,0.001,0.001,0.2
2024-01-03 20:00:00,0.001,0.001,0.048
2024-01-03 20:15:00,0.001,0.001,0.06482783858822096
2024-01-03 20:30:00,0.001,0.001,0.1037521973529143
2024-01-03 20:45:00,0.001,0.001,0.2546855306862476
2024-01-03 21:00:00,0.001,0.001,0.5115521973529142
2024-01-03 21:15:00,0.001,0.001,0.372218864019581
2024-01-03 21:30:00,0.001,0.001,0.31225420303670565
2024-01-03 21:45:00,0.001,0.001,0.24222374237267352
2024-01-03 22:00:00,0.001,0.001,0.710757075706007
2024-01-03 22:15:00,0.001,0.001,0.22267447482364494
2024-01-03 22:30:00,0.001,0.001,0.23764260639225446
2024-01-03 22:45:00,0.001,0.001,0.4921483609686504
2024-01-03 23:00:00,0.001,0.001,0.20055219735291427
2024-01-03 23:15:00,0.001,0.001,0.20055219735291427
2024-01-03 23:30:00,0.001,0.001,0.23859798507841523
2024-01-03 23:45:00,0.001,0.001,0.359
2024-01-04 00:00:00,0.001,0.001,0.207
2024-01-04 00:15:00,0.001,0.001,0.06413333333333333
2024-01-04 00:30:00,0.001,0.001,0.048
2024-01-04 00:45:00,0.001,0.001,0.048
2024-01-04 01:00:00,0.001,0.001,0.2
2024-01-04 01:15:00,0.001,0.001,0.7077333333333333
2024-01-04 01:30:00,0.001,0.001,0.048
2024-01-04 01:45:00,0.001,0.001,0.048
2024-01-04 02:00:00,0.001,0.001,0.048
2024-01-04 02:15:00,0.001,0.001,0.11133333333333333
2024-01-04 02:30:00,0.001,0.001,0.238
2024-01-04 02:45:00,0.001,0.001,0.07333333333333333
2024-01-04 03:00:00,0.001,0.001,0.048
2024-01-04 03:15:00,0.001,0.001,0.048
2024-01-04 03:30:00,0.001,0.001,0.048
2024-01-04 03:45:00,0.001,0.001,0.21266666666666667
2024-01-04 04:00:00,0.001,0.001,0.16199999999999998
2024-01-04 04:15:00,0.001,0.001,0.048
2024-01-04 04:30:00,0.001,0.001,0.048
2024-01-04 04:45:00,0.001,0.001,0.048
2024-01-04 05:00:00,0.001,0.001,0.12399999999999999
2024-01-04 05:15:00,0.001,0.001,0.238
2024-01-04 05:30:00,0.001,0.001,0.06066666666666667
2024-01-04 05:45:00,0.001,0.001,0.048
2024-01-04 06:00:00,0.001,0.001,0.048
2024-01-04 06:15:00,0.001,0.001,0.048
2024-01-04 06:30:00,0.001,0.001,0.22533333333333333
2024-01-04 06:45:00,0.001,0.001,0.14933333333333332
2024-01-04 07:00:00,0.001,0.001,0.048
2024-01-04 07:15:00,0.001,0.001,0.0584
2024-01-04 07:30:00,0.001,0.001,0.061000000000000006
2024-01-04 07:45:00,0.001,0.001,0.14966666666666667
2024-01-04 08:00:00,0.001,0.001,0.251
2024-01-04 08:15:00,0.001,0.001,0.04973333333333333
2024-01-04 08:30:00,0.001,0.001,0.048
2024-01-04 08:45:00,0.001,0.001,0.048
2024-01-04 09:00:00,0.001,0.001,0.44780000000000003
2024-01-04 09:15:00,0.001,0.001,0.238
2024-01-04 09:30:00,0.001,0.001,0.5364666666666668
2024-01-04 09:45:00,0.001,0.001,0.048
2024-01-04 10:00:00,0.001,0.001,0.44780000000000003
2024-01-04 10:15:00,0.001,0.001,0.1812666666666667
2024-01-04 10:30:00,0.001,0.001,0.14933333333333332
