,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_EV,P_HP
2024-01-11 06:00:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-11 06:15:00,0.001,0.0,0.001,0.14833333333333334,0.0,0.6
2024-01-11 06:30:00,0.001,0.0,0.001,0.237,0.0,0.0
2024-01-11 06:45:00,0.001,0.0,0.001,0.07233333333333333,5.0,0.0
2024-01-11 07:00:00,0.001,0.0,0.001,0.047,8.0,2.6
2024-01-11 07:15:00,0.001,0.0,0.001,0.047,0.0,0.4
2024-01-11 07:30:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-11 07:45:00,0.001,0.0,0.001,0.17366666666666666,0.0,0.0
2024-01-11 08:00:00,0.001,0.0,0.001,0.237,0.0,0.0
2024-01-11 08:15:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-11 08:30:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-11 08:45:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-11 09:00:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-11 09:15:00,0.001,0.0,0.001,0.19899999999999998,0.0,0.0
2024-01-11 09:30:00,0.001,0.0,0.001,0.21166666666666664,0.0,0.0
2024-01-11 09:45:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-11 10:00:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-11 10:15:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-11 10:30:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-11 10:45:00,0.001,0.0,0.001,0.22433333333333333,0.0,0.0
2024-01-11 11:00:00,0.001,0.0,0.001,0.18633333333333332,0.0,0.0
2024-01-11 11:15:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-11 11:30:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-11 11:45:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-11 12:00:00,0.001,0.0,0.001,0.059666666666666666,0.0,0.0
2024-01-11 12:15:00,0.001,0.0,0.001,0.237,0.0,0.0
2024-01-11 12:30:00,0.001,0.0,0.001,0.161,0.0,0.0
2024-01-11 12:45:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-11 13:00:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-11 13:15:00,0.001,0.0,0.001,0.05826666666666667,0.0,0.0
2024-01-11 13:30:00,0.001,0.0,0.001,0.098,0.0,0.0
2024-01-11 13:45:00,0.001,0.0,0.05564715796137402,0.25,0.0,0.0
2024-01-11 14:00:00,0.001,0.0,0.22013987331463125,0.14866666666666667,0.0,0.0
2024-01-11 14:15:00,0.001,0.0,0.9795795582158954,0.06260407773996057,0.0,0.0
2024-01-11 14:30:00,0.001,0.0,0.3190568556123789,0.0588237423726735,0.0,0.0
2024-01-11 14:45:00,0.001,0.0,0.14121900394048875,0.0588237423726735,0.0,0.0
2024-01-11 15:00:00,0.001,0.0,0.23940084995644734,0.12215707570600684,0.0,0.4
2024-01-11 15:15:00,0.001,0.0,0.67508669111518,0.24015299796604628,0.0,2.8
2024-01-11 15:30:00,0.001,0.0,0.11586924878944922,0.11033333333333334,0.0,0.0
2024-01-11 15:45:00,0.001,0.0,0.23374226993171238,0.047,0.0,0.0
2024-01-11 16:00:00,0.001,0.0,1.1687090628504015,0.047,0.0,0.0
2024-01-11 16:15:00,0.001,0.0,0.9583355868984219,0.11153333333333333,0.0,0.0
2024-01-11 16:30:00,0.001,0.0,0.15898641551634765,0.25666666666666665,0.0,0.0
2024-01-11 16:45:00,0.001,0.0,0.19416460380795228,0.358,0.0,0.0
2024-01-11 17:00:00,0.001,0.0,0.4402888580549542,0.206,0.0,0.0
2024-01-11 17:15:00,0.001,0.0,0.4049109027048677,0.168,0.0,0.0
2024-01-11 17:30:00,0.001,0.0,0.001,0.1444666666666667,0.0,0.0
2024-01-11 17:45:00,0.001,0.0,0.001,0.169,0.0,0.0
2024-01-11 18:00:00,0.001,0.0,0.001,0.28300000000000003,0.0,0.0
2024-01-11 18:15:00,0.001,0.0,0.001,0.359,0.0,0.0
2024-01-11 18:30:00,0.001,0.0,0.001,0.18166666666666667,0.0,0.0
2024-01-11 18:45:00,0.001,0.0,0.001,0.169,0.0,0.0
2024-01-11 19:00:00,0.001,0.0,0.001,0.13593333333333335,0.0,0.0
2024-01-11 19:15:00,0.001,0.0,0.001,0.168,0.0,0.0
2024-01-11 19:30:00,0.001,0.0,0.001,0.3073333333333333,0.0,1.0
2024-01-11 19:45:00,0.001,0.0,0.001,0.3453333333333333,0.0,2.2
2024-01-11 20:00:00,0.001,0.0,0.001,0.08733333333333333,0.0,0.0
2024-01-11 20:15:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-11 20:30:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-11 20:45:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-11 21:00:00,0.001,0.0,0.001,0.21166666666666664,0.0,0.0
2024-01-11 21:15:00,0.001,0.0,0.001,0.19899999999999998,11.0,0.0
2024-01-11 21:30:00,0.001,0.0,0.001,0.047,3.0,0.0
2024-01-11 21:45:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-11 22:00:00,0.001,0.0,0.001,0.047,0.0,0.0
2024-01-11 22:15:00,0.001,0.0,0.001,0.047,0.0,0.0
