,WashingMachine,BaseLoad,P_EV
2024-01-07 07:45:00,0.001,0.188,0.0
2024-01-07 08:00:00,0.001,0.10066666666666667,0.0
2024-01-07 08:15:00,0.001,0.042,0.0
2024-01-07 08:30:00,0.001,0.44179999999999997,0.0
2024-01-07 08:45:00,0.001,0.17526666666666665,14.0
2024-01-07 09:00:00,0.001,0.7690666666666667,15.0
2024-01-07 09:15:00,0.001,0.152,12.0
2024-01-07 09:30:00,0.001,0.16153333333333333,0.0
2024-01-07 09:45:00,0.001,0.163,0.0
2024-01-07 10:00:00,0.001,0.163,0.0
2024-01-07 10:15:00,0.001,0.239,0.0
2024-01-07 10:30:00,0.001,0.325,0.0
2024-01-07 10:45:00,0.001,0.12266666666666666,0.0
2024-01-07 11:00:00,0.001,0.042,0.0
2024-01-07 11:15:00,0.001,0.042,0.0
2024-01-07 11:30:00,0.001,0.042,0.0
2024-01-07 11:45:00,0.001,0.21315707570600687,0.0
2024-01-07 12:00:00,0.001,0.17649040903934016,0.0
2024-01-07 12:15:00,0.001,0.09049040903934016,0.0
2024-01-07 12:30:00,0.001,0.0538237423726735,0.0
2024-01-07 12:45:00,0.001,0.0538237423726735,0.0
2024-01-07 13:00:00,0.001,0.08157649898302315,0.0
2024-01-07 13:15:00,0.001,0.2305173991176381,0.0
2024-01-07 13:30:00,0.001,0.17621886401958095,0.0
2024-01-07 13:45:00,0.001,0.07434044684442588,0.0
2024-01-07 14:00:00,0.001,0.0853759397255878,0.0
2024-01-07 14:15:00,0.001,0.1939359397255878,0.0
2024-01-07 14:30:00,0.001,0.30562722219620114,0.0
2024-01-07 14:45:00,0.001,0.3355237423726735,0.0
2024-01-07 15:00:00,0.001,0.24819040903934017,0.0
2024-01-07 15:15:00,0.001,0.1777,0.0
2024-01-07 15:30:00,0.001,0.1777,0.0
2024-01-07 15:45:00,0.001,0.1777,0.0
2024-01-07 16:00:00,0.001,0.3717,0.0
2024-01-07 16:15:00,0.001,0.2877,0.0
2024-01-07 16:30:00,0.001,0.19236666666666666,0.0
2024-01-07 16:45:00,0.001,0.1777,0.0
2024-01-07 17:00:00,0.001,0.1777,0.0
2024-01-07 17:15:00,0.001,0.2537,0.0
2024-01-07 17:30:00,0.001,0.3397,0.0
2024-01-07 17:45:00,0.001,0.2583666666666667,0.0
2024-01-07 18:00:00,0.001,0.1777,0.0
2024-01-07 18:15:00,0.001,0.1777,0.0
2024-01-07 18:30:00,0.001,0.1777,0.0
2024-01-07 18:45:00,0.001,0.3370333333333333,0.0
2024-01-07 19:00:00,0.001,0.3003666666666667,0.0
2024-01-07 19:15:00,0.001,0.21436666666666668,0.0
2024-01-07 19:30:00,0.001,0.17927649898302314,0.0
2024-01-07 19:45:00,0.001,0.14429040903934015,0.0
2024-01-07 20:00:00,0.001,0.22509040903934016,0.0
2024-01-07 20:15:00,0.001,0.6316237423726735,0.0
2024-01-07 20:30:00,0.001,0.15649040903934014,0.0
2024-01-07 20:45:00,0.001,0.04830599593209253,0.0
2024-01-07 21:00:00,0.001,0.042,0.0
2024-01-07 21:15:00,0.001,0.04594124745755783,0.0
2024-01-07 21:30:00,0.001,0.1678237423726735,0.0
2024-01-07 21:45:00,0.001,0.7328904090393402,0.0
2024-01-07 22:00:00,0.001,0.22289040903934015,0.0
2024-01-07 22:15:00,0.001,0.0538237423726735,0.0
2024-01-07 22:30:00,0.001,0.0514589938981388,0.0
2024-01-07 22:45:00,0.001,0.042,0.0
2024-01-07 23:00:00,0.001,0.23600000000000002,0.0
2024-01-07 23:15:00,0.001,0.152,0.0
2024-01-07 23:30:00,0.001,0.056666666666666664,0.0
2024-01-07 23:45:00,0.001,0.042,0.0
2024-01-08 00:00:00,0.001,0.042,0.0
2024-01-08 00:15:00,0.001,0.11800000000000001,0.0
2024-01-08 00:30:00,0.001,0.20400000000000001,0.0
2024-01-08 00:45:00,0.001,0.12266666666666666,0.0
2024-01-08 01:00:00,0.001,0.042,0.0
2024-01-08 01:15:00,0.001,0.042,0.0
2024-01-08 01:30:00,0.001,0.042,0.0
2024-01-08 01:45:00,0.001,0.20133333333333334,0.0
2024-01-08 02:00:00,0.001,0.16466666666666666,0.0
2024-01-08 02:15:00,0.001,0.07866666666666666,0.0
